,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,plata/negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=8000468,340000
1,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=7975960,232000
2,Mercedes,Clase Sl,Sl 55 Amg Aut.,2004,04,157.000 km,Gasolina,500 CV,automática secuencial,2 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-55-amg-aut-en-barcelona.htm?id=7786230,27999
3,Mercedes,Clase Sl,Sl 320,2001,04,184.999 km,Gasolina,231 CV,automática,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-320-en-malaga.htm?id=7424901,13000
4,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,0 km,Gasolina,585 CV,automática secuencial,2 puertas,plata/negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=8000080,340000
5,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,blanco opalita magno,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=7975954,250000
6,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,0 km,Gasolina,585 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=7975587,232000
7,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,0 km,Gasolina,585 CV,automática secuencial,2 puertas,blanco opalita magno,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=7975576,250000
8,Mercedes,Clase Sl,Sl 500 Aut.,2003,06,217.000 km,Gasolina,306 CV,automática secuencial,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-aut-en-palmas+las.htm?id=6468681,19990
9,Mercedes,Clase Sl,Sl 350 Aut.,2003,,260.000 km,Gasolina,245 CV,automática secuencial,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-350-aut-en-salamanca.htm?id=8037312,14500
10,Mercedes,Clase Sl,Sl 320,1994,02,184.140 km,Gasolina,231 CV,automática,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-320-en-barcelona.htm?id=7934252,15700
11,Mercedes,Clase Sl,Sl 500 455 Aut.,2016,,32.868 km,Gasolina,455 CV,automática secuencial,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-455-aut-en-alicante.htm?id=7922823,66900
12,Mercedes,Clase Sl,Sl 350 Aut.,2003,06,128.576 km,Gasolina,245 CV,automática secuencial,2 puertas,COLOR PLATA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-350-aut-en-madrid.htm?id=7905660,22980
13,Mercedes,Clase Sl,Sl 350 Aut.,2003,,160.000 km,Gasolina,245 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-350-aut-en-sevilla.htm?id=7862273,13800
14,Mercedes,Clase Sl,Sl 350 Aut.,2002,,268.000 km,Gasolina,245 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-350-aut-en-madrid.htm?id=7732605,11995
15,Mercedes,Clase Sl,Sl 63 Amg 7g,2009,01,105.000 km,Gasolina,525 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-63-amg-7g-en-barcelona.htm?id=7348161,58900
16,Mercedes,Clase Sl,Sl 600,1994,06,280.000 km,Gasolina,394 CV,automática,2 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-600-en-malaga.htm?id=6971639,19800
17,Mercedes,Clase Sl,Sl 320,1995,11,90.000 km,Gasolina,231 CV,automática,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-320-en-valencia.htm?id=6039390,17900
18,Mercedes,Clase Sl,500 Sl,1992,07,130.000 km,Gasolina,326 CV,automática,2 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-500-sl-en-malaga.htm?id=7270398,23900
19,Mercedes,Clase Sl,Sl 350 Aut.,2006,,78.500 km,Gasolina,245 CV,automática secuencial,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-350-aut-en-madrid.htm?id=7819541,19500
20,Mercedes,Clase Sl,Sl 280,1998,,242.000 km,Gasolina,193 CV,automática,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-280-en-barcelona.htm?id=7695327,13500
21,Mercedes,Clase Sl,Sl 280,2000,,142.342 km,Gasolina,193 CV,automática,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-280-en-valencia.htm?id=7824564,14000
22,Mercedes,Clase Sl,300sl,1991,,181.000 km,Gasolina,190 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-300sl-en-alicante.htm?id=7789037,8500
23,Mercedes,Clase Sl,Sl 63 Amg Aut.,2023,03,1.500 km,Gasolina,585 CV,automática secuencial,2 puertas,gris alpino,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-barcelona.htm?id=7975552,221000
24,Mercedes,Clase Sl,Sl 320,1999,,160.000 km,Gasolina,231 CV,automática,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-320-en-tenerife.htm?id=7995037,15000
25,Mercedes,Clase Sl,300sl,1985,11,80.515 km,Gasolina,188 CV,automática,2 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-300sl-en-madrid.htm?id=8093383,66990
26,Mercedes,Clase Sl,Sl 63 Amg Aut.,2023,01,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-madrid.htm?id=8092980,195703
27,Mercedes,Clase Sl,Sl 63 Amg Aut.,2023,11,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-madrid.htm?id=8079948,224900
28,Mercedes,Clase Sl,Sl 60 Amg,2023,11,NUEVO,Gasolina,381 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-60-amg-en-madrid.htm?id=8067999,173376
29,Mercedes,Clase Sl,Sl 60 Amg,2023,11,NUEVO,Gasolina,381 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-60-amg-en-madrid.htm?id=8067998,179088
30,Mercedes,Clase Sl,Sl 63 Amg Aut.,2023,11,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-madrid.htm?id=8067997,255571
31,Mercedes,Clase Sl,Sl 63 Amg Aut.,2024,01,0 km,Gasolina,585 CV,automática secuencial,2 puertas,GRIS SELENITA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-aut-en-valencia.htm?id=8062065,238236
32,Mercedes,Clase Sl,Sl 63 Amg 585 Aut.,2023,01,6.901 km,Gasolina,585 CV,automática secuencial,2 puertas,GRIS,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-585-aut-en-illes+balears.htm?id=8060565,212000
33,Mercedes,Clase Sl,Sl 320,1997,08,114.679 km,Gasolina,231 CV,automática,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-320-en-malaga.htm?id=8001886,20999
34,Mercedes,Clase Sl,300sl,1985,11,80.515 km,Gasolina,188 CV,automática,2 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-300sl-en-madrid.htm?id=7969419,66990
35,Mercedes,Clase Sl,Sl 60 Amg,2024,01,NUEVO,Gasolina,381 CV,manual,2 puertas,Negro obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-60-amg-en-barcelona.htm?id=7966746,157264
36,Mercedes,Clase Sl,Sl 60 Amg,2024,01,0 km,Gasolina,381 CV,manual,2 puertas,Negro obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-60-amg-en-barcelona.htm?id=7965443,157264
37,Mercedes,Clase Sl,Sl 55 Amg Aut.,2024,01,NUEVO,Gasolina,500 CV,automática secuencial,2 puertas,Gris Monza Magno AMG,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-55-amg-aut-en-barcelona.htm?id=7914783,219700
38,Mercedes,Clase Sl,500 Sl,1992,09,63.000 km,Gasolina,326 CV,automática,2 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-500-sl-en-valencia.htm?id=7780515,29900
39,Mercedes,Clase Sl,Sl 55 Amg Aut.,2024,01,NUEVO,Gasolina,500 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-55-amg-aut-en-sevilla.htm?id=7698634,189584
40,Mercedes,Clase Sl,Sl 55 Amg Aut.,2024,01,0 km,Gasolina,500 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-55-amg-aut-en-sevilla.htm?id=7698036,189584
41,Mercedes,Clase Sl,Sl 63 Amg 585 Aut.,2024,01,NUEVO,Gasolina,585 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+sl-sl-63-amg-585-aut-en-guipuzcoa.htm?id=7693944,196900
42,Mercedes,Clase Sl,Sl 500 Aut.,2005,08,197.709 km,Gasolina,306 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-aut-en-madrid.htm?id=7692243,14950
43,Mercedes,Clase Sl,Sl 500 Aut.,2005,08,197.709 km,Gasolina,306 CV,automática secuencial,2 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-aut-en-madrid.htm?id=7691778,14950
