,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Eqc,400 4matic,2024,01,12 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,GRIS SELENITA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-valladolid.htm?id=7097150,89470
1,Mercedes,Eqc,400 4matic,2021,06,73.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,AZUL CAVANSITA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-asturias.htm?id=7334931,48000
2,Mercedes,Eqc,400 4matic,2019,,58.000 km,Eléctrico,408 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-madrid.htm?id=7795602,53990
3,Mercedes,Eqc,400 4matic,2024,01,5 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris Selenita Metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-madrid.htm?id=6380055,98054
4,Mercedes,Eqc,400 4matic,2022,08,78.976 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,HIGH-TECH-SILBER METALLIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-valencia.htm?id=8035437,49600
5,Mercedes,Eqc,400 4matic,2022,,3.100 km,Eléctrico,408 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-madrid.htm?id=8003927,64990
6,Mercedes,Eqc,400 4matic,2021,01,20.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-malaga.htm?id=7983190,58700
7,Mercedes,Eqc,400 4matic,2023,04,NUEVO,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-madrid.htm?id=7978865,89157
8,Mercedes,Eqc,400 4matic,2021,05,43.595 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-sevilla.htm?id=7754510,63900
9,Mercedes,Eqc,400 4matic,2022,09,3.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-sevilla.htm?id=7606875,66400
10,Mercedes,Eqc,400 4matic,2020,06,28.600 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-tenerife.htm?id=8046974,65000
11,Mercedes,Eqc,400 4matic,2022,05,4.600 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,NEGRO OBSIDIANA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-valencia.htm?id=7762533,67900
12,Mercedes,Eqc,400 4matic,2021,05,41.677 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-sevilla.htm?id=7985152,63900
13,Mercedes,Eqc,400 4matic,2021,12,8.036 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-sevilla.htm?id=7154731,74900
14,Mercedes,Eqc,400 4matic,2022,10,4.772 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,MANUFAKTUR rojo jacinto m,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-tenerife.htm?id=7577921,82455
15,Mercedes,Eqc,400 4matic,2021,,30.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-alicante.htm?id=7981402,51300
16,Mercedes,Eqc,400 4matic,2020,,60.307 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-cadiz.htm?id=7727730,41170
17,Mercedes,Eqc,400 4matic,2024,01,10 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris grafito,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-asturias.htm?id=8127172,91000
18,Mercedes,Eqc,400 4matic,2021,01,63.662 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,HIGH-TECH-SILBER METALLIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-valencia.htm?id=8119426,53000
19,Mercedes,Eqc,400 4matic,2022,12,118 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-alicante.htm?id=8110581,59700
20,Mercedes,Eqc,400 4matic,2022,12,118 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-alicante.htm?id=8110126,59700
21,Mercedes,Eqc,400 4matic,2021,05,11.336 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-alicante.htm?id=8110124,57800
22,Mercedes,Eqc,400 4matic,2020,11,31.333 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-alicante.htm?id=8106082,53495
23,Mercedes,Eqc,400 4matic,2020,11,31.333 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-alicante.htm?id=8105408,53495
24,Mercedes,Eqc,400 4matic,2020,11,3.315 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-madrid.htm?id=8078686,58900
25,Mercedes,Eqc,400 4matic,2022,05,20.387 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris selenita metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-valencia.htm?id=8070270,66571
26,Mercedes,Eqc,400 4matic,2022,07,15.000 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-badajoz.htm?id=8057452,62900
27,Mercedes,Eqc,400 4matic,2020,11,100.499 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-lugo.htm?id=8050766,44900
28,Mercedes,Eqc,400 4matic,2023,04,168 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-madrid.htm?id=8036826,73900
29,Mercedes,Eqc,400 4matic,2020,07,44.697 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqc-400-4matic-en-madrid.htm?id=8035941,56700
30,Mercedes,Eqc,400 4matic,2024,01,0 km,Eléctrico,408 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqc-400-4matic-en-toledo.htm?id=8020805,83415
