,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Eqe,350+,2022,06,22.500 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris selenita metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqe-350+-en-zamora.htm?id=7821562,93000
1,Mercedes,Eqe,350+,2023,06,5.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris Selenita Metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350+-en-valencia.htm?id=7235782,94276
2,Mercedes,Eqe,Amg  53 4matic,2023,09,2.899 km,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,Gris Alpino estándar (MANUFAKT,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-madrid.htm?id=8047781,89990
3,Mercedes,Eqe,Amg  53 4matic,2023,09,8.888 km,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,Rojo Patagonia (MANUFAKTUR),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-madrid.htm?id=8047780,91990
4,Mercedes,Eqe,350,2023,08,NUEVO,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris Grafito,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-jaen.htm?id=7414051,69900
5,Mercedes,Eqe,350+,2022,01,14.067 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,designo rojo jacinto metalizad,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqe-350+-en-granada.htm?id=8061384,78500
6,Mercedes,Eqe,350,2023,09,4.900 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris Alpino estándar (MANUFAKT,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-madrid.htm?id=8069555,74290
7,Mercedes,Eqe,Amg  53 4matic,2023,08,6.500 km,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,gris alpino,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-barcelona.htm?id=7978120,135000
8,Mercedes,Eqe,Amg  53 4matic,2024,01,0 km,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,negro onyx,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-barcelona.htm?id=7977987,155500
9,Mercedes,Eqe,350,2023,08,5.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,gris alpino,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-barcelona.htm?id=7977909,79900
10,Mercedes,Eqe,350,2024,01,0 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,gris alpino,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-barcelona.htm?id=7977905,109000
11,Mercedes,Eqe,Amg  53 4matic,2023,05,3.000 km,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,gris grafito magno,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-barcelona.htm?id=7977829,153000
12,Mercedes,Eqe,Amg  53 4matic,2024,01,NUEVO,Eléctrico,625 CV,"directo, sin caja de cambios",4 puertas,negro onyx,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-amg--53-4matic-en-barcelona.htm?id=7977701,155500
13,Mercedes,Eqe,350,2024,01,NUEVO,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,gris alpino,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-barcelona.htm?id=7977669,109000
14,Mercedes,Eqe,350,2023,01,NUEVO,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-madrid.htm?id=7980326,96478
15,Mercedes,Eqe,350,2023,01,NUEVO,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-madrid.htm?id=7980325,97928
16,Mercedes,Eqe,350,2023,06,NUEVO,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-sevilla.htm?id=7904422,75400
17,Mercedes,Eqe,350,2023,06,500 km,Eléctrico,292 CV,"directo, sin caja de cambios",4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-sevilla.htm?id=7904056,75400
18,Mercedes,Eqe,350,2023,01,5.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-asturias.htm?id=7884737,70400
19,Mercedes,Eqe,350,2023,04,5.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,Gris grafito metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-valencia.htm?id=7847605,75900
20,Mercedes,Eqe,350,2023,04,3.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,GRIS ALPINO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqe-350-en-valencia.htm?id=7824708,80900
21,Mercedes,Eqe,350+,2023,02,16.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,Plata high-tech metalizad,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqe-350+-en-valencia.htm?id=7780205,75400
22,Mercedes,Eqe,350+,2022,06,15.000 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,AZUL ESPECTRAL,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqe-350+-en-valencia.htm?id=7762611,84900
23,Mercedes,Eqe,350+,2022,07,11.402 km,Eléctrico,292 CV,"directo, sin caja de cambios",5 puertas,Azul espectral metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-eqe-350+-en-valencia.htm?id=7550983,71500
