,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mitsubishi,Montero,3.2di-d Instyle Dakar,2006,,206.000 km,Diesel,182 CV,automática,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-instyle-dakar-en-alicante.htm?id=7875955,14900
1,Mitsubishi,Montero,3.2 Di-d Gls Kaiteki,2002,,269.727 km,Diesel,165 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32-di-d-gls-kaiteki-en-zamora.htm?id=8042252,10990
2,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2019,,131.800 km,Diesel,190 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-burgos.htm?id=8128037,24900
3,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2019,,132.523 km,Diesel,190 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-ciudad+real.htm?id=7220892,26500
4,Mitsubishi,Montero,Corto 3.0 V6 Gls Lujo,1993,10,245.000 km,Gasolina,180 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-corto-30-v6-gls-lujo-en-malaga.htm?id=8065480,9990
5,Mitsubishi,Montero,3.2di-d Spirit 200,2015,09,167.066 km,Diesel,200 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-200-en-madrid.htm?id=8041352,22990
6,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,12,64.575 km,Diesel,190 CV,automática secuencial,3 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-lugo.htm?id=8027789,32900
7,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,09,68.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-vizcaya.htm?id=7972393,26990
8,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,06,66.400 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-madrid.htm?id=7965052,25350
9,Mitsubishi,Montero,3.2di-d Intense,2008,,434.000 km,Diesel,160 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-intense-en-vizcaya.htm?id=7956479,9990
10,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,06,84.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-vizcaya.htm?id=7754543,27990
11,Mitsubishi,Montero,Largo 2.8 Tdi Gls Plus,1998,,130.000 km,Diesel,125 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-largo-28-tdi-gls-plus-en-granada.htm?id=7654857,6900
12,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,06,79.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-vizcaya.htm?id=7646465,27990
13,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2017,06,143.000 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-vizcaya.htm?id=7646323,25990
14,Mitsubishi,Montero,3.2di-d Intense,2009,12,195.000 km,Diesel,160 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-intense-en-jaen.htm?id=7508422,15999
15,Mitsubishi,Montero,3.2di-d Motion A/t,2015,,174.427 km,Diesel,200 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-motion-at-en-badajoz.htm?id=7394365,20900
16,Mitsubishi,Montero,3.2di-d Kaiteki 5at 190,2017,,219.000 km,Diesel,190 CV,automática secuencial,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-kaiteki-5at-190-en-lleida.htm?id=8075382,23900
17,Mitsubishi,Montero,3.2di-d Kaiteki Aut.,2008,,213.000 km,Diesel,170 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-kaiteki-aut-en-lleida.htm?id=8033825,16800
18,Mitsubishi,Montero,3.2 Di-d Gls,2003,,602.000 km,Diesel,160 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32-di-d-gls-en-lleida.htm?id=8033755,6500
19,Mitsubishi,Montero,Corto 2.5 Tdi Glx,1999,,238.000 km,Diesel,100 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-corto-25-tdi-glx-en-huelva.htm?id=7988311,10300
20,Mitsubishi,Montero,3.2di-d Motion A/t,2012,,249.000 km,Diesel,200 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-motion-at-en-badajoz.htm?id=7950296,20500
21,Mitsubishi,Montero,2.5 Tdi Sahel,2006,,168.000 km,Diesel,115 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-25-tdi-sahel-en-sevilla.htm?id=7901861,11500
22,Mitsubishi,Montero,3.2di-d Intense Aut.,2006,,290.000 km,Diesel,170 CV,automática secuencial,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-intense-aut-en-ciudad+real.htm?id=7691078,8990
23,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2019,08,71.996 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-cordoba.htm?id=6202871,28500
24,Mitsubishi,Montero,3.2di-d Spirit 5at 190,2019,08,58.000 km,Diesel,190 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-montero-32di-d-spirit-5at-190-en-cordoba.htm?id=6202779,32600
