,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mitsubishi,Outlander,Phev Motion 4wd,2022,,32.246 km,Híbrido,224 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-phev-motion-4wd-en-madrid.htm?id=8083487,29950
1,Mitsubishi,Outlander,220di-d Motion 2wd,2012,,135.212 km,Diesel,177 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-220di-d-motion-2wd-en-guadalajara.htm?id=8022159,12000
2,Mitsubishi,Outlander,200 Mpi Motion 2wd 5pl. Cvt,2020,,79.000 km,Gasolina,150 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-200-mpi-motion-2wd-5pl-cvt-en-sevilla.htm?id=8117142,25990
3,Mitsubishi,Outlander,220di-d Kaiteki At 4wd,2012,,106.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-220di-d-kaiteki-at-4wd-en-zaragoza.htm?id=8117070,16500
4,Mitsubishi,Outlander,220di-d Motion 2wd 5pl.,2015,12,131.446 km,Diesel,150 CV,manual,5 puertas,Blanco Silky (Perlado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-220di-d-motion-2wd-5pl-en-alicante.htm?id=8058676,17500
5,Mitsubishi,Outlander,Phev Kaiteki 4wd,2016,,89.000 km,Híbrido,203 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-phev-kaiteki-4wd-en-vizcaya.htm?id=8054158,23990
6,Mitsubishi,Outlander,220di-d Kaiteki At 4wd,2015,05,169.000 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-220di-d-kaiteki-at-4wd-en-barcelona.htm?id=8036488,15499
7,Mitsubishi,Outlander,Phev Kaiteki 4wd,2018,01,64.880 km,Híbrido,203 CV,automática continua,5 puertas,GRIS OSCURO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-phev-kaiteki-4wd-en-barcelona.htm?id=8014185,26300
8,Mitsubishi,Outlander,200 Mpi Motion 2wd 5pl. Cvt,2017,07,124.000 km,Gasolina,150 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-200-mpi-motion-2wd-5pl-cvt-en-palmas+las.htm?id=7842147,17990
9,Mitsubishi,Outlander,200 Mpi Motion 2wd 5pl. Cvt,2019,11,25.988 km,Gasolina,150 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-outlander-200-mpi-motion-2wd-5pl-cvt-en-valencia.htm?id=8118440,22800
