,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mitsubishi,Space Star,120 Mpi Motion,2015,,45.475 km,Gasolina,80 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-motion-en-barcelona.htm?id=8123803,8900
1,Mitsubishi,Space Star,120 Mpi Motion,2019,03,103.375 km,Gasolina,80 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-motion-en-malaga.htm?id=7534482,8690
2,Mitsubishi,Space Star,120 Mpi Kaiteki,2021,,74.045 km,Gasolina,71 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-kaiteki-en-malaga.htm?id=8118683,12300
3,Mitsubishi,Space Star,120 Mpi Motion,2023,,23 km,Gasolina,71 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-motion-en-alicante.htm?id=8062526,19490
4,Mitsubishi,Space Star,120 Mpi Motion,2023,05,21 km,Gasolina,71 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-motion-en-madrid.htm?id=8125076,13990
5,Mitsubishi,Space Star,120 Mpi Kaiteki,2022,01,6.500 km,Gasolina,71 CV,manual,5 puertas,BLANCO POLAR CSE,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-en-vizcaya.htm?id=8106735,15000
6,Mitsubishi,Space Star,120 Mpi Kaiteki,2019,04,42.057 km,Gasolina,80 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-kaiteki-en-toledo.htm?id=8068995,10099
7,Mitsubishi,Space Star,120 Mpi Kaiteki,2023,,NUEVO,Gasolina,71 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-en-madrid.htm?id=8027018,15740
8,Mitsubishi,Space Star,120 Mpi Kaiteki,2023,,NUEVO,Gasolina,71 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-en-madrid.htm?id=8025688,16570
9,Mitsubishi,Space Star,120 Mpi Motion,2023,,NUEVO,Gasolina,71 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-motion-en-madrid.htm?id=8025653,15690
10,Mitsubishi,Space Star,120 Mpi Motion,2024,01,3 km,Gasolina,71 CV,manual,5 puertas,BLANCO POLAR,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-motion-en-salamanca.htm?id=7843445,15400
11,Mitsubishi,Space Star,120 Mpi Motion,2015,,118.000 km,Gasolina,80 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-motion-en-barcelona.htm?id=7785358,7500
12,Mitsubishi,Space Star,120 Mpi Kaiteki,2021,,76.791 km,Gasolina,71 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-space+star-120-mpi-kaiteki-en-malaga.htm?id=7669253,12300
13,Mitsubishi,Space Star,120 Mpi Kaiteki,2023,01,12 km,Gasolina,71 CV,manual,5 puertas,BLANCO POLAR,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-en-salamanca.htm?id=7566797,16300
14,Mitsubishi,Space Star,120 Mpi Kaiteki,2023,10,10 km,Gasolina,71 CV,manual,5 puertas,ROJO ORIENT,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-en-murcia.htm?id=8062014,15950
15,Mitsubishi,Space Star,120 Mpi Kaiteki Cvt,2023,,NUEVO,Gasolina,71 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mitsubishi-space+star-120-mpi-kaiteki-cvt-en-madrid.htm?id=8027014,18492
