,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Cabstar,35.13/3 Cabina Abatible Comfort,2009,,287.000 km,Diesel,130 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35133-cabina-abatible-comfort-en-burgos.htm?id=8098354,16800
1,Nissan,Cabstar,35.14/1 Cabina Abatible Básico,2013,11,43.320 km,Diesel,136 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35141-cabina-abatible-basico-en-sevilla.htm?id=7530844,22950
2,Nissan,Cabstar,35.12/2 Cabina Fija Básico,2019,07,48.000 km,Diesel,121 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35122-cabina-fija-basico-en-madrid.htm?id=7868473,42900
3,Nissan,Cabstar,Tl 75.28/2,1999,,90.000 km,Diesel,75 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-tl-75282-en-girona.htm?id=8068337,8900
4,Nissan,Cabstar,35.15/1 Cabina Abatible Comfort,2013,,252.000 km,Diesel,150 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35151-cabina-abatible-comfort-en-malaga.htm?id=7762005,16600
5,Nissan,Cabstar,-e 120.35/3,2003,,400.000 km,Diesel,120 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar--e-120353-en-cadiz.htm?id=7899818,3500
6,Nissan,Cabstar,Tl 110.35/1 Cabina Abatible,2000,,265.000 km,Diesel,110 CV,manual,2 puertas,naranja,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-tl-110351-cabina-abatible-en-guadalajara.htm?id=8035100,5000
7,Nissan,Cabstar,35.13/1 Cabina Abatible,2007,,180.000 km,Diesel,130 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35131-cabina-abatible-en-barcelona.htm?id=8058619,9000
8,Nissan,Cabstar,35.14/3 Cb. Abat. Cerr. Poliester Comfort,2018,05,76.000 km,Diesel,136 CV,manual,2 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35143-cb-abat-cerr-poliester-comfort-en-barcelona.htm?id=8108991,25612
9,Nissan,Cabstar,35.14/3 Cb. Abat. Cerr. Poliester Comfort,2018,04,90.000 km,Diesel,136 CV,manual,2 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-cabstar-35143-cb-abat-cerr-poliester-comfort-en-barcelona.htm?id=7959595,25612
