,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2019,,97.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-badajoz.htm?id=7956441,15990
1,Nissan,Nv200,Furgón 1.5dci Comfort 90 Eu6,2019,,114.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-comfort-90-eu6-en-lleida.htm?id=8048648,11500
2,Nissan,Nv200,Combi 5 1.5dci Comfort,2015,,211.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-combi-5-15dci-comfort-en-barcelona.htm?id=8046721,8200
3,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2018,,90.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-cordoba.htm?id=8087743,11500
4,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2019,,100.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-malaga.htm?id=8035295,11999
5,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2018,,100.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-ciudad+real.htm?id=7732451,11490
6,Nissan,Nv200,Furgón 1.5dci Basic 90 Eu6,2018,,110.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-eu6-en-ciudad+real.htm?id=7711988,11490
7,Nissan,Nv200,Furgón 1.5dci Basic 90,2016,08,138.468 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-basic-90-en-jaen.htm?id=8059980,11500
8,Nissan,Nv200,Combi 5 1.5dci Pro Eu6,2018,,190.900 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-combi-5-15dci-pro-eu6-en-cordoba.htm?id=7902004,11950
9,Nissan,Nv200,Combi 5 1.5dci Pro,2019,,114.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-combi-5-15dci-pro-en-palmas+las.htm?id=8129279,15900
10,Nissan,Nv200,Combi 5 1.5dci Pro Eu6,2019,,91.120 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-combi-5-15dci-pro-eu6-en-sevilla.htm?id=8118681,17490
11,Nissan,Nv200,Furgón 1.5dci Comfort 110 E5,2015,12,148.782 km,Diesel,110 CV,manual,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-comfort-110-e5-en-madrid.htm?id=8107602,14890
12,Nissan,Nv200,Combi 5 1.5dci Pro,2019,,114.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-combi-5-15dci-pro-en-palmas+las.htm?id=8082458,15900
13,Nissan,Nv200,Furgón 1.5dci Comfort 90 Eu6,2019,02,87.780 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-furgon-15dci-comfort-90-eu6-en-rioja+la.htm?id=8056146,15488
14,Nissan,Nv200,Isotermo 1.5dci Basic 90,2018,03,86.820 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv200-isotermo-15dci-basic-90-en-madrid.htm?id=7807535,13890
