,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Pathfinder,2.5dci Fe 7pl.,2008,,222.000 km,Diesel,171 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-fe-7pl-en-malaga.htm?id=8091868,9500
1,Nissan,Pathfinder,2.5dci Fe 5pl.,2010,,302.000 km,Diesel,171 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-fe-5pl-en-salamanca.htm?id=8033353,9999
2,Nissan,Pathfinder,2.5dci Xe 7pl.,2007,,233.452 km,Diesel,171 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-xe-7pl-en-girona.htm?id=8115438,7000
3,Nissan,Pathfinder,2.5dci Fe 7pl.,2010,,195.000 km,Diesel,171 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-fe-7pl-en-madrid.htm?id=7820751,13000
4,Nissan,Pathfinder,2.5dci Se Aut.,2006,,250.000 km,Diesel,174 CV,automática,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-se-aut-en-valencia.htm?id=7995864,12000
5,Nissan,Pathfinder,2.5dci Le,2006,,256.000 km,Diesel,174 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-le-en-barcelona.htm?id=7992930,8500
6,Nissan,Pathfinder,2.5dci Fe 5pl.,2013,,196.000 km,Diesel,190 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-fe-5pl-en-madrid.htm?id=7825208,12700
7,Nissan,Pathfinder,2.5dci Xe 7pl.,2006,,191.655 km,Diesel,174 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-xe-7pl-en-barcelona.htm?id=8011305,10000
8,Nissan,Pathfinder,2.5dci Xe 7pl.,2011,,215.000 km,Diesel,190 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-xe-7pl-en-tenerife.htm?id=7947202,8500
9,Nissan,Pathfinder,2.5dci Le Aut. Dpf,2007,,199.000 km,Diesel,171 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pathfinder-25dci-le-aut-dpf-en-granada.htm?id=7692857,13390
