,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Patrol,3.0di Xe Plus,2010,,600.000 km,Diesel,160 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-30di-xe-plus-en-sevilla.htm?id=8118768,35000
1,Nissan,Patrol,Corto Ta 5pl.,1991,,162.096 km,Diesel,84 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-corto-ta-5pl-en-murcia.htm?id=8088305,5850
2,Nissan,Patrol,Gr 2.8 Td Corto Slx,1997,01,33.000 km,Diesel,115 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-28-td-corto-slx-en-madrid.htm?id=8058112,23800
3,Nissan,Patrol,Gr Luxury,2001,10,26.733 km,Diesel,158 CV,manual,5 puertas,VERDE ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-luxury-en-madrid.htm?id=7971135,35990
4,Nissan,Patrol,Gr Elegance,2003,,214.000 km,Diesel,158 CV,manual,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-elegance-en-jaen.htm?id=8113794,24900
5,Nissan,Patrol,Corto Ta 6 Cil.,1990,,180.000 km,Diesel,95 CV,manual,3 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-corto-ta-6-cil-en-murcia.htm?id=8093879,9500
6,Nissan,Patrol,Pick-up Corto,1991,01,140.000 km,Diesel,84 CV,manual,2 puertas,Rojo oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-pick-up-corto-en-valencia.htm?id=7976632,7990
7,Nissan,Patrol,Wagon Turbo D. 6 Cil.,1993,02,293.234 km,Diesel,115 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-wagon-turbo-d-6-cil-en-zaragoza.htm?id=7698805,7999
8,Nissan,Patrol,Corto Td Top Line 6 Cil,1990,,300.000 km,Diesel,115 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-corto-td-top-line-6-cil-en-tarragona.htm?id=8086269,9990
9,Nissan,Patrol,3.0di Xe Plus,2007,,230.000 km,Diesel,160 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-30di-xe-plus-en-segovia.htm?id=7816240,16000
10,Nissan,Patrol,3.0td Luxury,2004,,212.000 km,Diesel,160 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-30td-luxury-en-badajoz.htm?id=8095343,16000
11,Nissan,Patrol,Corto Ta 6 Cil. 7pl.,1995,,156.000 km,Diesel,95 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-corto-ta-6-cil-7pl-en-madrid.htm?id=8082089,9000
12,Nissan,Patrol,Gr Se,1998,,230.000 km,Diesel,130 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-se-en-asturias.htm?id=7064294,24500
13,Nissan,Patrol,Corto Turbo D. 6 Cil.,1992,,256.000 km,Diesel,115 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-corto-turbo-d-6-cil-en-illes+balears.htm?id=8029451,8500
14,Nissan,Patrol,Gr Luxury,2001,,160.000 km,Diesel,158 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-luxury-en-barcelona.htm?id=7995015,14500
15,Nissan,Patrol,Gr Se,1999,,340.000 km,Diesel,130 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-se-en-barcelona.htm?id=7960055,13400
16,Nissan,Patrol,Gr Luxury,2000,,250.000 km,Diesel,158 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-luxury-en-malaga.htm?id=7852332,23800
17,Nissan,Patrol,Gr S,1999,,290.000 km,Diesel,130 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-s-en-tenerife.htm?id=7750078,7000
18,Nissan,Patrol,Gr S,1999,,200.000 km,Diesel,130 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-s-en-vizcaya.htm?id=7929375,11500
19,Nissan,Patrol,Gr Elegance,2001,,175.000 km,Diesel,158 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-patrol-gr-elegance-en-granada.htm?id=7685741,10000
