,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Pulsar,1.5 Dci N-tec,2014,12,39.622 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-n-tec-en-toledo.htm?id=8113618,10999
1,Nissan,Pulsar,1.5 Dci N-tec,2015,,101.608 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-n-tec-en-malaga.htm?id=8106675,10990
2,Nissan,Pulsar,1.2 Dig-t Acenta,2018,06,13.914 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-acenta-en-toledo.htm?id=8115221,13999
3,Nissan,Pulsar,1.2 Dig-t N-connecta,2018,,49.249 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-n-connecta-en-murcia.htm?id=8122136,13900
4,Nissan,Pulsar,1.6 Dig-t N-connecta,2016,,55.000 km,Gasolina,190 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-16-dig-t-n-connecta-en-barcelona.htm?id=8072636,14475
5,Nissan,Pulsar,1.2 Dig-t Visia,2016,03,40.250 km,Gasolina,115 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-visia-en-rioja+la.htm?id=8051624,13500
6,Nissan,Pulsar,1.2 Dig-t N-connecta Xtronic,2016,10,41.039 km,Gasolina,115 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-n-connecta-xtronic-en-barcelona.htm?id=8048054,13995
7,Nissan,Pulsar,1.5 Dci N-connecta,2016,07,189.000 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-n-connecta-en-coruna+a.htm?id=8040400,10497
8,Nissan,Pulsar,1.2 Dig-t N-connecta,2015,,206.348 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-12-dig-t-n-connecta-en-murcia.htm?id=8053686,7500
9,Nissan,Pulsar,1.5 Dci Sport Edition,2018,,188.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-pulsar-15-dci-sport-edition-en-badajoz.htm?id=7927442,11500
