,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Terrano,S 2.7 Tdi,1996,,280.000 km,Diesel,125 CV,manual,3 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-s-27-tdi-en-lleida.htm?id=7914777,5000
1,Nissan,Terrano,S 2.7 Tdi,1998,08,200.000 km,Diesel,125 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-s-27-tdi-en-sevilla.htm?id=8047890,4999
2,Nissan,Terrano,2.7 Tdi Aventura,2004,03,219.000 km,Diesel,125 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-aventura-en-cadiz.htm?id=8053415,7490
3,Nissan,Terrano,2.7 Lx D Turbo,1996,,147.000 km,Diesel,100 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-lx-d-turbo-en-lleida.htm?id=8033770,8300
4,Nissan,Terrano,2.7 Tdi Elegance,2001,,179.000 km,Diesel,125 CV,manual,3 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-elegance-en-huelva.htm?id=7915200,7500
5,Nissan,Terrano,2.7tdi Comfort Plus,2005,,245.000 km,Diesel,125 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27tdi-comfort-plus-en-madrid.htm?id=8078294,6500
6,Nissan,Terrano,2.7 Tdi Comfort,2000,,213.500 km,Diesel,125 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-comfort-en-tarragona.htm?id=8060856,6000
7,Nissan,Terrano,2.7 Tdi Luxury,2002,,285.254 km,Diesel,125 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-luxury-en-toledo.htm?id=7863843,7000
8,Nissan,Terrano,3.0 Di Sport,2002,,140.000 km,Diesel,154 CV,manual,3 puertas,Morados ,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-30-di-sport-en-cadiz.htm?id=7755791,8000
9,Nissan,Terrano,Ve 2.7 Tdi,1998,,193.000 km,Diesel,125 CV,manual,5 puertas,azul oscuro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-ve-27-tdi-en-albacete.htm?id=7752978,9600
10,Nissan,Terrano,2.4 Sgx,1994,,280.000 km,Gasolina,124 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-24-sgx-en-murcia.htm?id=7732217,3700
11,Nissan,Terrano,2.7 Td Comfort,1999,,130.000 km,Diesel,100 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-td-comfort-en-sevilla.htm?id=7714112,4800
12,Nissan,Terrano,2.7 Slx D Turbo,1996,,220.000 km,Diesel,100 CV,manual,5 puertas,marron,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-slx-d-turbo-en-barcelona.htm?id=7628249,3950
13,Nissan,Terrano,2.7 Tdi Comfort,2002,,124.000 km,Diesel,125 CV,manual,3 puertas,Granate,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-comfort-en-murcia.htm?id=7824535,8300
14,Nissan,Terrano,2.7 Td Sport,2002,,170.000 km,Diesel,100 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-td-sport-en-granada.htm?id=7373099,7500
15,Nissan,Terrano,3.0 Di Sport,2003,,244.000 km,Diesel,154 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-30-di-sport-en-barcelona.htm?id=7815006,9000
16,Nissan,Terrano,2.7 Sgx D Turbo,1995,,303.000 km,Diesel,100 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-sgx-d-turbo-en-ourense.htm?id=7782503,3250
17,Nissan,Terrano,2.7 Td Sport,2001,,180.000 km,Diesel,100 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-td-sport-en-barcelona.htm?id=7656951,4500
18,Nissan,Terrano,2.7 Tdi Comfort,2001,,238.000 km,Diesel,125 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-27-tdi-comfort-en-navarra.htm?id=8006049,6000
19,Nissan,Terrano,S 2.7 Tdi,1996,,263.000 km,Diesel,125 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-terrano-s-27-tdi-en-sevilla.htm?id=7791960,4000
