,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Corsa,-e Edition 136,2023,,NUEVO,Eléctrico,136 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa--e-edition-136-en-valencia.htm?id=8101097,26900
1,Opel,Corsa,1.2t Xhl S/s Elegance 100,2021,,50.110 km,Gasolina,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-elegance-100-en-barcelona.htm?id=8033168,14400
2,Opel,Corsa,1.2t Xhl S/s Elegance 100,2022,,240 km,Gasolina,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-ss-elegance-100-en-valencia.htm?id=8128010,14900
3,Opel,Corsa,-e Elegance-e,2023,,NUEVO,Eléctrico,136 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa--e-elegance-e-en-valencia.htm?id=8101101,28600
4,Opel,Corsa,1.4 Selective 90,2015,,28.000 km,Gasolina,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-selective-90-en-almeria.htm?id=8032176,10900
5,Opel,Corsa,1.2t Xhl S/s Elegance 100,2021,03,45.212 km,Gasolina,100 CV,manual,5 puertas,BLEU,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-elegance-100-en-alicante.htm?id=7992038,16300
6,Opel,Corsa,1.2t Xhl S/s Elegance 100,2021,03,55.828 km,Gasolina,100 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-elegance-100-en-alicante.htm?id=7935985,16300
7,Opel,Corsa,1.2t Xhl S/s Elegance 100,2021,03,57.334 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-elegance-100-en-alicante.htm?id=7935888,16300
8,Opel,Corsa,1.4 Glp Design Line 90,2019,,87.187 km,Gasolina,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-glp-design-line-90-en-zaragoza.htm?id=8023338,10900
9,Opel,Corsa,-e Gs,2023,01,38 km,Eléctrico,136 CV,"directo, sin caja de cambios",5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa--e-gs-en-valencia.htm?id=7945144,19500
10,Opel,Corsa,1.2t Xht S/s Elegance At8 100,2022,05,19.000 km,Gasolina,100 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xht-ss-elegance-at8-100-en-madrid.htm?id=7915834,13890
11,Opel,Corsa,1.2t Xht S/s Elegance At8 100,2022,05,19.000 km,Gasolina,100 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xht-ss-elegance-at8-100-en-sevilla.htm?id=7889217,13890
12,Opel,Corsa,1.2t Xht S/s Elegance At8 100,2022,05,19.000 km,Gasolina,100 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xht-ss-elegance-at8-100-en-malaga.htm?id=7848136,13890
13,Opel,Corsa,1.4 Glp Selective Pro 90,2019,,76.000 km,Gasolina,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-glp-selective-pro-90-en-madrid.htm?id=8112689,6500
14,Opel,Corsa,1.4 Cosmo,2011,,130.000 km,Gasolina,100 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-cosmo-en-barcelona.htm?id=8036546,5990
15,Opel,Corsa,1.2 Xel S/s Edition 75,2021,,40.000 km,Gasolina,75 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12-xel-ss-edition-75-en-ciudad+real.htm?id=8009656,11490
16,Opel,Corsa,1.2t Xhl S/s Edition 100,2021,,57.000 km,Gasolina,100 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-edition-100-en-barcelona.htm?id=7797211,12950
17,Opel,Corsa,1.2t Xhl S/s 40 Aniversario 100,2022,,29.900 km,Gasolina,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-40-aniversario-100-en-sevilla.htm?id=8117243,14500
18,Opel,Corsa,1.3cdti Business75,2018,,199.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-13cdti-business75-en-murcia.htm?id=8100994,4800
19,Opel,Corsa,1.3cdti Expression 75,2017,,178.000 km,Diesel,75 CV,manual,3 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-13cdti-expression-75-en-murcia.htm?id=8100962,4000
20,Opel,Corsa,1.5d Dt S/s Edition 100,2021,01,180.000 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-15d-dt-ss-edition-100-en-tarragona.htm?id=8078312,9499
21,Opel,Corsa,1.2t Xhl S/s Edition 100,2023,05,3.342 km,Gasolina,100 CV,manual,5 puertas,Arktis White,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa-12t-xhl-ss-edition-100-en-barcelona.htm?id=8077403,17400
22,Opel,Corsa,1.2t Xhl S/s Elegance 100,2021,06,76.222 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-12t-xhl-ss-elegance-100-en-sevilla.htm?id=8061911,12950
