,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Vectra,2.0dti 16v Comfort,2003,,202.000 km,Diesel,100 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-20dti-16v-comfort-en-almeria.htm?id=7879602,2200
1,Opel,Vectra,1.8 16v Gts,2004,,174.000 km,Gasolina,122 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-18-16v-gts-en-salamanca.htm?id=7997623,3990
2,Opel,Vectra,1.9cdti 16v Elegance As,2006,06,200.000 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-16v-elegance-as-en-coruna+a.htm?id=7913161,4800
3,Opel,Vectra,1.9cdti 16v Cosmo,2007,,204.000 km,Diesel,149 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-16v-cosmo-en-pontevedra.htm?id=7828879,4800
4,Opel,Vectra,2.2dti 16v Gts,2004,,257.000 km,Diesel,125 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-22dti-16v-gts-en-barcelona.htm?id=8098055,1500
5,Opel,Vectra,1.9cdti 8v Elegance 120,2007,,270.000 km,Diesel,120 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-elegance-120-en-sevilla.htm?id=8075628,2000
6,Opel,Vectra,2.0dti 16v Sport,2000,,292.500 km,Diesel,100 CV,manual,5 puertas,azul oscuro ,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-20dti-16v-sport-en-toledo.htm?id=8000868,1900
7,Opel,Vectra,1.9cdti 8v Gts,2004,,220.000 km,Diesel,120 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-gts-en-malaga.htm?id=7755668,2100
8,Opel,Vectra,2.2dti 16v Elegance,2003,,195.677 km,Diesel,125 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-22dti-16v-elegance-en-lleida.htm?id=8097981,4800
9,Opel,Vectra,1.9cdti 16v Comfort,2005,,299.000 km,Diesel,150 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-16v-comfort-en-cantabria.htm?id=8039669,1900
10,Opel,Vectra,1.6 16v,1999,,158.670 km,Gasolina,100 CV,manual,4 puertas,verde oliva,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-16-16v-en-castellon.htm?id=8033997,1500
11,Opel,Vectra,1.9cdti 8v Comfort,2004,,359.000 km,Diesel,120 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-comfort-en-madrid.htm?id=7993386,1500
12,Opel,Vectra,1.9cdti 8v Elegance 120,2008,,200.000 km,Diesel,120 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-elegance-120-en-valladolid.htm?id=7818044,4000
13,Opel,Vectra,2.0dti 16v Comfort,2004,,199.000 km,Diesel,100 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-20dti-16v-comfort-en-huelva.htm?id=7678391,1000
14,Opel,Vectra,1.9cdti 8v Elegance,2004,,190.000 km,Diesel,120 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-elegance-en-madrid.htm?id=7997120,1900
15,Opel,Vectra,1.9cdti 16v Sport,2007,,290.000 km,Diesel,149 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-16v-sport-en-valencia.htm?id=7824550,3500
16,Opel,Vectra,2.0dti 16v Comfort,2002,,240.000 km,Diesel,100 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-20dti-16v-comfort-en-murcia.htm?id=7776106,2000
17,Opel,Vectra,1.8 16v Elegance,2002,,170.000 km,Gasolina,125 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-18-16v-elegance-en-tarragona.htm?id=7969988,2200
18,Opel,Vectra,1.8 16v Elegance 140,2006,,243.000 km,Gasolina,140 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-18-16v-elegance-140-en-alicante.htm?id=7969972,2600
19,Opel,Vectra,2.0i Gl,1991,,218.000 km,Gasolina,116 CV,manual,5 puertas,Granate,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-20i-gl-en-teruel.htm?id=7853899,800
