,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,307,Sw 2.0hdi 110,2004,,226.000 km,Diesel,110 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20hdi-110-en-murcia.htm?id=8100949,3000
1,Peugeot,307,Cc 2.0,2004,,170.000 km,Gasolina,138 CV,manual,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-cc-20-en-madrid.htm?id=8075471,3999
2,Peugeot,307,1.6i Xt,2003,,187.000 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16i-xt-en-vizcaya.htm?id=8079919,3500
3,Peugeot,307,2.0hdi Xs+ 136,2007,,172.403 km,Diesel,136 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-20hdi-xs+-136-en-pontevedra.htm?id=8056639,4900
4,Peugeot,307,1.6hdi Xs,2006,12,186.000 km,Diesel,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-xs-en-valencia.htm?id=8005467,6998
5,Peugeot,307,1.6hdi D-sign,2007,12,190.000 km,Diesel,90 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-d-sign-en-malaga.htm?id=7839626,3800
6,Peugeot,307,Sw 2.0 16v Pack+,2007,,127.000 km,Gasolina,143 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20-16v-pack+-en-tarragona.htm?id=8101119,4500
7,Peugeot,307,1.6hdi Xs+,2006,,250.000 km,Diesel,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-xs+-en-murcia.htm?id=8086728,3201
8,Peugeot,307,1.6i Xr,2004,,172.000 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16i-xr-en-pontevedra.htm?id=7825973,3800
9,Peugeot,307,Cc 1.6,2006,09,165.763 km,Gasolina,110 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-cc-16-en-alicante.htm?id=7822453,5950
10,Peugeot,307,Cc 2.0hdi Pack Hifi 136,2006,,179.243 km,Diesel,136 CV,manual,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-cc-20hdi-pack-hifi-136-en-lleida.htm?id=8029002,6450
11,Peugeot,307,Sw 2.0hdi 90,2004,,276.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20hdi-90-en-lleida.htm?id=8048795,2490
12,Peugeot,307,Cc 2.0,2007,,183.000 km,Gasolina,143 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-cc-20-en-tenerife.htm?id=8047676,4300
13,Peugeot,307,Sw 1.6,2005,,224.000 km,Gasolina,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-16-en-barcelona.htm?id=8123779,1000
14,Peugeot,307,1.6 16v Xt,2006,,137.000 km,Gasolina,110 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16-16v-xt-en-valencia.htm?id=8084954,2000
15,Peugeot,307,Sw 1.6hdi 110,2005,,223.000 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-16hdi-110-en-zamora.htm?id=8127519,2700
16,Peugeot,307,1.6i Xs,2003,,165.000 km,Gasolina,110 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16i-xs-en-pontevedra.htm?id=8112481,2800
17,Peugeot,307,Sw 1.6,2005,,150.000 km,Gasolina,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-16-en-badajoz.htm?id=8089655,950
18,Peugeot,307,1.6hdi Xs+ 110,2007,,280.000 km,Diesel,110 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-xs+-110-en-barcelona.htm?id=8081719,2000
19,Peugeot,307,1.6hdi D-sign 110,2007,,176.000 km,Diesel,110 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-d-sign-110-en-toledo.htm?id=8060544,4900
20,Peugeot,307,1.6hdi Xs,2006,,149.000 km,Diesel,90 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-xs-en-barcelona.htm?id=8044158,3290
21,Peugeot,307,2.0hdi Xr,2004,,245.132 km,Diesel,90 CV,manual,5 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-20hdi-xr-en-madrid.htm?id=8119821,2000
22,Peugeot,307,Break 2.0hdi Xt 90,2003,,210.000 km,Diesel,90 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-break-20hdi-xt-90-en-burgos.htm?id=8126845,2400
23,Peugeot,307,1.6hdi Xt,2004,,230.000 km,Diesel,110 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-xt-en-almeria.htm?id=7960719,3250
24,Peugeot,307,Sw 2.0hdi Pack 136,2005,,126.000 km,Diesel,136 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20hdi-pack-136-en-barcelona.htm?id=7948967,4500
25,Peugeot,307,Sw 2.0hdi 110,2003,,165.000 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20hdi-110-en-madrid.htm?id=7752561,2350
26,Peugeot,307,Sw 2.0hdi 110,2003,,21.700 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-sw-20hdi-110-en-cordoba.htm?id=7664431,3800
27,Peugeot,307,Cc 2.0hdi Sport 136,2008,,130.000 km,Diesel,136 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-cc-20hdi-sport-136-en-guadalajara.htm?id=7236038,5600
28,Peugeot,307,1.6hdi X-line,2005,,226.000 km,Diesel,90 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-307-16hdi-x-line-en-malaga.htm?id=8086281,3400
