,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,Expert,Fg. Compact 2.0bluehdi S&s Premium 120,2019,,132.000 km,Diesel,120 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-compact-20bluehdi-s_s-premium-120-en-barcelona.htm?id=7924303,14950
1,Peugeot,Expert,Combi Standard 1.5bluehdi S&s 120,2019,,81.909 km,Diesel,120 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-combi-standard-15bluehdi-s_s-120-en-coruna+a.htm?id=8045242,21990
2,Peugeot,Expert,Fg. Standard 2.0bluehdi Ice 120,2020,05,152.907 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-20bluehdi-ice-120-en-ourense.htm?id=7834746,18500
3,Peugeot,Expert,Fg. Long 2.0bluehdi S&s Pro 120,2018,,51.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-long-20bluehdi-s_s-pro-120-en-madrid.htm?id=8112039,16000
4,Peugeot,Expert,Fg. Standard 1.5bluehdi S&s Premium 120,2021,,80.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-15bluehdi-s_s-premium-120-en-malaga.htm?id=8051466,17999
5,Peugeot,Expert,Fg. Long 2.0bluehdi S&s Premium 120,2019,,203.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-long-20bluehdi-s_s-premium-120-en-navarra.htm?id=7732409,13200
6,Peugeot,Expert,Fg. Standard 1.6bluehdi S&s Pro 115,2018,,153.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-16bluehdi-s_s-pro-115-en-barcelona.htm?id=7503719,13990
7,Peugeot,Expert,Fg. Long 2.0bluehdi S&s Pro 120,2018,01,119.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-long-20bluehdi-s_s-pro-120-en-pontevedra.htm?id=8028377,14700
8,Peugeot,Expert,Fg. Standard 2.0bluehdi S&s Premium 120,2018,,110.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-20bluehdi-s_s-premium-120-en-navarra.htm?id=7803207,15900
9,Peugeot,Expert,Fg. Standard 1.6bluehdi S&s Premium 115,2017,,115.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-expert-fg-standard-16bluehdi-s_s-premium-115-en-navarra.htm?id=7701000,14700
