,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,Traveller,1.5bluehdi Active Standard 120,2018,10,126.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-active-standard-120-en-lugo.htm?id=8084476,21900
1,Peugeot,Traveller,1.5bluehdi Active Standard 120,2020,,78.000 km,Diesel,120 CV,manual,4 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-active-standard-120-en-palmas+las.htm?id=8108638,23990
2,Peugeot,Traveller,1.6bluehdi Active Long 115,2018,,162.434 km,Diesel,115 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-16bluehdi-active-long-115-en-toledo.htm?id=8112421,25950
3,Peugeot,Traveller,2.0bluehdi Business Vip Long Eat8 180,2018,,98.462 km,Diesel,180 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-business-vip-long-eat8-180-en-madrid.htm?id=8104392,34990
4,Peugeot,Traveller,2.0bluehdi Allure Long Eat8 180,2019,,83.850 km,Diesel,180 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-allure-long-eat8-180-en-barcelona.htm?id=8087859,36480
5,Peugeot,Traveller,2.0bluehdi Active Long 150,2020,01,139.000 km,Diesel,150 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-long-150-en-lugo.htm?id=8073050,30900
6,Peugeot,Traveller,1.5bluehdi Business Long 120,2021,10,65.286 km,Diesel,120 CV,manual,4 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-business-long-120-en-malaga.htm?id=8037779,31900
7,Peugeot,Traveller,1.6bluehdi Business Compact 115,2018,,90.000 km,Diesel,116 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-16bluehdi-business-compact-115-en-sevilla.htm?id=8015932,29990
8,Peugeot,Traveller,2.0bluehdi Active Standard 150,2018,,125.000 km,Diesel,150 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-standard-150-en-madrid.htm?id=7890513,31900
9,Peugeot,Traveller,2.0bluehdi Active Long 150,2020,,139.000 km,Diesel,150 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-long-150-en-lugo.htm?id=7826093,30900
10,Peugeot,Traveller,1.5bluehdi Active Compact 120,2019,11,39.542 km,Diesel,120 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-active-compact-120-en-malaga.htm?id=8037172,31000
11,Peugeot,Traveller,2.0bluehdi Active Compact 150,2019,,85.000 km,Diesel,150 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-compact-150-en-barcelona.htm?id=8031900,25990
12,Peugeot,Traveller,1.5bluehdi Business Long 120,2021,09,68.319 km,Diesel,120 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-business-long-120-en-alava.htm?id=7969437,41400
13,Peugeot,Traveller,1.5bluehdi Business Long 120,2021,09,68.319 km,Diesel,120 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-business-long-120-en-alava.htm?id=7969426,41400
14,Peugeot,Traveller,1.5bluehdi Business Long 120,2019,,64.960 km,Diesel,120 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-business-long-120-en-sevilla.htm?id=7901871,32900
15,Peugeot,Traveller,1.5bluehdi Business Long 120,2019,,46.900 km,Diesel,120 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-15bluehdi-business-long-120-en-guipuzcoa.htm?id=7874246,35900
16,Peugeot,Traveller,2.0bluehdi Active Compact Eat8 180,2018,,185.300 km,Diesel,180 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-compact-eat8-180-en-madrid.htm?id=8120842,23000
17,Peugeot,Traveller,2.0bluehdi Active Standard 150,2017,,66.700 km,Diesel,150 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-standard-150-en-barcelona.htm?id=8098090,22000
18,Peugeot,Traveller,2.0bluehdi Business Vip Standard Eat8 180,2020,,47.000 km,Diesel,180 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-business-vip-standard-eat8-180-en-madrid.htm?id=7913133,43400
19,Peugeot,Traveller,1.6bluehdi Allure Standard 115,2018,,78.000 km,Diesel,115 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-16bluehdi-allure-standard-115-en-barcelona.htm?id=8016924,51000
20,Peugeot,Traveller,2.0bluehdi Allure Standard 150,2018,,35.000 km,Diesel,150 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-allure-standard-150-en-alava.htm?id=7780537,46000
21,Peugeot,Traveller,2.0bluehdi Allure Long 150,2018,,81.000 km,Diesel,150 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-allure-long-150-en-navarra.htm?id=7743653,29900
22,Peugeot,Traveller,2.0bluehdi Business Standard 150,2016,,79.850 km,Diesel,150 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-business-standard-150-en-cadiz.htm?id=7769717,25000
23,Peugeot,Traveller,2.0bluehdi Business Standard 150,2020,,17.000 km,Diesel,150 CV,manual,4 puertas,naranja,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-business-standard-150-en-guipuzcoa.htm?id=8021284,39000
24,Peugeot,Traveller,2.0bluehdi Active Standard 150,2018,,42.000 km,Diesel,150 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-traveller-20bluehdi-active-standard-150-en-valencia.htm?id=8112031,32000
