,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Porsche,Cayman,S Aut.,2006,,210.000 km,Gasolina,295 CV,automática,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-s-aut-en-tarragona.htm?id=7329281,19000
1,Porsche,Cayman,Pdk,2017,,8.200 km,Gasolina,300 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-pdk-en-valencia.htm?id=8100901,59900
2,Porsche,Cayman,Pdk,2014,,103.000 km,Gasolina,275 CV,automática secuencial,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-pdk-en-sevilla.htm?id=8073511,45990
3,Porsche,Cayman,S,2006,04,87.000 km,Gasolina,295 CV,manual,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-s-en-barcelona.htm?id=8064782,32499
4,Porsche,Cayman,T Pdk,2019,08,46.996 km,Gasolina,300 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-t-pdk-en-barcelona.htm?id=7895128,63990
5,Porsche,Cayman,Gt4,2020,03,6.939 km,Gasolina,420 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-gt4-en-malaga.htm?id=7996491,134900
6,Porsche,Cayman,S Pdk,2019,10,46.392 km,Gasolina,350 CV,automática secuencial,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-s-pdk-en-alicante.htm?id=7581399,70100
7,Porsche,Cayman,,2017,06,68.093 km,Gasolina,300 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman--en-malaga.htm?id=8085605,53900
8,Porsche,Cayman,S,2006,,195.600 km,Gasolina,295 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-s-en-madrid.htm?id=7958334,29500
9,Porsche,Cayman,Pdk,2016,,25.000 km,Gasolina,275 CV,automática secuencial,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-pdk-en-asturias.htm?id=7872161,62900
10,Porsche,Cayman,S,2023,03,7.500 km,Gasolina,350 CV,manual,2 puertas,Otros,Profesional,https://www.coches.com/km0/seminuevo-porsche-cayman-s-en-coruna+a.htm?id=8130082,103900
11,Porsche,Cayman,S Black Edition,2012,03,50.848 km,Gasolina,330 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-s-black-edition-en-madrid.htm?id=8111732,47950
12,Porsche,Cayman,Gt4,2016,05,58.351 km,Gasolina,385 CV,manual,2 puertas,AMARILLO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-gt4-en-madrid.htm?id=8089056,91500
13,Porsche,Cayman,Gts Pdk,2014,04,50.000 km,Gasolina,340 CV,automática secuencial,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-cayman-gts-pdk-en-madrid.htm?id=7946339,72990
