,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Porsche,Panamera,Diesel Tiptronic 300,2014,,155.000 km,Diesel,300 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-tiptronic-300-en-pontevedra.htm?id=8050280,47990
1,Porsche,Panamera,Diesel Tiptronic 300,2014,,187.999 km,Diesel,300 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-tiptronic-300-en-sevilla.htm?id=8107048,33999
2,Porsche,Panamera,Diesel Edition Aut.,2015,,96.000 km,Diesel,300 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-edition-aut-en-palencia.htm?id=8106705,44975
3,Porsche,Panamera,4s Diesel Aut.,2016,11,189.999 km,Diesel,422 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4s-diesel-aut-en-barcelona.htm?id=8043150,58999
4,Porsche,Panamera,4s Aut.,2020,,142.644 km,Gasolina,440 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4s-aut-en-alicante.htm?id=8075846,34500
5,Porsche,Panamera,Diesel Aut.,2011,,208.000 km,Diesel,250 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-aut-en-tarragona.htm?id=8040765,28500
6,Porsche,Panamera,Turbo S E-hybrid,2017,,78.000 km,Híbrido,680 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-turbo-s-e-hybrid-en-ourense.htm?id=7752865,110000
7,Porsche,Panamera,4 E-hybrid Sport Turismo,2017,,110.000 km,Híbrido,462 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-e-hybrid-sport-turismo-en-madrid.htm?id=8101157,71500
8,Porsche,Panamera,4s Pdk,2015,,105.543 km,Gasolina,420 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4s-pdk-en-madrid.htm?id=8075631,47990
9,Porsche,Panamera,4s E-hybrid Aut.,2013,10,105.000 km,Híbrido,560 CV,automática secuencial,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4s-e-hybrid-aut-en-palmas+las.htm?id=8069410,44990
10,Porsche,Panamera,4 E-hybrid Executive,2017,,105.502 km,Híbrido,462 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-e-hybrid-executive-en-madrid.htm?id=7981410,71990
11,Porsche,Panamera,4s Aut.,2017,,75.112 km,Gasolina,440 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4s-aut-en-granada.htm?id=7809048,78000
12,Porsche,Panamera,4 E-hybrid Platinum Edition Aut.,2022,,13.858 km,Híbrido,462 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-e-hybrid-platinum-edition-aut-en-granada.htm?id=7736757,141000
13,Porsche,Panamera,4 E-hybrid Platinum Edition Aut.,2022,,27.000 km,Híbrido,462 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-e-hybrid-platinum-edition-aut-en-lleida.htm?id=8032226,116000
14,Porsche,Panamera,4 E-hybrid Sport Turismo,2018,12,188.000 km,Híbrido,462 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-e-hybrid-sport-turismo-en-barcelona.htm?id=7965598,65999
15,Porsche,Panamera,,2011,,200.000 km,Gasolina,300 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera--en-madrid.htm?id=8129242,27500
16,Porsche,Panamera,Gts Aut.,2012,,162.000 km,Gasolina,430 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-gts-aut-en-valencia.htm?id=8088329,39900
17,Porsche,Panamera,4 Aut.,2019,,24.000 km,Gasolina,330 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-aut-en-valencia.htm?id=8083143,86900
18,Porsche,Panamera,4 Aut.,2019,,68.000 km,Gasolina,330 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-aut-en-lleida.htm?id=8075439,87000
19,Porsche,Panamera,Diesel Tiptronic 300,2014,,144.000 km,Diesel,300 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-tiptronic-300-en-alava.htm?id=7964530,45990
20,Porsche,Panamera,Diesel Tiptronic 300,2014,,258.000 km,Diesel,300 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-diesel-tiptronic-300-en-barcelona.htm?id=8082197,33900
21,Porsche,Panamera,4 Pdk,2014,,140.000 km,Gasolina,310 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-panamera-4-pdk-en-pontevedra.htm?id=8050324,44990
