,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Master,Fg. Blue Dci T L2h2 3300 T 99kw,2021,,200 km,Diesel,135 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-master-fg-blue-dci-t-l2h2-3300-t-99kw-en-vizcaya.htm?id=8113803,17990
1,Renault,Clio,1.5dci Energy Limited 55kw,2018,,112.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-limited-55kw-en-sevilla.htm?id=8051981,7990
2,Renault,Latitude,2.0dci Privilege,2013,,249.000 km,Diesel,150 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-latitude-20dci-privilege-en-madrid.htm?id=8125567,6750
3,Renault,Clio,1.5dci Ss Energy Business 55kw,2017,,77.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-ss-energy-business-55kw-en-segovia.htm?id=8104408,8900
4,Renault,Mégane,1.5dci Blue Business 85kw,2022,06,21.307 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-blue-business-85kw-en-vizcaya.htm?id=8038802,19900
5,Renault,Kangoo,Z.e. Furgón,2019,,21.714 km,Eléctrico,60 CV,automática,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-ze-furgon-en-sevilla.htm?id=7610459,11500
6,Renault,Kadjar,1.2 Tce Energy Limited 97kw,2018,04,58.057 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-limited-97kw-en-toledo.htm?id=8111985,15999
7,Renault,Kangoo,Fg. Compact 1.5dci Profesional 55kw,2017,,97.900 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-compact-15dci-profesional-55kw-en-barcelona.htm?id=8128283,7900
8,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,04,122.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7412657,6890
9,Renault,Mégane,1.5dci Energy Zen 81kw,2017,,143.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-zen-81kw-en-badajoz.htm?id=8123805,12900
10,Renault,Kadjar,1.5dci Blue Business 85kw,2019,09,36.000 km,Diesel,115 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-malaga.htm?id=8104119,20400
11,Renault,Clio,Tce Techno 67kw,2023,,12.300 km,Gasolina,90 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-techno-67kw-en-toledo.htm?id=8077645,18900
12,Renault,Talisman,1.6dci Energy Zen 96kw,2017,09,104.000 km,Diesel,130 CV,manual,4 puertas,Gris claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-talisman-16dci-energy-zen-96kw-en-cordoba.htm?id=8062232,15480
13,Renault,Kadjar,1.5dci Energy Zen 81kw,2017,01,115.000 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-zen-81kw-en-cordoba.htm?id=8045677,17480
14,Renault,Captur,E-tech Híbrido Enchufable Zen 117kw,2021,06,34.850 km,Híbrido,160 CV,automática,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-e-tech-hibrido-enchufable-zen-117kw-en-murcia.htm?id=8040216,25500
15,Renault,Clio,Tce Energy Limited 66kw,2019,09,89.340 km,Gasolina,90 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-pontevedra.htm?id=8037183,11990
16,Renault,Twingo,Sce Energy S&s Zen 52kw,2015,07,175.000 km,Gasolina,70 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-zen-52kw-en-sevilla.htm?id=8035484,8799
17,Renault,Clio,Sport Tourer 1.5dci Energy Limited 66kw,2018,08,80.031 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-sport-tourer-15dci-energy-limited-66kw-en-albacete.htm?id=8031452,12775
18,Renault,Clio,Tce Energy Limited 66kw,2019,06,71.226 km,Gasolina,90 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-madrid.htm?id=8031408,12300
19,Renault,Kadjar,1.5dci Energy Limited 81kw,2018,07,76.510 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-limited-81kw-en-murcia.htm?id=8027880,17000
20,Renault,Mégane,1.5dci Blue Business 70kw,2019,,101.287 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-blue-business-70kw-en-sevilla.htm?id=8025603,13500
21,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2018,,117.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-badajoz.htm?id=8005497,9500
22,Renault,Captur,Tce Zen 67kw,2022,07,14.278 km,Gasolina,90 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-captur-tce-zen-67kw-en-murcia.htm?id=8001155,21500
23,Renault,Kadjar,1.5dci Energy Zen 81kw,2017,09,99.615 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-zen-81kw-en-murcia.htm?id=8001145,16500
24,Renault,Mégane,1.5dci Energy Business 66kw,2017,,119.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-business-66kw-en-sevilla.htm?id=7997382,11949
25,Renault,Clio,Tce Energy Limited 66kw,2019,09,89.933 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-malaga.htm?id=7955953,11900
26,Renault,Mégane,1.3 Tce Gpf Techno Edc 103kw,2023,06,1.315 km,Gasolina,140 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-megane-13-tce-gpf-techno-edc-103kw-en-madrid.htm?id=7952586,26100
