,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Austral,1.2 E-tech Híbrido Techno 146kw,2023,,15.000 km,Híbrido,200 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-austral-12-e-tech-hibrido-techno-146kw-en-valencia.htm?id=8128068,36590
1,Renault,Austral,1.2 E-tech Híbrido Techno 146kw,2023,,100 km,Híbrido,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-austral-12-e-tech-hibrido-techno-146kw-en-toledo.htm?id=8075597,36900
2,Renault,Austral,1.2 E-tech Híbrido Techno 146kw,2023,,100 km,Híbrido,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-austral-12-e-tech-hibrido-techno-146kw-en-toledo.htm?id=8075596,36900
3,Renault,Austral,1.2 E-tech Híbrido Iconic Esprit Alpine 146kw,2023,,21.444 km,Híbrido,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-austral-12-e-tech-hibrido-iconic-esprit-alpine-146kw-en-ciudad+real.htm?id=8064223,44500
4,Renault,Austral,1.3 Tce Mild Hybrid Techno Esprit Alpine Cvt 116kw,2023,,14.000 km,Gasolina,160 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-austral-13-tce-mild-hybrid-techno-esprit-alpine-cvt-116kw-en-madrid.htm?id=8122208,36050
5,Renault,Austral,1.3 Tce Mild Hybrid Techno Esprit Alpine Cvt 116kw,2023,,14.242 km,Gasolina,160 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-austral-13-tce-mild-hybrid-techno-esprit-alpine-cvt-116kw-en-madrid.htm?id=8122199,35650
6,Renault,Austral,1.2 E-tech Híbrido Techno 146kw,2023,,1 km,Híbrido,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-austral-12-e-tech-hibrido-techno-146kw-en-rioja+la.htm?id=8025487,37950
7,Renault,Austral,1.3 Tce Mild Hybrid Equilibre 103kw,2023,,NUEVO,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-austral-13-tce-mild-hybrid-equilibre-103kw-en-madrid.htm?id=7797365,29600
8,Renault,Austral,1.2 E-tech Híbrido Iconic Esprit Alpine 146kw,2022,,31.418 km,Híbrido,200 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-austral-12-e-tech-hibrido-iconic-esprit-alpine-146kw-en-madrid.htm?id=8125132,40650
9,Renault,Austral,1.3 Tce Mild Hybrid Techno Cvt 103kw,2023,01,6.200 km,Gasolina,140 CV,automática continua,5 puertas,GRIS MATE,Profesional,https://www.coches.com/km0/seminuevo-renault-austral-13-tce-mild-hybrid-techno-cvt-103kw-en-vizcaya.htm?id=8110819,35980
