,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Clio,1.5dci Energy Limited 55kw,2018,,112.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-limited-55kw-en-sevilla.htm?id=8051981,7990
1,Renault,Clio,Tce Energy Limited 66kw,2018,01,80.000 km,Gasolina,90 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-palmas+las.htm?id=8052426,9990
2,Renault,Clio,Tce Energy Limited 66kw,2019,09,69.966 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-sevilla.htm?id=8126273,10890
3,Renault,Clio,Tce Techno 67kw,2023,,12.300 km,Gasolina,90 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-techno-67kw-en-toledo.htm?id=8077645,18900
4,Renault,Clio,1.5dci Ss Energy Business 55kw,2017,06,185.529 km,Diesel,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-ss-energy-business-55kw-en-sevilla.htm?id=8062091,9499
5,Renault,Clio,Tce Energy Limited 66kw,2019,06,71.226 km,Gasolina,90 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-madrid.htm?id=8031408,12300
6,Renault,Clio,Tce Techno 67kw,2023,06,80 km,Gasolina,90 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-renault-clio-tce-techno-67kw-en-madrid.htm?id=7937153,20500
7,Renault,Clio,Tce Energy Limited 66kw,2019,05,45.264 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-vizcaya.htm?id=7827975,14400
8,Renault,Clio,Tce Energy Limited 66kw,2018,05,56.594 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-vizcaya.htm?id=7825492,14400
9,Renault,Clio,Tce Gpf Energy Zen 66kw,2018,,79.841 km,Gasolina,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-gpf-energy-zen-66kw-en-malaga.htm?id=8084883,12999
10,Renault,Clio,2.0 16v Renault Sport,2004,,193.397 km,Gasolina,182 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-20-16v-renault-sport-en-leon.htm?id=8062511,8900
11,Renault,Clio,1.5dci Energy Limited 55kw,2017,,127.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-limited-55kw-en-segovia.htm?id=8025304,9500
12,Renault,Clio,1.5dci Energy Limited 66kw,2017,,160.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-limited-66kw-en-albacete.htm?id=7882609,10900
13,Renault,Clio,Blue Dci Business 63kw,2020,,168.000 km,Diesel,85 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-blue-dci-business-63kw-en-badajoz.htm?id=8123954,13900
14,Renault,Clio,1.5dci Energy Business 55kw,2018,,131.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-business-55kw-en-badajoz.htm?id=8077881,12900
15,Renault,Clio,1.5dci Business Eco2,2012,,247.253 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-business-eco2-en-zamora.htm?id=8050110,4000
16,Renault,Clio,Tce Energy Limited 66kw,2020,01,80.561 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-malaga.htm?id=8126417,9890
17,Renault,Clio,Tce Energy Limited 66kw,2019,09,74.000 km,Gasolina,90 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-palmas+las.htm?id=8111973,9990
18,Renault,Clio,Tce Energy Limited 66kw,2019,09,71.000 km,Gasolina,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-palmas+las.htm?id=8111972,9990
19,Renault,Clio,1.5dci Energy Business 55kw,2018,,170.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-15dci-energy-business-55kw-en-ciudad+real.htm?id=8130249,6990
20,Renault,Clio,1.2 16v Authentique,2007,,180.000 km,Gasolina,75 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-12-16v-authentique-en-vizcaya.htm?id=8129516,3199
21,Renault,Clio,St 1.5dci Eco2 Expression 75,2013,,160.000 km,Diesel,75 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-st-15dci-eco2-expression-75-en-madrid.htm?id=8129142,5900
22,Renault,Clio,Tce Energy Limited 66kw,2019,10,80.561 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-madrid.htm?id=8127262,9890
23,Renault,Clio,Tce Energy Limited 66kw,2019,10,80.561 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-sevilla.htm?id=8126289,9890
24,Renault,Clio,Tce Energy Limited 66kw,2019,09,87.903 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-sevilla.htm?id=8126276,9890
25,Renault,Clio,Tce Energy Limited 66kw,2019,09,87.903 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-madrid.htm?id=8126266,9890
26,Renault,Clio,Tce Energy Limited 66kw,2019,09,87.903 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-malaga.htm?id=8124744,9890
27,Renault,Clio,Tce Energy Limited 66kw,2019,09,79.000 km,Gasolina,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-energy-limited-66kw-en-palmas+las.htm?id=8117147,9990
