,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Kadjar,1.6dci Energy Zen 96kw,2018,,94.359 km,Diesel,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-16dci-energy-zen-96kw-en-jaen.htm?id=8128809,16950
1,Renault,Kadjar,1.5dci Blue Business 85kw,2020,,61.094 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-valencia.htm?id=8125685,16500
2,Renault,Kadjar,1.5dci Blue Business 85kw,2020,,80.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-sevilla.htm?id=8073472,17300
3,Renault,Kadjar,1.6dci Energy Business 4x4 96kw,2018,,80.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-16dci-energy-business-4x4-96kw-en-ciudad+real.htm?id=7964577,15490
4,Renault,Kadjar,1.5dci Blue Intens 85kw,2020,,38.648 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-intens-85kw-en-madrid.htm?id=8110933,20350
5,Renault,Kadjar,1.3 Tce Gpf Intens 103kw,2019,10,14.857 km,Gasolina,140 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-intens-103kw-en-toledo.htm?id=8081628,19499
6,Renault,Kadjar,1.5dci Blue Intens 85kw,2019,,139.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-intens-85kw-en-salamanca.htm?id=8073920,13990
7,Renault,Kadjar,1.5dci Energy Xmod 81kw,2015,10,96.000 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-xmod-81kw-en-barcelona.htm?id=8053162,13700
8,Renault,Kadjar,1.5dci Blue Intens 85kw,2019,06,47.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-intens-85kw-en-madrid.htm?id=8027656,17995
9,Renault,Kadjar,1.2 Tce Energy Limited 97kw,2018,04,58.057 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-limited-97kw-en-toledo.htm?id=8111985,15999
10,Renault,Kadjar,1.5dci Blue Business 85kw,2019,,183.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-sevilla.htm?id=8100040,12500
11,Renault,Kadjar,1.6dci Energy Zen 96kw,2016,03,37.348 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-16dci-energy-zen-96kw-en-barcelona.htm?id=8089096,15900
12,Renault,Kadjar,1.5dci Blue Techno Edc 85kw,2022,,26.514 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-techno-edc-85kw-en-ciudad+real.htm?id=8064208,26500
13,Renault,Kadjar,1.3 Tce Gpf Techno Edc 103kw,2022,,18.268 km,Gasolina,140 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-techno-edc-103kw-en-toledo.htm?id=8062748,26500
14,Renault,Kadjar,1.3 Tce Gpf Techno 103kw,2022,,24.100 km,Gasolina,140 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-techno-103kw-en-toledo.htm?id=8062731,25500
15,Renault,Kadjar,1.2 Tce Energy Zen Edc 97kw,2016,12,41.260 km,Gasolina,130 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-zen-edc-97kw-en-toledo.htm?id=8049021,15899
16,Renault,Kadjar,1.2 Tce Energy Tech Road 97kw,2018,01,61.000 km,Gasolina,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-tech-road-97kw-en-madrid.htm?id=8022037,15995
17,Renault,Kadjar,1.5dci Blue Business 85kw,2020,,131.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-alicante.htm?id=8073347,15900
18,Renault,Kadjar,1.5dci Energy Intens Edc 81kw,2017,,168.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-intens-edc-81kw-en-malaga.htm?id=8003467,13995
19,Renault,Kadjar,1.6dci Energy Intens 96kw,2017,,131.306 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-16dci-energy-intens-96kw-en-malaga.htm?id=7984366,15200
20,Renault,Kadjar,1.6dci Energy Intens 96kw,2015,07,152.937 km,Diesel,130 CV,manual,5 puertas,BEIGE CLARO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-16dci-energy-intens-96kw-en-valencia.htm?id=7943866,13700
21,Renault,Kadjar,1.3 Tce Gpf Limited 103kw,2021,02,81.102 km,Gasolina,140 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-limited-103kw-en-madrid.htm?id=7791505,18500
22,Renault,Kadjar,1.5dci Blue Techno Edc 85kw,2022,,33.193 km,Diesel,115 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-techno-edc-85kw-en-madrid.htm?id=8125214,26750
23,Renault,Kadjar,1.3 Tce Gpf Techno Edc 103kw,2022,,10.812 km,Gasolina,140 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-techno-edc-103kw-en-madrid.htm?id=8125160,25850
24,Renault,Kadjar,1.3 Tce Gpf Techno Edc 103kw,2022,,6.215 km,Gasolina,140 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-kadjar-13-tce-gpf-techno-edc-103kw-en-madrid.htm?id=8123804,26050
25,Renault,Kadjar,1.3 Tce Gpf Zen 103kw,2019,06,37.713 km,Gasolina,140 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-zen-103kw-en-toledo.htm?id=8115947,20799
26,Renault,Kadjar,1.3 Tce Gpf Zen 103kw,2019,,20.655 km,Gasolina,140 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-zen-103kw-en-valencia.htm?id=8112077,22900
27,Renault,Kadjar,1.7dci Blue Zen 4x4 110kw,2020,,120.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-17dci-blue-zen-4x4-110kw-en-ciudad+real.htm?id=8108554,19990
28,Renault,Kadjar,1.5dci Blue Business 85kw,2019,09,36.000 km,Diesel,115 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-business-85kw-en-malaga.htm?id=8104119,20400
29,Renault,Kadjar,1.3 Tce Gpf Techno Edc 103kw,2022,,9.472 km,Gasolina,140 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-kadjar-13-tce-gpf-techno-edc-103kw-en-ciudad+real.htm?id=8100097,25900
30,Renault,Kadjar,1.3 Tce Gpf Techno Edc 103kw,2022,,7.007 km,Gasolina,140 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-renault-kadjar-13-tce-gpf-techno-edc-103kw-en-madrid.htm?id=8099952,26050
31,Renault,Kadjar,1.5dci Blue Techno Edc 85kw,2022,,11.406 km,Diesel,115 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-techno-edc-85kw-en-madrid.htm?id=8092869,27050
32,Renault,Kadjar,1.5dci Blue Zen Edc 85kw,2019,,174.000 km,Diesel,115 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-zen-edc-85kw-en-lleida.htm?id=8091790,15800
33,Renault,Kadjar,1.3 Tce Gpf Techno 103kw,2022,01,6.872 km,Gasolina,140 CV,manual,5 puertas,GRIS,Profesional,https://www.coches.com/km0/seminuevo-renault-kadjar-13-tce-gpf-techno-103kw-en-vizcaya.htm?id=8091529,25500
34,Renault,Kadjar,1.3 Tce Gpf Zen 103kw,2019,04,32.188 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-zen-103kw-en-toledo.htm?id=8091093,18999
35,Renault,Kadjar,1.5dci Blue Zen Edc 85kw,2019,06,123.710 km,Diesel,115 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-blue-zen-edc-85kw-en-toledo.htm?id=8088904,17499
36,Renault,Kadjar,1.2 Tce Energy Life 97kw,2018,,44.000 km,Gasolina,130 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-life-97kw-en-ciudad+real.htm?id=8087279,18490
37,Renault,Kadjar,1.3 Tce Gpf Limited 103kw,2021,,98.517 km,Gasolina,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-13-tce-gpf-limited-103kw-en-malaga.htm?id=8079885,18500
38,Renault,Kadjar,1.2 Tce Energy Limited Edc 97kw,2018,08,64.127 km,Gasolina,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-12-tce-energy-limited-edc-97kw-en-sevilla.htm?id=8062089,18499
39,Renault,Kadjar,1.5dci Energy Life 81kw,2015,05,100.000 km,Diesel,110 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kadjar-15dci-energy-life-81kw-en-sevilla.htm?id=8055419,12800
