,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Kangoo,Z.e. Furgón,2019,,21.714 km,Eléctrico,60 CV,automática,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-ze-furgon-en-sevilla.htm?id=7610459,11500
1,Renault,Kangoo,Z.e. Furgón Flexi,2019,,46.900 km,Eléctrico,60 CV,automática,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-ze-furgon-flexi-en-barcelona.htm?id=8128248,10500
2,Renault,Kangoo,Combi 1.5dci Expression 85,2011,,307.000 km,Diesel,85 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-expression-85-en-segovia.htm?id=8122682,4719
3,Renault,Kangoo,Combi 1.5dci Blue Zen 70kw,2022,12,12.770 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-blue-zen-70kw-en-sevilla.htm?id=8099047,17900
4,Renault,Kangoo,Fg. 1.5blue Dci Profesional 70kw,2020,05,80.617 km,Diesel,95 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15blue-dci-profesional-70kw-en-barcelona.htm?id=8089102,11390
5,Renault,Kangoo,Fg. Maxi 1.5dci Profesional 2pl. 66kw,2018,04,82.993 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-maxi-15dci-profesional-2pl-66kw-en-sevilla.htm?id=8034232,16500
6,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2016,03,165.607 km,Diesel,75 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-sevilla.htm?id=7863227,7950
7,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2016,,211.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-palmas+las.htm?id=7632550,10490
8,Renault,Kangoo,Combi 1.5dci En. Emotion N1 55kw,2017,,180.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-en-emotion-n1-55kw-en-valencia.htm?id=7694638,10500
9,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2017,,160.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-ciudad+real.htm?id=7672191,7990
10,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2017,,94.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-lleida.htm?id=7332501,11990
11,Renault,Kangoo,Z.e. Maxi 5pl.,2019,01,72.196 km,Eléctrico,60 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-ze-maxi-5pl-en-valencia.htm?id=8038988,18900
12,Renault,Kangoo,Combi 1.5dci En. Profesional N1 55kw,2019,,137.000 km,Diesel,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-en-profesional-n1-55kw-en-salamanca.htm?id=8068867,10990
13,Renault,Kangoo,Fg. Maxi 1.5dci Profesional 80kw 2pl.,2019,,168.000 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-maxi-15dci-profesional-80kw-2pl-en-madrid.htm?id=8112414,8000
14,Renault,Kangoo,Z.e. Furgón Flexi,2019,,40.000 km,Eléctrico,60 CV,automática,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-ze-furgon-flexi-en-ciudad+real.htm?id=8106708,8490
15,Renault,Kangoo,Combi 1.5dci En. Limited M1-af 81kw,2018,06,135.016 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-en-limited-m1-af-81kw-en-pontevedra.htm?id=7330227,8800
16,Renault,Kangoo,Fg. 1.5dci Profesional 66kw,2018,,66.000 km,Diesel,90 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-66kw-en-madrid.htm?id=8124095,8099
17,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2018,,50.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-madrid.htm?id=8120477,7396
18,Renault,Kangoo,Fg. 1.5dci Profesional 55kw,2018,,72.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-55kw-en-madrid.htm?id=8116080,7685
