,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Seat,Altea,Xl 1.9tdi Reference,2007,07,115.732 km,Diesel,105 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-19tdi-reference-en-sevilla.htm?id=8118021,5750
1,Seat,Altea,1.9tdi Green,2006,,138.500 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-19tdi-green-en-alicante.htm?id=8110768,4999
2,Seat,Altea,1.9tdi Reference,2004,,260.000 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-19tdi-reference-en-lleida.htm?id=8063964,4000
3,Seat,Altea,Xl 1.9tdi Family,2009,,199.000 km,Diesel,105 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-19tdi-family-en-madrid.htm?id=8128749,5990
4,Seat,Altea,Xl 1.6tdi Cr S&s Style E-eco.,2012,,189.000 km,Diesel,105 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-style-e-eco-en-valencia.htm?id=8118738,8500
5,Seat,Altea,1.2 Tsi S&s Style,2014,10,128.098 km,Gasolina,105 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-12-tsi-s_s-style-en-toledo.htm?id=8116649,8199
6,Seat,Altea,1.9tdi Reference Dpf 105,2010,11,207.090 km,Diesel,105 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-19tdi-reference-dpf-105-en-sevilla.htm?id=8097344,6750
7,Seat,Altea,1.9tdi Style,2009,,73.060 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-19tdi-style-en-alicante.htm?id=8083475,8900
8,Seat,Altea,1.2 Tsi Style,2010,11,225.000 km,Gasolina,105 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-12-tsi-style-en-barcelona.htm?id=8077690,5999
9,Seat,Altea,Xl 1.6tdi Cr S&s I-tech E-ecomotive,2013,07,66.126 km,Diesel,105 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-16tdi-cr-s_s-i-tech-e-ecomotive-en-madrid.htm?id=8076737,12430
