,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Seat,Arona,1.0 Tgi S&s Style 90,2020,01,39.900 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tgi-s_s-style-90-en-barcelona.htm?id=8025728,13490
1,Seat,Arona,1.0 Tsi S&s Fr 110,2022,,11.400 km,Gasolina,110 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-fr-110-en-murcia.htm?id=7890549,19995
2,Seat,Arona,1.0 Tsi S&s Fr Dsg7 110,2022,,24.000 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-fr-dsg7-110-en-almeria.htm?id=8082230,19500
3,Seat,Arona,1.0 Tsi S&s Fr Xm 110,2023,,NUEVO,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-seat-arona-10-tsi-s_s-fr-xm-110-en-madrid.htm?id=8015464,22886
4,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2019,,75.000 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-murcia.htm?id=7767712,18000
5,Seat,Arona,1.0 Tsi Ecomotive S&s Style Dsg7 110,2021,,38.000 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-dsg7-110-en-madrid.htm?id=8106707,17900
6,Seat,Arona,1.0 Tsi S&s Fr 110,2021,,55.517 km,Gasolina,110 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-fr-110-en-malaga.htm?id=8007752,18499
7,Seat,Arona,1.0 Tsi S&s Fr Dsg7 110,2022,02,10.700 km,Gasolina,110 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-fr-dsg7-110-en-barcelona.htm?id=8025876,22000
8,Seat,Arona,1.0 Tsi Ecomotive S&s Style 95,2019,,44.500 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-navarra.htm?id=6229295,17500
9,Seat,Arona,1.0 Tsi S&s Style Xm 110,2023,,NUEVO,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-seat-arona-10-tsi-s_s-style-xm-110-en-sevilla.htm?id=8006956,21053
10,Seat,Arona,1.5 Tsi S&s Fr Dsg7 Xm 150,2023,,NUEVO,Gasolina,150 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-seat-arona-15-tsi-s_s-fr-dsg7-xm-150-en-sevilla.htm?id=8005502,25750
11,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2020,,39.000 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-barcelona.htm?id=8117153,14990
12,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2019,05,58.636 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-toledo.htm?id=8082518,14499
13,Seat,Arona,1.0 Tsi Ecomotive S&s Reference Plus 95,2017,11,41.173 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-reference-plus-95-en-toledo.htm?id=8060782,12699
14,Seat,Arona,1.0 Tsi Ecomotive S&s Style 110,2020,,16.500 km,Gasolina,110 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-110-en-cadiz.htm?id=8122223,15490
15,Seat,Arona,1.6tdi Cr S&s Style 115,2018,,63.060 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-16tdi-cr-s_s-style-115-en-malaga.htm?id=8116913,14000
16,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2019,,52.144 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-malaga.htm?id=8114199,14900
17,Seat,Arona,1.0 Tsi S&s Style 110,2021,07,32.550 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-sevilla.htm?id=8084227,16950
18,Seat,Arona,1.6tdi Cr S&s Style 115,2019,03,51.264 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-16tdi-cr-s_s-style-115-en-toledo.htm?id=8060399,15299
19,Seat,Arona,1.5 Tsi Ecomotive S&s Fr 150,2018,09,36.891 km,Gasolina,150 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-15-tsi-ecomotive-s_s-fr-150-en-toledo.htm?id=8048660,17899
20,Seat,Arona,1.0 Tsi S&s Style 110,2021,01,38.944 km,Gasolina,110 CV,manual,5 puertas,GRIS MAGNETIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-barcelona.htm?id=8033520,16400
21,Seat,Arona,1.0 Tsi S&s Style 110,2021,01,38.676 km,Gasolina,110 CV,manual,5 puertas,PLATA URBAN,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-s_s-style-110-en-barcelona.htm?id=7978314,16400
22,Seat,Arona,1.0 Tsi S&s Xperience Xs 110,2022,10,7.976 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-seat-arona-10-tsi-s_s-xperience-xs-110-en-barcelona.htm?id=8094429,18900
