,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,,92.662 km,Gasolina,60 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-sevilla.htm?id=7946936,8750
1,Skoda,Citigo,1.0 Mpi Active 44kw,2014,,94.000 km,Gasolina,60 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-active-44kw-en-madrid.htm?id=7400461,7500
2,Skoda,Citigo,1.0 Mpi Ambition 55kw,2018,,92.671 km,Gasolina,75 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-55kw-en-sevilla.htm?id=8066339,8750
3,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,,92.086 km,Gasolina,60 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-sevilla.htm?id=8066333,8750
4,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,,91.026 km,Gasolina,60 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-sevilla.htm?id=8066303,8750
5,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,,88.744 km,Gasolina,60 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-sevilla.htm?id=8066296,8750
6,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,,87.865 km,Gasolina,60 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-sevilla.htm?id=8066264,8750
7,Skoda,Citigo,1.0 Mpi Ambition 44kw,2017,,68.723 km,Gasolina,60 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-madrid.htm?id=8125216,9050
8,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,05,94.223 km,Gasolina,60 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-malaga.htm?id=8026310,7900
9,Skoda,Citigo,1.0 Mpi Ambition 44kw,2018,04,91.106 km,Gasolina,60 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-citigo-10-mpi-ambition-44kw-en-malaga.htm?id=8026309,7900
