,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Karoq,1.0 Tsi Ambition,2019,,123.712 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-10-tsi-ambition-en-sevilla.htm?id=7815072,18475
1,Skoda,Karoq,1.5 Tsi Ambition Act,2021,,60.000 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-ambition-act-en-malaga.htm?id=7374481,26550
2,Skoda,Karoq,1.5 Tsi Sportline Act Dsg,2019,,48.520 km,Gasolina,150 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-sportline-act-dsg-en-illes+balears.htm?id=8028970,23900
3,Skoda,Karoq,1.0 Tsi Ambition,2023,07,3.855 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-ambition-en-palmas+las.htm?id=8106557,24900
4,Skoda,Karoq,1.5 Tsi Style Act,2022,04,11.264 km,Gasolina,150 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-style-act-en-palmas+las.htm?id=8101339,25990
5,Skoda,Karoq,1.5 Tsi Style Act,2023,,NUEVO,Gasolina,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-style-act-en-madrid.htm?id=8114063,29504
6,Skoda,Karoq,1.5 Tsi Ambition Act,2023,05,5.285 km,Gasolina,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-ambition-act-en-palmas+las.htm?id=8106460,27990
7,Skoda,Karoq,1.0 Tsi Ambition,2019,01,132.852 km,Gasolina,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-10-tsi-ambition-en-toledo.htm?id=8093242,13299
8,Skoda,Karoq,1.5 Tsi Ambition Act,2023,,NUEVO,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-ambition-act-en-madrid.htm?id=8012790,29190
9,Skoda,Karoq,1.0 Tsi Ambition,2023,10,1.362 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-ambition-en-palmas+las.htm?id=8106980,26990
10,Skoda,Karoq,1.0 Tsi Ambition,2023,07,4.860 km,Gasolina,110 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-ambition-en-palmas+las.htm?id=8106916,25990
11,Skoda,Karoq,1.0 Tsi Active,2022,06,7.359 km,Gasolina,110 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-active-en-palmas+las.htm?id=8101525,23990
12,Skoda,Karoq,2.0tdi Adblue Ambition 85kw,2022,,10 km,Diesel,115 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-20tdi-adblue-ambition-85kw-en-asturias.htm?id=7625253,27900
13,Skoda,Karoq,1.0 Tsi Ambition,2019,,70.000 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-10-tsi-ambition-en-zaragoza.htm?id=8125222,17900
14,Skoda,Karoq,1.5 Tsi Ambition Act,2023,05,4.397 km,Gasolina,150 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-ambition-act-en-palmas+las.htm?id=8106470,28990
15,Skoda,Karoq,1.5 Tsi Sportline Act,2020,11,52.251 km,Gasolina,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-sportline-act-en-toledo.htm?id=8115236,23799
16,Skoda,Karoq,1.5 Tsi Ambition Act Dsg,2018,12,51.786 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-ambition-act-dsg-en-valencia.htm?id=8112565,21900
17,Skoda,Karoq,1.6tdi Ambition,2019,07,99.000 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-16tdi-ambition-en-murcia.htm?id=8107101,20390
18,Skoda,Karoq,1.0 Tsi Ambition,2022,12,6.512 km,Gasolina,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-ambition-en-palmas+las.htm?id=8106511,23990
19,Skoda,Karoq,1.5 Tsi Sportline Act Dsg,2023,02,8.720 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-sportline-act-dsg-en-barcelona.htm?id=8094432,33990
20,Skoda,Karoq,1.6tdi Like,2018,,140.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-16tdi-like-en-badajoz.htm?id=8086533,18500
21,Skoda,Karoq,1.5 Tsi Style Act Dsg,2019,,99.000 km,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-style-act-dsg-en-madrid.htm?id=8050211,22990
22,Skoda,Karoq,1.5 Tsi Sportline Act Dsg,2023,,5.000 km,Gasolina,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-15-tsi-sportline-act-dsg-en-madrid.htm?id=8050200,33990
23,Skoda,Karoq,1.5 Tsi Ambition Act Dsg,2018,,72.000 km,Gasolina,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-karoq-15-tsi-ambition-act-dsg-en-huesca.htm?id=8040656,20990
24,Skoda,Karoq,1.0 Tsi Ambition,2023,06,4.450 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-karoq-10-tsi-ambition-en-madrid.htm?id=8015870,25300
