,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Scala,1.0 Tsi Ambition 81kw,2022,01,13.500 km,Gasolina,110 CV,manual,5 puertas,Rojo Velvet Metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-81kw-en-cordoba.htm?id=7871255,20100
1,Skoda,Scala,1.0 Tsi Style Dsg  81kw,2023,,NUEVO,Gasolina,110 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-scala-10-tsi-style-dsg--81kw-en-madrid.htm?id=8012856,24940
2,Skoda,Scala,1.0 Tsi Ambition 81kw,2022,07,11.023 km,Gasolina,110 CV,manual,5 puertas,Rojo Velvet Metalizada Especia,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-81kw-en-cadiz.htm?id=7903578,18900
3,Skoda,Scala,1.0 Tsi Emotion 81kw,2022,07,12.655 km,Gasolina,110 CV,manual,5 puertas,Blanco Candy UNIFORME,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-emotion-81kw-en-cadiz.htm?id=7903573,18900
4,Skoda,Scala,1.0 Tsi Ambition 81kw,2022,,36.845 km,Gasolina,110 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-81kw-en-barcelona.htm?id=7976372,16999
5,Skoda,Scala,1.5 Tsi Style Dsg 110kw,2022,02,40.225 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-15-tsi-style-dsg-110kw-en-sevilla.htm?id=7924794,18890
6,Skoda,Scala,1.5 Tsi Style Dsg 110kw,2022,02,40.225 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-15-tsi-style-dsg-110kw-en-madrid.htm?id=7924734,18890
7,Skoda,Scala,1.5 Tsi Style Dsg 110kw,2022,02,40.225 km,Gasolina,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-15-tsi-style-dsg-110kw-en-malaga.htm?id=7922239,18890
8,Skoda,Scala,1.6 Tdi Ambition 85kw,2019,11,47.334 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-16-tdi-ambition-85kw-en-toledo.htm?id=8116659,16999
9,Skoda,Scala,1.0 Tsi Ambition 81kw,2022,02,22.340 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-scala-10-tsi-ambition-81kw-en-toledo.htm?id=8106262,17699
