,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ssangyong,Korando,D20t Premium 4x2,2013,,121.000 km,Diesel,175 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d20t-premium-4x2-en-salamanca.htm?id=8116820,9500
1,Ssangyong,Korando,E-motion Limited,2023,09,1.176 km,Eléctrico,190 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-korando-e-motion-limited-en-madrid.htm?id=8065049,36900
2,Ssangyong,Korando,G15 Urban Plus 4x2,2023,04,7.000 km,Gasolina,149 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-korando-g15-urban-plus-4x2-en-madrid.htm?id=8061952,23900
3,Ssangyong,Korando,G15 Premium 4x2 L.p.,2022,02,32.558 km,Gasolina,149 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-g15-premium-4x2-lp-en-toledo.htm?id=8049019,18699
4,Ssangyong,Korando,D20t Limited 4x2 Aut.,2014,,145.000 km,Diesel,175 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d20t-limited-4x2-aut-en-lleida.htm?id=8115333,10890
5,Ssangyong,Korando,D20t Premium 4x2,2011,,122.000 km,Diesel,175 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d20t-premium-4x2-en-alicante.htm?id=8065087,9899
6,Ssangyong,Korando,D16t Limited 4x2,2021,08,34.000 km,Diesel,136 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d16t-limited-4x2-en-madrid.htm?id=8027633,22995
7,Ssangyong,Korando,G15t Limited 4x2 L.p.,2023,01,0 km,Gasolina,149 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-korando-g15t-limited-4x2-lp-en-tarragona.htm?id=7981437,32900
8,Ssangyong,Korando,G15 Urban 4x2 L.p.,2023,05,0 km,Gasolina,149 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-korando-g15-urban-4x2-lp-en-tarragona.htm?id=7981436,26300
9,Ssangyong,Korando,G15t Limited 4x2 L.p.,2023,02,0 km,Gasolina,149 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-korando-g15t-limited-4x2-lp-en-tarragona.htm?id=7977875,29295
10,Ssangyong,Korando,D20t Limited 4x2,2011,,118.881 km,Diesel,175 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d20t-limited-4x2-en-toledo.htm?id=7717250,9900
11,Ssangyong,Korando,D22t Limited 4x2,2016,,102.000 km,Diesel,178 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-korando-d22t-limited-4x2-en-ciudad+real.htm?id=8113747,12500
