,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ssangyong,Rexton,270xdi Limited,2007,,152.000 km,Diesel,165 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xdi-limited-en-cantabria.htm?id=8130647,6990
1,Ssangyong,Rexton,270xdi Premium,2006,,242.000 km,Diesel,165 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xdi-premium-en-burgos.htm?id=8003824,6900
2,Ssangyong,Rexton,270xdi Premium Aut.,2006,,202.147 km,Diesel,165 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xdi-premium-aut-en-madrid.htm?id=7944391,8000
3,Ssangyong,Rexton,D22 Dtr Premium 4x4 Aut.,2023,,NUEVO,Diesel,202 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-premium-4x4-aut-en-almeria.htm?id=8025134,47800
4,Ssangyong,Rexton,W 200 E-xdi Premium 4x2,2014,,74.000 km,Diesel,155 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-w-200-e-xdi-premium-4x2-en-malaga.htm?id=8003450,13995
5,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2023,05,1.000 km,Diesel,202 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-madrid.htm?id=7852493,49200
6,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2023,02,5 km,Diesel,202 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-sevilla.htm?id=7860265,51500
7,Ssangyong,Rexton,270xdi Limited Profesional,2006,,204.000 km,Diesel,165 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xdi-limited-profesional-en-malaga.htm?id=8009144,9900
8,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2023,,5 km,Diesel,202 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-guadalajara.htm?id=8009094,53250
9,Ssangyong,Rexton,W 200 E-xdi Premium 4x2,2016,02,109.300 km,Diesel,155 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-w-200-e-xdi-premium-4x2-en-madrid.htm?id=7898367,15800
10,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2023,02,NUEVO,Diesel,202 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-burgos.htm?id=7636700,52980
11,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2023,,5 km,Diesel,202 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-guadalajara.htm?id=7622425,54000
12,Ssangyong,Rexton,2.9td Glx,2002,,250.000 km,Diesel,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-29td-glx-en-cadiz.htm?id=7973500,5990
13,Ssangyong,Rexton,270 Limited Aut.,2006,,298.320 km,Diesel,165 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270-limited-aut-en-asturias.htm?id=7940053,5800
14,Ssangyong,Rexton,D22 Dtr Limited 4x4 Aut.,2022,,33.000 km,Diesel,202 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-d22-dtr-limited-4x4-aut-en-malaga.htm?id=8086799,42000
15,Ssangyong,Rexton,2.9td Gls Aut.,2003,,230.000 km,Diesel,120 CV,automática,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-29td-gls-aut-en-alicante.htm?id=8067179,3400
16,Ssangyong,Rexton,270 Full,2006,,125.000 km,Diesel,165 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270-full-en-girona.htm?id=8110238,6500
17,Ssangyong,Rexton,270xdi Limited Profesional,2006,,107.000 km,Diesel,165 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xdi-limited-profesional-en-valencia.htm?id=8083412,8000
18,Ssangyong,Rexton,270xvt Premium Aut.,2007,,167.000 km,Diesel,186 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270xvt-premium-aut-en-barcelona.htm?id=8018680,7000
19,Ssangyong,Rexton,270 Full,2004,,250.000 km,Diesel,165 CV,manual,5 puertas,Berenjena ,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rexton-270-full-en-ciudad+real.htm?id=7904256,3800
