,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Suzuki,Jimny,1.5 Mode 3,2024,01,NUEVO,Gasolina,102 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-mode-3-en-asturias.htm?id=7109461,24600
1,Suzuki,Jimny,1.5 Jlx Aut.,2019,,75.307 km,Gasolina,102 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jlx-aut-en-madrid.htm?id=8112076,24599
2,Suzuki,Jimny,1.5 Jlx,2020,01,46.500 km,Gasolina,102 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jlx-en-barcelona.htm?id=8029120,28900
3,Suzuki,Jimny,1.3 Jlx Hard Top,2001,06,190.170 km,Gasolina,80 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-hard-top-en-alicante.htm?id=8061960,6900
4,Suzuki,Jimny,1.3 Jx,2017,11,65.481 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057588,16100
5,Suzuki,Jimny,1.3 Jx,2017,11,79.481 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057585,15800
6,Suzuki,Jimny,1.3 Jx,2018,05,73.489 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057584,15900
7,Suzuki,Jimny,1.3 Jx,2018,02,74.995 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057583,15900
8,Suzuki,Jimny,1.3 Jx,2018,05,65.931 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057582,16100
9,Suzuki,Jimny,1.3 Jx,2018,02,71.088 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057581,15900
10,Suzuki,Jimny,1.3 Jx,2018,05,67.189 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056651,16000
11,Suzuki,Jimny,1.3 Jx,2018,05,80.965 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056650,15900
12,Suzuki,Jimny,1.3 Jx,2018,02,60.060 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056648,16200
13,Suzuki,Jimny,1.3 Jx,2018,05,76.980 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056646,15900
14,Suzuki,Jimny,1.3 Jx,2018,02,88.260 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056644,15700
15,Suzuki,Jimny,1.3 Jx,2018,05,68.625 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-jaen.htm?id=8028142,15900
16,Suzuki,Jimny,1.5ddis Jlx Techo Metálico,2007,,260.000 km,Diesel,86 CV,manual,3 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15ddis-jlx-techo-metalico-en-sevilla.htm?id=8013810,7500
17,Suzuki,Jimny,1.3 Jx,2018,02,68.895 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-cadiz.htm?id=7984123,17700
18,Suzuki,Jimny,1.3 Jx,2018,05,68.315 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-valencia.htm?id=7982211,17970
19,Suzuki,Jimny,1.5ddis Jlx Techo Metálico,2008,07,239.714 km,Diesel,86 CV,manual,3 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15ddis-jlx-techo-metalico-en-zaragoza.htm?id=7967629,6999
20,Suzuki,Jimny,1.5 Jx,2022,12,12.456 km,Gasolina,102 CV,manual,3 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jx-en-barcelona.htm?id=7914222,23490
21,Suzuki,Jimny,1.3 Jlx Hard Top,2002,,69.000 km,Gasolina,80 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-hard-top-en-malaga.htm?id=8091839,10900
22,Suzuki,Jimny,1.3 Jx,2018,02,88.000 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-lugo.htm?id=8077042,15900
23,Suzuki,Jimny,1.3 Jx,2017,11,90.000 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-lugo.htm?id=8075875,15900
24,Suzuki,Jimny,1.3 Jx,2018,,112.000 km,Gasolina,85 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-valencia.htm?id=8048598,15900
25,Suzuki,Jimny,1.3 Jx,2017,11,136.521 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-almeria.htm?id=8047885,14900
26,Suzuki,Jimny,1.3 Jx Serie Especial Ranger,2015,,80.000 km,Gasolina,85 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-serie-especial-ranger-en-cantabria.htm?id=8101162,14500
27,Suzuki,Jimny,1.3 Jlx Hard Top,2007,,64.500 km,Gasolina,80 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-hard-top-en-albacete.htm?id=7658625,10500
28,Suzuki,Jimny,1.3 Jx Serie Especial Ranger,2017,,85.000 km,Gasolina,85 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-serie-especial-ranger-en-sevilla.htm?id=8078100,15500
29,Suzuki,Jimny,1.3 Jlx Techo Lona,2003,,154.000 km,Gasolina,80 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-techo-lona-en-barcelona.htm?id=7960610,10900
30,Suzuki,Jimny,1.5ddis Jlx Techo Metálico,2008,,61.337 km,Diesel,86 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15ddis-jlx-techo-metalico-en-vizcaya.htm?id=7881166,13500
31,Suzuki,Jimny,1.5ddis Jlx Techo Metálico,2007,,327.000 km,Diesel,86 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15ddis-jlx-techo-metalico-en-barcelona.htm?id=8049751,5000
32,Suzuki,Jimny,1.3 Jx,2011,,105.000 km,Gasolina,85 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-tarragona.htm?id=7938164,12000
33,Suzuki,Jimny,1.3 Pixel Techo Metálico,2003,,90.000 km,Gasolina,82 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-pixel-techo-metalico-en-illes+balears.htm?id=7832956,7000
34,Suzuki,Jimny,1.3 Jlx,2016,,96.000 km,Gasolina,85 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-en-palmas+las.htm?id=7808940,14500
35,Suzuki,Jimny,1.5ddis Jlx Techo Metálico,2005,,109.000 km,Diesel,86 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15ddis-jlx-techo-metalico-en-tarragona.htm?id=7874844,8000
36,Suzuki,Jimny,1.3 Jx Serie Especial Ranger,2013,09,116.999 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-serie-especial-ranger-en-barcelona.htm?id=8126196,14885
37,Suzuki,Jimny,1.3 Jx,2017,11,66.466 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-coruna+a.htm?id=8123620,18990
38,Suzuki,Jimny,1.3 Jx,2018,05,70.526 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-coruna+a.htm?id=8123619,18990
39,Suzuki,Jimny,1.3 Jx,2017,11,98.256 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-cadiz.htm?id=8113352,14900
40,Suzuki,Jimny,1.5 Jx,2022,07,2.818 km,Gasolina,102 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-jx-en-madrid.htm?id=8112061,23990
41,Suzuki,Jimny,1.5 Jlx,2022,09,20.064 km,Gasolina,102 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jlx-en-madrid.htm?id=8111821,22490
42,Suzuki,Jimny,1.3 Jlx,2017,11,68.400 km,Gasolina,85 CV,manual,3 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-en-almeria.htm?id=8097392,15250
43,Suzuki,Jimny,1.5 Jx,2021,10,20.000 km,Gasolina,102 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jx-en-murcia.htm?id=8096241,23900
44,Suzuki,Jimny,1.5 Mode 3,2019,10,14.000 km,Gasolina,102 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-mode-3-en-madrid.htm?id=8092263,39999
45,Suzuki,Jimny,1.5 Mode 3,2022,09,36.665 km,Gasolina,102 CV,manual,3 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-mode-3-en-madrid.htm?id=8068989,20790
46,Suzuki,Jimny,1.5 Mode 3,2023,01,3.133 km,Gasolina,102 CV,manual,3 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-mode-3-en-tarragona.htm?id=8068774,24500
47,Suzuki,Jimny,1.3 Jx,2017,11,80.923 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057587,15700
48,Suzuki,Jimny,1.3 Jx,2018,05,72.880 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-coruna+a.htm?id=8037988,15990
49,Suzuki,Jimny,1.3 Jx,2018,05,114.128 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-cadiz.htm?id=8019102,14900
50,Suzuki,Jimny,1.3 Jx,2017,11,98.182 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-cadiz.htm?id=8019101,14900
51,Suzuki,Jimny,1.3 Jx,2018,02,52.900 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-lugo.htm?id=8014916,15900
52,Suzuki,Jimny,1.5 Jx,2024,01,NUEVO,Gasolina,102 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-jx-en-valladolid.htm?id=7936062,25500
53,Suzuki,Jimny,1.5 Jx,2024,01,5 km,Gasolina,102 CV,manual,3 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-jx-en-madrid.htm?id=7750132,24435
54,Suzuki,Jimny,1.5 Jx,2024,01,1 km,Gasolina,102 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-jx-en-madrid.htm?id=7750131,24055
55,Suzuki,Jimny,1.5 Jx,2022,12,12.456 km,Gasolina,102 CV,manual,3 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jx-en-barcelona.htm?id=7914222,23490
56,Suzuki,Jimny,1.5 Jlx Aut.,2019,,75.307 km,Gasolina,102 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jlx-aut-en-madrid.htm?id=8112076,24599
57,Suzuki,Jimny,1.5 Jlx,2020,01,46.500 km,Gasolina,102 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-15-jlx-en-barcelona.htm?id=8029120,28900
58,Suzuki,Jimny,1.5 Mode 3,2024,01,NUEVO,Gasolina,102 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-jimny-15-mode-3-en-asturias.htm?id=7109461,24600
59,Suzuki,Jimny,1.3 Jlx Hard Top,2001,06,190.170 km,Gasolina,80 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jlx-hard-top-en-alicante.htm?id=8061960,6900
60,Suzuki,Jimny,1.3 Jx,2017,11,65.481 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057588,16100
61,Suzuki,Jimny,1.3 Jx,2017,11,79.481 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057585,15800
62,Suzuki,Jimny,1.3 Jx,2018,05,73.489 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057584,15900
63,Suzuki,Jimny,1.3 Jx,2018,02,74.995 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057583,15900
64,Suzuki,Jimny,1.3 Jx,2018,05,65.931 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057582,16100
65,Suzuki,Jimny,1.3 Jx,2018,02,71.088 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8057581,15900
66,Suzuki,Jimny,1.3 Jx,2018,05,67.189 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056651,16000
67,Suzuki,Jimny,1.3 Jx,2018,05,80.965 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056650,15900
68,Suzuki,Jimny,1.3 Jx,2018,02,60.060 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056648,16200
69,Suzuki,Jimny,1.3 Jx,2018,05,76.980 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056646,15900
70,Suzuki,Jimny,1.3 Jx,2018,02,88.260 km,Gasolina,85 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-madrid.htm?id=8056644,15700
71,Suzuki,Jimny,1.3 Jx,2018,05,68.625 km,Gasolina,85 CV,manual,3 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-jimny-13-jx-en-jaen.htm?id=8028142,15900
