,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,01,6.843 km,Gasolina,129 CV,manual,5 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=8097170,23899
1,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,01,5.855 km,Gasolina,129 CV,manual,5 puertas,BLANCO PERLADO,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=8097169,23900
2,Suzuki,S-Cross,1.4l Mild Hybrid S1,2023,03,45 km,Gasolina,129 CV,manual,5 puertas,Gris-negro,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s1-en-valencia.htm?id=7999504,25000
3,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,01,6.497 km,Gasolina,129 CV,manual,5 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=8115983,24700
4,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,01,1 km,Gasolina,129 CV,manual,5 puertas,AZUL ESFERA PERLADO,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=8109328,27299
5,Suzuki,S-Cross,1.4l Mild Hybrid S2 4wd,2023,01,NUEVO,Gasolina,129 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-4wd-en-alava.htm?id=8059941,29600
6,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,07,3.236 km,Gasolina,129 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-tarragona.htm?id=8036524,26800
7,Suzuki,S-Cross,1.4l Mild Hybrid S2 4wd,2023,01,1 km,Gasolina,129 CV,manual,5 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-4wd-en-madrid.htm?id=8109324,28599
8,Suzuki,S-Cross,1.4l Mild Hybrid S2 4wd,2023,01,1 km,Gasolina,129 CV,manual,5 puertas,NEGRO COSMICO PERLADO,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-4wd-en-madrid.htm?id=8041031,29000
9,Suzuki,S-Cross,1.4l Mild Hybrid S2 4wd,2023,01,NUEVO,Gasolina,129 CV,manual,5 puertas,NEGRO COSMICO PERLADO,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-4wd-en-madrid.htm?id=8041049,29000
10,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,,0 km,Gasolina,129 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-guadalajara.htm?id=8033832,26395
11,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,,0 km,Gasolina,129 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-guadalajara.htm?id=8033831,26395
12,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,,0 km,Gasolina,129 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-guadalajara.htm?id=8033826,25695
13,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,,0 km,Gasolina,129 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-guadalajara.htm?id=8033824,25995
14,Suzuki,S-Cross,1.4l Mild Hybrid S3,2023,,0 km,Gasolina,129 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-en-guadalajara.htm?id=8033821,29595
15,Suzuki,S-Cross,1.4l Mild Hybrid S3,2023,,0 km,Gasolina,129 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-en-guadalajara.htm?id=8033819,29595
16,Suzuki,S-Cross,1.4l Mild Hybrid S3 4wd,2023,,NUEVO,Gasolina,129 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-4wd-en-madrid.htm?id=8007361,32700
17,Suzuki,S-Cross,1.4l Mild Hybrid S3,2023,,NUEVO,Gasolina,129 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-en-madrid.htm?id=8007347,30885
18,Suzuki,S-Cross,1.4l Mild Hybrid S3 4wd,2023,01,3.555 km,Gasolina,129 CV,manual,5 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-4wd-en-tarragona.htm?id=7964204,29690
19,Suzuki,S-Cross,1.4l Mild Hybrid S3 4wd,2023,01,3.719 km,Gasolina,129 CV,manual,5 puertas,BLANCO SUPERIOR,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s3-4wd-en-tarragona.htm?id=7964200,29690
20,Suzuki,S-Cross,1.4l Mild Hybrid S2,2023,,NUEVO,Gasolina,129 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-14l-mild-hybrid-s2-en-madrid.htm?id=7920139,26305
21,Suzuki,S-Cross,1.5l Strong Hybrid S3,2023,,NUEVO,Híbrido,102 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-suzuki-s-cross-15l-strong-hybrid-s3-en-madrid.htm?id=7920133,28000
