,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Suzuki,Swift,1.2 Mild Hybrid Glx,2023,06,2.997 km,Gasolina,83 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-12-mild-hybrid-glx-en-tarragona.htm?id=8007256,20800
1,Suzuki,Swift,1.4t Mild Hybrid Sport,2023,03,0 km,Gasolina,129 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-14t-mild-hybrid-sport-en-tarragona.htm?id=7987926,26960
2,Suzuki,Swift,1.2 Gle Cvt Evap,2019,,37.831 km,Gasolina,90 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-gle-cvt-evap-en-tenerife.htm?id=8127974,14840
3,Suzuki,Swift,1.4t Mild Hybrid Sport,2022,12,15.345 km,Gasolina,129 CV,manual,5 puertas,BLANCO PERLADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-14t-mild-hybrid-sport-en-vizcaya.htm?id=8108663,23001
4,Suzuki,Swift,1.2 Mild Hybrid Gle,2023,01,1 km,Gasolina,83 CV,manual,5 puertas,ROJO / NEGRO,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-12-mild-hybrid-gle-en-madrid.htm?id=8104518,19199
5,Suzuki,Swift,1.2 Gl,2014,08,124.340 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-gl-en-toledo.htm?id=8084151,8299
6,Suzuki,Swift,1.2 Mild Hybrid Gle Cvt,2023,01,1 km,Gasolina,83 CV,automática secuencial,5 puertas,PLATA PREMIUM,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-12-mild-hybrid-gle-cvt-en-madrid.htm?id=8030286,19000
7,Suzuki,Swift,1.2 Mild Hybrid Evap Glx,2019,04,49.900 km,Gasolina,90 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-mild-hybrid-evap-glx-en-madrid.htm?id=7973714,14650
8,Suzuki,Swift,1.2 Mild Hybrid Evap Glx,2019,08,49.124 km,Gasolina,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-mild-hybrid-evap-glx-en-madrid.htm?id=7967122,14650
9,Suzuki,Swift,1.2 Mild Hybrid Gle,2023,,NUEVO,Gasolina,83 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-12-mild-hybrid-gle-en-madrid.htm?id=7920058,19670
10,Suzuki,Swift,1.2 Gl 4x4,2015,,107.000 km,Gasolina,95 CV,manual,5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-gl-4x4-en-tenerife.htm?id=7871693,11490
11,Suzuki,Swift,1.2 Glx,2011,,192.000 km,Gasolina,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-glx-en-valencia.htm?id=7747791,5500
12,Suzuki,Swift,1.3 Glx,2006,01,180.000 km,Gasolina,92 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-glx-en-coruna+a.htm?id=7339181,5500
13,Suzuki,Swift,1.4t Mild Hybrid Sport,2022,10,7 km,Gasolina,129 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-14t-mild-hybrid-sport-en-almeria.htm?id=7322689,25200
14,Suzuki,Swift,1.4t Mild Hybrid Sport,2024,01,NUEVO,Gasolina,129 CV,manual,5 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-14t-mild-hybrid-sport-en-asturias.htm?id=7104440,25900
15,Suzuki,Swift,1.3 Gl,2009,,185.000 km,Gasolina,92 CV,manual,3 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-gl-en-toledo.htm?id=8015561,5900
16,Suzuki,Swift,1.2 Mild Hybrid Glx Cvt,2023,,NUEVO,Gasolina,83 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-suzuki-swift-12-mild-hybrid-glx-cvt-en-madrid.htm?id=7966840,21995
17,Suzuki,Swift,1.3 Glx,2005,06,228.000 km,Gasolina,92 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-glx-en-valencia.htm?id=7841270,2990
18,Suzuki,Swift,1.3 Gl,2008,,158.000 km,Gasolina,92 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-gl-en-alicante.htm?id=8102051,3500
19,Suzuki,Swift,1.3 Gl,2007,,220.000 km,Gasolina,92 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-gl-en-illes+balears.htm?id=8032511,2950
20,Suzuki,Swift,1.3 Gls,1997,,74.000 km,Gasolina,68 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-gls-en-alicante.htm?id=7757310,1300
21,Suzuki,Swift,1.3 Black And White,2010,,110.500 km,Gasolina,92 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-black-and-white-en-rioja+la.htm?id=7950869,5800
22,Suzuki,Swift,1.2 Gle Cvt Evap,2018,,45.993 km,Gasolina,90 CV,automática continua,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-12-gle-cvt-evap-en-barcelona.htm?id=7815341,14500
23,Suzuki,Swift,1.3 Ddis Gl,2011,,200.000 km,Diesel,75 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-ddis-gl-en-alicante.htm?id=7404913,4500
24,Suzuki,Swift,1.3 Ddis Gl,2013,,130.000 km,Diesel,75 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-swift-13-ddis-gl-en-toledo.htm?id=7937128,5900
