,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Tesla,Model X,Long Range Awd,2019,,95.000 km,Eléctrico,525 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=8032157,58990
1,Tesla,Model X,100d,2018,,99.999 km,Eléctrico,423 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-toledo.htm?id=8084912,54900
2,Tesla,Model X,Long Range Awd,2020,07,64.145 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=8044891,66490
3,Tesla,Model X,Long Range Awd,2020,09,34.559 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=7973703,58500
4,Tesla,Model X,100d,2018,,105.000 km,Eléctrico,423 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-toledo.htm?id=7718648,54900
5,Tesla,Model X,Long Range Awd,2020,,60.000 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-barcelona.htm?id=8096026,65000
6,Tesla,Model X,P100d,2018,,130.000 km,Eléctrico,612 CV,"directo, sin caja de cambios",5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-p100d-en-tarragona.htm?id=8019615,80000
7,Tesla,Model X,100d,2019,,47.000 km,Eléctrico,423 CV,"directo, sin caja de cambios",5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-illes+balears.htm?id=7767998,84000
8,Tesla,Model X,Long Range Awd,2021,01,34.000 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=8102592,77990
9,Tesla,Model X,Long Range Awd,2020,03,34.162 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=8100165,75990
10,Tesla,Model X,100d,2019,01,67.999 km,Eléctrico,423 CV,"directo, sin caja de cambios",5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-madrid.htm?id=8091174,86090
11,Tesla,Model X,Performance Ludicrous Awd,2018,03,114.000 km,Eléctrico,772 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-performance-ludicrous-awd-en-madrid.htm?id=8030330,59990
12,Tesla,Model X,Long Range Awd,2021,05,69.000 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=7985167,59990
13,Tesla,Model X,Long Range Awd,2020,01,71.900 km,Eléctrico,525 CV,"directo, sin caja de cambios",5 puertas,Plata Medianoche (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-long-range-awd-en-madrid.htm?id=7985137,62000
14,Tesla,Model X,100d,2017,12,107.100 km,Eléctrico,423 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-madrid.htm?id=7951633,44700
15,Tesla,Model X,100d,2018,09,53.000 km,Eléctrico,423 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-tesla-model+x-100d-en-madrid.htm?id=7595785,43990
