,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Avensis,150d Advance,2018,,73.170 km,Diesel,143 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-cadiz.htm?id=8097504,16000
1,Toyota,Avensis,Wagon 2.2d-4d Executive,2008,,463.570 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-wagon-22d-4d-executive-en-asturias.htm?id=8050397,3700
2,Toyota,Avensis,Ts 115d Business Advance,2018,,140.266 km,Diesel,112 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-ts-115d-business-advance-en-castellon.htm?id=8111065,15900
3,Toyota,Avensis,Ts 115d Business Advance,2018,,137.000 km,Diesel,112 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-ts-115d-business-advance-en-sevilla.htm?id=8101040,13990
4,Toyota,Avensis,2.0d-4d Executive,2008,02,165.153 km,Diesel,126 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-executive-en-rioja+la.htm?id=8057713,7500
5,Toyota,Avensis,115d Advance,2016,06,137.144 km,Diesel,112 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-115d-advance-en-sevilla.htm?id=7644769,14950
6,Toyota,Avensis,Ts 115d Business,2017,09,80.171 km,Diesel,112 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-ts-115d-business-en-madrid.htm?id=8044779,16290
7,Toyota,Avensis,150d Advance,2018,01,143.000 km,Diesel,143 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-madrid.htm?id=7926300,14900
8,Toyota,Avensis,2.0d-4d Advance,2012,02,85.000 km,Diesel,126 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-advance-en-madrid.htm?id=7898473,11950
9,Toyota,Avensis,2.0d-4d Advance,2011,05,189.000 km,Diesel,126 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-advance-en-barcelona.htm?id=7713792,7990
10,Toyota,Avensis,150d Executive,2014,,187.567 km,Diesel,150 CV,manual,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-executive-en-badajoz.htm?id=7612321,10900
11,Toyota,Avensis,150d Advance,2015,12,187.980 km,Diesel,150 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-coruna+a.htm?id=7545407,13850
12,Toyota,Avensis,150d Advance,2017,,64.000 km,Diesel,143 CV,manual,4 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-palmas+las.htm?id=7856104,15490
13,Toyota,Avensis,150d Advance,2017,,121.200 km,Diesel,143 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-sevilla.htm?id=7816171,13900
14,Toyota,Avensis,2.0d-4d Executive,2006,,343.000 km,Diesel,116 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-executive-en-albacete.htm?id=7819585,3500
15,Toyota,Avensis,2.2d-4d Clean Power Executive,2006,,253.000 km,Diesel,177 CV,manual,4 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-22d-4d-clean-power-executive-en-albacete.htm?id=7819584,5000
16,Toyota,Avensis,150d Business Advance,2017,,180.000 km,Diesel,143 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-business-advance-en-badajoz.htm?id=6962777,14900
17,Toyota,Avensis,2.2d-4d Sol,2007,,218.047 km,Diesel,150 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-22d-4d-sol-en-madrid.htm?id=8091644,4750
18,Toyota,Avensis,2.0d-4d Executive,2003,,267.000 km,Diesel,116 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-executive-en-valencia.htm?id=8068349,1500
19,Toyota,Avensis,150d Advance,2016,,159.000 km,Diesel,143 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-150d-advance-en-madrid.htm?id=7853894,12500
20,Toyota,Avensis,Ts 150d Advance,2018,,194.048 km,Diesel,143 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-ts-150d-advance-en-valencia.htm?id=7787872,12509
21,Toyota,Avensis,2.2d-4d Clean Power Executive,2005,,363.000 km,Diesel,177 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-22d-4d-clean-power-executive-en-madrid.htm?id=7616085,2500
22,Toyota,Avensis,2.0d-4d Sol,2007,,389.000 km,Diesel,126 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-20d-4d-sol-en-tenerife.htm?id=7907952,2900
