,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Proace City,Combi L1 1.5d Vx 130,2021,,34.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-130-en-palmas+las.htm?id=8101253,19990
1,Toyota,Proace City,Family L1 1.5d 5pl. Active,2023,,10.958 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-family-l1-15d-5pl-active-en-barcelona.htm?id=8128938,27490
2,Toyota,Proace City,Combi L1 1.5d Vx 130,2021,,62.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-130-en-palmas+las.htm?id=8089706,19990
3,Toyota,Proace City,Family L1 1.5d 5pl. Active,2023,,2.518 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-family-l1-15d-5pl-active-en-barcelona.htm?id=8084962,29990
4,Toyota,Proace City,Family L1 1.5d 5pl. Active,2020,11,47.000 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-family-l1-15d-5pl-active-en-teruel.htm?id=8061140,30900
5,Toyota,Proace City,Family L1 1.5d 5pl. Advance,2021,,76.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-family-l1-15d-5pl-advance-en-valencia.htm?id=8055961,24900
6,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,07,25.598 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=8000516,24450
7,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,03,34.359 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=8000514,22950
8,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,03,40.068 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=7995788,22950
9,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,07,28.131 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=7995787,22950
10,Toyota,Proace City,Van Media 1.5d Gx Plus 650kg 100,2023,,NUEVO,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-van-media-15d-gx-plus-650kg-100-en-salamanca.htm?id=7933551,22500
11,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,04,25.409 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=7900927,22950
12,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,03,44.507 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=7868111,23450
13,Toyota,Proace City,Combi L1 1.5d Gx 100,2022,04,35.639 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-sevilla.htm?id=7648207,22950
14,Toyota,Proace City,Van Larga 1.5d Gx Plus 100,2023,,NUEVO,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-van-larga-15d-gx-plus-100-en-madrid.htm?id=8064118,25169
15,Toyota,Proace City,Van Media 1.5d Vx 100,2023,02,150 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-van-media-15d-vx-100-en-coruna+a.htm?id=8049970,23293
16,Toyota,Proace City,Combi L1 1.5d Gx 100,2020,,33.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-gx-100-en-valencia.htm?id=8036946,23990
17,Toyota,Proace City,Combi L1 1.5d Vx 100,2021,,22.182 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-100-en-valencia.htm?id=7993193,24900
18,Toyota,Proace City,Combi L1 1.5d Vx 100,2021,02,59.831 km,Diesel,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-100-en-madrid.htm?id=7982306,20850
19,Toyota,Proace City,Van Media 1.5d Gx 650kg 100,2022,01,44.229 km,Diesel,100 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-van-media-15d-gx-650kg-100-en-madrid.htm?id=7924111,20990
20,Toyota,Proace City,Van Media 1.5d Vx 100,2023,04,50 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-van-media-15d-vx-100-en-coruna+a.htm?id=7790606,23300
21,Toyota,Proace City,Van Media 1.5d Gx 100,2020,,78.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-van-media-15d-gx-100-en-barcelona.htm?id=7781143,21990
22,Toyota,Proace City,Combi L1 1.5d Vx 100,2021,08,10.000 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-100-en-barcelona.htm?id=8090861,22900
23,Toyota,Proace City,Family L1 1.5d 5pl. Advance Aut.,2021,,48.000 km,Diesel,130 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-family-l1-15d-5pl-advance-aut-en-vizcaya.htm?id=7835898,29500
24,Toyota,Proace City,Combi L1 1.5d Vx 100,2022,07,34.922 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-100-en-granada.htm?id=8123107,23990
25,Toyota,Proace City,Combi L1 1.5d Vx 100,2020,01,83.384 km,Diesel,100 CV,manual,5 puertas,Blanco Arctic,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-combi-l1-15d-vx-100-en-madrid.htm?id=8120552,20500
26,Toyota,Proace City,Van Media 1.5d Gx 650kg 100,2023,03,50 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-proace+city-van-media-15d-gx-650kg-100-en-zaragoza.htm?id=8113533,23400
27,Toyota,Proace City,Van Larga 1.5d Gx 100,2022,03,14.918 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace+city-van-larga-15d-gx-100-en-barcelona.htm?id=8111762,22390
