,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Yaris Cross,120h Active Tech,2021,12,17.507 km,Híbrido,116 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-toledo.htm?id=8100843,24199
1,Toyota,Yaris Cross,120h Active Tech,2023,,7.960 km,Híbrido,116 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-valencia.htm?id=8095460,25750
2,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,marrón,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-malaga.htm?id=7935343,25950
3,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-salamanca.htm?id=7933772,26750
4,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-salamanca.htm?id=7933765,26450
5,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-leon.htm?id=7933023,26750
6,Toyota,Yaris Cross,120h Active Tech,2023,,7.589 km,Híbrido,116 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-valencia.htm?id=8045193,26250
7,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-salamanca.htm?id=7933777,26940
8,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-salamanca.htm?id=7933770,26850
9,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-leon.htm?id=7933019,26940
10,Toyota,Yaris Cross,120h Active Tech,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-leon.htm?id=7933018,26940
11,Toyota,Yaris Cross,120h Active Tech,2024,01,NUEVO,Híbrido,116 CV,automática continua,5 puertas,BRONCE OLIVA,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-huelva.htm?id=6659628,25950
12,Toyota,Yaris Cross,120h Style,2022,,20.643 km,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-style-en-barcelona.htm?id=8066802,27490
13,Toyota,Yaris Cross,120h Adventure,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-salamanca.htm?id=7933802,30450
14,Toyota,Yaris Cross,120h Adventure,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-salamanca.htm?id=7933797,30450
15,Toyota,Yaris Cross,120h Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-style-en-salamanca.htm?id=7933793,28140
16,Toyota,Yaris Cross,120h Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-style-en-salamanca.htm?id=7933785,28140
17,Toyota,Yaris Cross,120h Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-style-en-leon.htm?id=7933016,27940
18,Toyota,Yaris Cross,120h Adventure,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-leon.htm?id=7933015,30250
19,Toyota,Yaris Cross,120h Adventure,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-leon.htm?id=7933014,30650
20,Toyota,Yaris Cross,120h Adventure,2023,08,300 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-zaragoza.htm?id=8046462,31850
21,Toyota,Yaris Cross,120h Adventure,2023,05,2 km,Híbrido,116 CV,automática continua,5 puertas,blanco perlado,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-barcelona.htm?id=7827928,31095
22,Toyota,Yaris Cross,120h Adventure,2023,06,23 km,Híbrido,116 CV,automática continua,5 puertas,gris agata,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-barcelona.htm?id=7756890,30900
23,Toyota,Yaris Cross,120h Active Tech,2022,,12.650 km,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-tenerife.htm?id=7964582,20590
24,Toyota,Yaris Cross,120h Active Tech Pack Comfort,2022,,29.059 km,Híbrido,116 CV,automática continua,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-pack-comfort-en-murcia.htm?id=8027484,24500
25,Toyota,Yaris Cross,120h Active Tech,2023,04,6.300 km,Híbrido,116 CV,automática continua,5 puertas,Bronce,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8129246,26600
26,Toyota,Yaris Cross,120h Active Tech,2023,04,5.167 km,Híbrido,116 CV,automática continua,5 puertas,Bronce,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8125717,25400
27,Toyota,Yaris Cross,120h Adventure,2023,01,7.650 km,Híbrido,116 CV,automática continua,5 puertas,Bi-tono Blanco Perlado,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-madrid.htm?id=8122668,30800
28,Toyota,Yaris Cross,120h Active Tech Pack Connect,2023,03,7.828 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-pack-connect-en-zaragoza.htm?id=8119745,27800
29,Toyota,Yaris Cross,120h Active Tech,2023,05,10.000 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8117116,25990
30,Toyota,Yaris Cross,120h Adventure,2023,06,3.189 km,Híbrido,116 CV,automática continua,5 puertas,Bi-tono Ámbar,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-sevilla.htm?id=8113178,30490
31,Toyota,Yaris Cross,120h Active Tech Pack Connect,2023,03,9.123 km,Híbrido,116 CV,automática continua,5 puertas,Marrón,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-pack-connect-en-zaragoza.htm?id=8095621,27700
32,Toyota,Yaris Cross,120h Adventure,2023,10,768 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-barcelona.htm?id=8093512,30790
33,Toyota,Yaris Cross,120h Active Tech,2023,03,15.000 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8091831,25990
34,Toyota,Yaris Cross,120h Active Tech,2023,03,20.730 km,Híbrido,116 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8091830,25390
35,Toyota,Yaris Cross,120h Active Tech,2023,05,13.322 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8091828,25990
36,Toyota,Yaris Cross,120h Active Tech Pack Connect,2023,03,7.964 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-pack-connect-en-zaragoza.htm?id=8084010,27450
37,Toyota,Yaris Cross,120h Active Tech,2022,01,53.215 km,Híbrido,116 CV,automática continua,5 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8082916,25490
38,Toyota,Yaris Cross,120h Adventure,2023,06,2.500 km,Híbrido,116 CV,automática continua,5 puertas,blanco perlado,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-barcelona.htm?id=8082818,30990
39,Toyota,Yaris Cross,120h Active Tech,2023,02,NUEVO,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-guipuzcoa.htm?id=8074874,24700
40,Toyota,Yaris Cross,120h Active Tech,2022,04,66.836 km,Híbrido,116 CV,automática continua,5 puertas,Rojo Emoción,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-active-tech-en-sevilla.htm?id=8057242,23990
41,Toyota,Yaris Cross,120h Style,2021,12,16.441 km,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-style-en-zaragoza.htm?id=8056720,27200
42,Toyota,Yaris Cross,120h Adventure,2023,07,10.875 km,Híbrido,116 CV,automática continua,5 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris+cross-120h-adventure-en-madrid.htm?id=8046254,29890
43,Toyota,Yaris Cross,120h Adventure,2023,06,950 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-zaragoza.htm?id=8029479,31350
44,Toyota,Yaris Cross,120h Adventure,2023,04,3.900 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-zaragoza.htm?id=8029461,30490
45,Toyota,Yaris Cross,120h Adventure,2023,05,4.500 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-zaragoza.htm?id=8029460,29900
46,Toyota,Yaris Cross,120h Active Tech,2023,03,10.000 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-madrid.htm?id=8026140,24890
47,Toyota,Yaris Cross,120h Adventure,2024,01,NUEVO,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-guipuzcoa.htm?id=7990973,30575
48,Toyota,Yaris Cross,120h Active Tech,2024,01,0 km,Híbrido,116 CV,automática continua,5 puertas,BRONCE OLIVA,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-huelva.htm?id=7651271,25950
49,Toyota,Yaris Cross,120h Style,2024,01,NUEVO,Híbrido,116 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-style-en-guipuzcoa.htm?id=7211966,28450
50,Toyota,Yaris Cross,120h Adventure,2024,01,NUEVO,Híbrido,116 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-adventure-en-guipuzcoa.htm?id=7211924,30800
51,Toyota,Yaris Cross,120h Active Tech,2024,01,NUEVO,Híbrido,116 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris+cross-120h-active-tech-en-guipuzcoa.htm?id=7211900,27300
