,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Yaris,125 S-edition,2024,01,NUEVO,Gasolina,125 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-125-s-edition-en-guipuzcoa.htm?id=7211930,20750
1,Toyota,Yaris,1.0 City,2016,,27.000 km,Gasolina,69 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-10-city-en-lleida.htm?id=8003830,12500
2,Toyota,Yaris,1.4d-4d Sol,2006,,178.661 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-14d-4d-sol-en-madrid.htm?id=8093854,3900
3,Toyota,Yaris,1.5 Feel!,2017,,106.340 km,Gasolina,111 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-15-feel-en-madrid.htm?id=8115496,10500
4,Toyota,Yaris,Hsd 1.5 Active,2017,04,184.700 km,Híbrido,100 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-hsd-15-active-en-barcelona.htm?id=8099672,9499
5,Toyota,Yaris,Hsd 1.5 Active,2015,,54.000 km,Híbrido,100 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-hsd-15-active-en-palmas+las.htm?id=7862871,12490
6,Toyota,Yaris,120h 1.5 Style,2021,12,36.000 km,Híbrido,116 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-yaris-120h-15-style-en-palmas+las.htm?id=8090050,16995
7,Toyota,Yaris,120h 1.5 Gr Sport Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-gr-sport-plus-en-madrid.htm?id=8064505,26550
8,Toyota,Yaris,130h 1.5 Gr Sport Plus,2023,,NUEVO,Híbrido,130 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-130h-15-gr-sport-plus-en-madrid.htm?id=8064460,26550
9,Toyota,Yaris,130h 1.5 Gr Sport,2023,,NUEVO,Híbrido,130 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-130h-15-gr-sport-en-madrid.htm?id=8064395,24800
10,Toyota,Yaris,130h 1.5 Gr Sport,2023,,NUEVO,Híbrido,130 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-130h-15-gr-sport-en-madrid.htm?id=8064380,24800
11,Toyota,Yaris,120h 1.5 Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-style-en-madrid.htm?id=8064364,24300
12,Toyota,Yaris,120h 1.5 Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-style-en-madrid.htm?id=8064359,24300
13,Toyota,Yaris,120h 1.5 Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-style-en-madrid.htm?id=8064354,24300
14,Toyota,Yaris,120h 1.5 Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-style-en-madrid.htm?id=8064349,24300
15,Toyota,Yaris,120h 1.5 Style,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-style-en-madrid.htm?id=8064347,24300
16,Toyota,Yaris,120h 1.5 Active Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-plus-en-madrid.htm?id=8064344,23050
17,Toyota,Yaris,120h 1.5 Active Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-plus-en-madrid.htm?id=8064342,23050
18,Toyota,Yaris,120h 1.5 Active Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-plus-en-madrid.htm?id=8064337,23050
19,Toyota,Yaris,120h 1.5 Active Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-plus-en-madrid.htm?id=8064297,23050
20,Toyota,Yaris,120h 1.5 Active Plus,2023,,NUEVO,Híbrido,116 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-yaris-120h-15-active-plus-en-madrid.htm?id=8064293,23050
