,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Cc,2.0tdi Bmt 150,2016,03,142.396 km,Diesel,150 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-150-en-toledo.htm?id=8069437,14999
1,Volkswagen,Cc,2.0tdi Bmt Dsg 150,2016,,99.000 km,Diesel,150 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-dsg-150-en-madrid.htm?id=8128764,18990
2,Volkswagen,Cc,2.0tdi Bmt Dsg 170,2012,02,241.571 km,Diesel,170 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-dsg-170-en-malaga.htm?id=7548695,14499
3,Volkswagen,Cc,2.0tdi Bmt 140,2015,,115.000 km,Diesel,140 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-140-en-madrid.htm?id=7956356,15000
4,Volkswagen,Cc,2.0tdi Bmt 150,2016,,204.000 km,Diesel,150 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-150-en-zamora.htm?id=7904604,18300
5,Volkswagen,Cc,2.0tdi Bmt Dsg 140,2013,,227.000 km,Diesel,140 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-dsg-140-en-toledo.htm?id=7903807,11000
6,Volkswagen,Cc,2.0tdi Bmt 140,2012,,77.800 km,Diesel,140 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-140-en-asturias.htm?id=7796990,11000
7,Volkswagen,Cc,2.0tdi Bmt Dsg 150,2016,,198.000 km,Diesel,150 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-dsg-150-en-toledo.htm?id=8097562,14900
8,Volkswagen,Cc,2.0tdi Bmt 150,2016,06,159.000 km,Diesel,150 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-150-en-cadiz.htm?id=8129441,18999
9,Volkswagen,Cc,2.0tdi Bmt Advance 150,2017,01,103.000 km,Diesel,150 CV,manual,4 puertas,BLANCO PURO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-advance-150-en-navarra.htm?id=8119962,17800
10,Volkswagen,Cc,1.4 Tsi Bmt 150,2016,01,79.043 km,Gasolina,150 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-14-tsi-bmt-150-en-granada.htm?id=8116219,17400
11,Volkswagen,Cc,2.0tdi Bmt 150,2016,06,113.513 km,Diesel,150 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-150-en-madrid.htm?id=8110284,15990
12,Volkswagen,Cc,2.0tdi Bmt 150,2016,05,139.212 km,Diesel,150 CV,manual,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-volkswagen--20tdi-bmt-150-en-rioja+la.htm?id=8053782,16800
13,Volkswagen,Cc,2.0tdi Bmt 150,2017,04,131.496 km,Diesel,150 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-cc-20tdi-bmt-150-en-madrid.htm?id=8031696,16999
