,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Id3,Id.3 1st Plus,2020,,28.100 km,Eléctrico,204 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-zamora.htm?id=8122989,24800
1,Volkswagen,Id3,Id.3 Pro S 150kw,2023,07,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-palmas+las.htm?id=8098650,37100
2,Volkswagen,Id3,Id.3 1st Plus,2020,09,31.250 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7194579,28900
3,Volkswagen,Id3,Id.3 1st Plus,2020,09,32.350 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7194577,28900
4,Volkswagen,Id3,Id.3 Pro S 150kw,2021,12,29.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-s-150kw-en-madrid.htm?id=7968098,34900
5,Volkswagen,Id3,Id.3 1st Plus,2020,11,17.850 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7805374,29900
6,Volkswagen,Id3,Id.3 Max 150kw,2020,12,42.714 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-max-150kw-en-madrid.htm?id=7719151,35899
7,Volkswagen,Id3,Id.3 1st Plus,2020,10,57.889 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-madrid.htm?id=7634680,40600
8,Volkswagen,Id3,Id.3 Pro Performance 150kw,2022,12,12.155 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-barcelona.htm?id=8100428,36890
9,Volkswagen,Id3,Id.3 Pro S 150kw 82kwh,2023,01,16 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-82kwh-en-navarra.htm?id=8052258,44000
10,Volkswagen,Id3,Id.3 Life 150kw,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-life-150kw-en-alicante.htm?id=7987008,37900
11,Volkswagen,Id3,Id.3 Pro Style 150kw 62kwh,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-style-150kw-62kwh-en-alicante.htm?id=7987007,47790
12,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=7987006,41990
13,Volkswagen,Id3,Id.3 Pro S Life 150kw,2023,08,650 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-life-150kw-en-almeria.htm?id=8022585,49900
14,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,650 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-almeria.htm?id=8004270,44950
15,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2021,12,20.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=7958526,29900
16,Volkswagen,Id3,Id.3 1st Plus,2020,12,69.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-madrid.htm?id=8092301,27999
17,Volkswagen,Id3,Id.3 1st Plus,2020,12,43.489 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-granada.htm?id=8129600,25880
18,Volkswagen,Id3,Id.3 Pro 150kw 62kwh,2023,01,5 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,SCALE SILVER METALIZADO NEGRO,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-150kw-62kwh-en-murcia.htm?id=8125472,44900
19,Volkswagen,Id3,Id.3 Pro S 150kw,2023,07,6.990 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-caceres.htm?id=8120564,45990
20,Volkswagen,Id3,Id.3 1st Plus,2020,11,18.482 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-madrid.htm?id=8117837,32200
21,Volkswagen,Id3,Id.3 Life 150kw,2022,12,25.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Manganeso metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-life-150kw-en-barcelona.htm?id=8116954,40900
22,Volkswagen,Id3,Id.3 Life 150kw,2022,12,25.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco Glaciar,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-life-150kw-en-barcelona.htm?id=8116952,40900
23,Volkswagen,Id3,Id.3 Pro Performance 150kw,2022,12,12.155 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-barcelona.htm?id=8116924,36890
24,Volkswagen,Id3,Id.3 1st Plus,2020,09,39.900 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-valencia.htm?id=8116102,26900
25,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,2.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Plata,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=8097753,49900
26,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,2.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=8097752,45900
27,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-badajoz.htm?id=8091973,41000
28,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-badajoz.htm?id=8091971,42200
29,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,2.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=8085596,47900
30,Volkswagen,Id3,Id.3 Pro S 150kw,2023,07,500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-zaragoza.htm?id=8069330,51750
31,Volkswagen,Id3,Id.3 Pro Performance 150kw,2021,12,48.800 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-cadiz.htm?id=8067300,28880
32,Volkswagen,Id3,Id.3 Business 107kw,2021,12,21.832 km,Eléctrico,145 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-business-107kw-en-cadiz.htm?id=8067296,28880
33,Volkswagen,Id3,Id.3 Pro Performance 150kw,2020,12,43.346 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-alicante.htm?id=8065137,27990
34,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,08,100 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-leon.htm?id=8018815,43000
35,Volkswagen,Id3,Id.3 Pro S 150kw,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-barcelona.htm?id=8002056,47790
36,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-barcelona.htm?id=8002047,41990
37,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,25 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-salamanca.htm?id=7992644,45900
38,Volkswagen,Id3,Id.3 Pro S 150kw,2022,09,3.873 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-alicante.htm?id=7958528,36900
39,Volkswagen,Id3,Id.3 Pro S 150kw,2023,07,118 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris Plata,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-leon.htm?id=7938226,44000
40,Volkswagen,Id3,Id.3 Pro Performance 150kw,2022,12,10.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Scale Silver,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-performance-150kw-en-barcelona.htm?id=7917499,41150
41,Volkswagen,Id3,Id.3 1st Plus,2020,09,31.250 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-granada.htm?id=7834564,28400
42,Volkswagen,Id3,Id.3 1st Plus,2020,09,32.350 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-granada.htm?id=7813543,28400
43,Volkswagen,Id3,Id.3 Max 150kw,2020,09,27.620 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-max-150kw-en-madrid.htm?id=7800766,31490
44,Volkswagen,Id3,Id.3 Pro Performance 150kw,2020,12,31.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-madrid.htm?id=7800725,24990
45,Volkswagen,Id3,Id.3 1st Plus,2020,11,21.008 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-coruna+a.htm?id=7782101,36990
46,Volkswagen,Id3,Id.3 1st Plus,2020,,28.100 km,Eléctrico,204 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-zamora.htm?id=8122989,24800
47,Volkswagen,Id3,Id.3 Pro S 150kw,2023,07,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-en-palmas+las.htm?id=8098650,37100
48,Volkswagen,Id3,Id.3 1st Plus,2020,09,31.250 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7194579,28900
49,Volkswagen,Id3,Id.3 1st Plus,2020,09,32.350 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7194577,28900
50,Volkswagen,Id3,Id.3 Pro S 150kw,2021,12,29.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-s-150kw-en-madrid.htm?id=7968098,34900
51,Volkswagen,Id3,Id.3 1st Plus,2020,11,17.850 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-barcelona.htm?id=7805374,29900
52,Volkswagen,Id3,Id.3 Max 150kw,2020,12,42.714 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-max-150kw-en-madrid.htm?id=7719151,35899
53,Volkswagen,Id3,Id.3 1st Plus,2020,10,57.889 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-madrid.htm?id=7634680,40600
54,Volkswagen,Id3,Id.3 Pro Performance 150kw,2022,12,12.155 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-performance-150kw-en-barcelona.htm?id=8100428,36890
55,Volkswagen,Id3,Id.3 Pro S 150kw 82kwh,2023,01,16 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-150kw-82kwh-en-navarra.htm?id=8052258,44000
56,Volkswagen,Id3,Id.3 Life 150kw,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-life-150kw-en-alicante.htm?id=7987008,37900
57,Volkswagen,Id3,Id.3 Pro Style 150kw 62kwh,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-style-150kw-62kwh-en-alicante.htm?id=7987007,47790
58,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,09,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=7987006,41990
59,Volkswagen,Id3,Id.3 Pro S Life 150kw,2023,08,650 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-s-life-150kw-en-almeria.htm?id=8022585,49900
60,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2023,07,650 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-id3-id3-pro-business-150kw-62kwh-en-almeria.htm?id=8004270,44950
61,Volkswagen,Id3,Id.3 Pro Business 150kw 62kwh,2021,12,20.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-pro-business-150kw-62kwh-en-alicante.htm?id=7958526,29900
62,Volkswagen,Id3,Id.3 1st Plus,2020,12,69.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-madrid.htm?id=8092301,27999
63,Volkswagen,Id3,Id.3 1st Plus,2020,12,43.489 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-id3-id3-1st-plus-en-granada.htm?id=8129600,25880
