,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Multivan,2.0tdi Startline Dsg 140,2010,,250.000 km,Diesel,140 CV,automática secuencial,4 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-startline-dsg-140-en-zaragoza.htm?id=8054039,25900
1,Volkswagen,Multivan,2.0tdi Bmt Trendline Dsg 110kw,2018,,66.000 km,Diesel,150 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-trendline-dsg-110kw-en-cadiz.htm?id=8127516,45000
2,Volkswagen,Multivan,2.0tdi Bmt Premium 150kw,2018,,146.538 km,Diesel,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-premium-150kw-en-madrid.htm?id=8042157,36990
3,Volkswagen,Multivan,2.0tdi Comfortline Edition,2012,,187.654 km,Diesel,102 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-comfortline-edition-en-sevilla.htm?id=8101067,22499
4,Volkswagen,Multivan,2.4d 78 2920mm,1993,,278.000 km,Diesel,78 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-24d-78-2920mm-en-madrid.htm?id=8040125,6900
5,Volkswagen,Multivan,2.0 Tsi Bmt Premium 110kw,2017,12,73.093 km,Gasolina,150 CV,manual,4 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20-tsi-bmt-premium-110kw-en-barcelona.htm?id=7917933,38900
6,Volkswagen,Multivan,2.0tdi Bmt Trendline 110kw,2016,07,158.179 km,Diesel,150 CV,manual,4 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-trendline-110kw-en-barcelona.htm?id=7194195,29900
7,Volkswagen,Multivan,2.0tdi Bmt Trendline Dsg 110kw,2017,12,49.480 km,Diesel,150 CV,automática secuencial,4 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-trendline-dsg-110kw-en-toledo.htm?id=8106252,36199
8,Volkswagen,Multivan,2.5tdi Comfortlinetiptronic,2004,,353.000 km,Diesel,130 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-25tdi-comfortlinetiptronic-en-vizcaya.htm?id=7885996,13999
9,Volkswagen,Multivan,1.9tdi Startline,2009,,175.432 km,Diesel,102 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-19tdi-startline-en-sevilla.htm?id=8128834,17499
10,Volkswagen,Multivan,2.0tdi Bmt The Original 84kw,2019,,63.000 km,Diesel,114 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-the-original-84kw-en-vizcaya.htm?id=8107218,40000
11,Volkswagen,Multivan,1.9tdi Startline,2008,,170.000 km,Diesel,102 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-19tdi-startline-en-sevilla.htm?id=8104312,19990
12,Volkswagen,Multivan,2.0tdi Bmt Trendline Dsg 110kw,2018,,76.208 km,Diesel,150 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-trendline-dsg-110kw-en-sevilla.htm?id=8071860,42500
13,Volkswagen,Multivan,2.0bi-tdi Highline Dsg 180,2012,09,204.502 km,Diesel,180 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20bi-tdi-highline-dsg-180-en-murcia.htm?id=8056897,29500
14,Volkswagen,Multivan,2.0tdi Bmt Outdoor Dsg 110kw,2019,,81.715 km,Diesel,150 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-outdoor-dsg-110kw-en-madrid.htm?id=8012451,43439
15,Volkswagen,Multivan,2.0tdi Bmt Premium Dsg 150kw,2016,09,88.000 km,Diesel,204 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-premium-dsg-150kw-en-barcelona.htm?id=8002769,56975
16,Volkswagen,Multivan,2.0tdi Bmt Outdoor Edition 140,2015,,128.000 km,Diesel,140 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-outdoor-edition-140-en-toledo.htm?id=7999433,29900
17,Volkswagen,Multivan,2.0bi-tdi Comfortline 180,2012,,112.920 km,Diesel,180 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20bi-tdi-comfortline-180-en-asturias.htm?id=7869752,28500
18,Volkswagen,Multivan,2.0tdi Bmt Trendline Dsg 110kw,2016,,126.000 km,Diesel,150 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-trendline-dsg-110kw-en-barcelona.htm?id=8130235,37490
19,Volkswagen,Multivan,2.0tdi Bmt Premium Dsg 150kw,2019,01,77.772 km,Diesel,204 CV,automática secuencial,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-premium-dsg-150kw-en-navarra.htm?id=8047121,48900
20,Volkswagen,Multivan,2.0tdi Bmt Outdoor Dsg 110kw,2019,01,44.795 km,Diesel,150 CV,automática secuencial,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-multivan-20tdi-bmt-outdoor-dsg-110kw-en-navarra.htm?id=8047119,47900
