,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Sportsvan,1.5 Tsi Evo Sport Dsg7 110kw,2016,02,80.835 km,Gasolina,150 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-15-tsi-evo-sport-dsg7-110kw-en-madrid.htm?id=8041390,20490
1,Volkswagen,Sportsvan,Golf  1.5 Tsi Evo Advance 96kw,2018,06,57.000 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--15-tsi-evo-advance-96kw-en-barcelona.htm?id=8011806,18900
2,Volkswagen,Sportsvan,Golf  1.6tdi Cr Sport 85kw,2017,01,39.695 km,Diesel,115 CV,manual,5 puertas,Azul claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--16tdi-cr-sport-85kw-en-palmas+las.htm?id=7921303,19995
3,Volkswagen,Sportsvan,Golf  1.6tdi Cr Advance 85kw,2015,07,79.900 km,Diesel,115 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--16tdi-cr-advance-85kw-en-madrid.htm?id=7898340,15350
4,Volkswagen,Sportsvan,Golf  1.6tdi Cr Sport 85kw,2019,,61.251 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--16tdi-cr-sport-85kw-en-valencia.htm?id=7874625,24900
5,Volkswagen,Sportsvan,Golf  1.5 Tsi Evo Advance Dsg 96kw,2019,09,46.217 km,Gasolina,130 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--15-tsi-evo-advance-dsg-96kw-en-alicante.htm?id=7971668,19990
6,Volkswagen,Sportsvan,Golf  1.5 Tsi Evo Sport Dsg 110kw,2017,,109.298 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--15-tsi-evo-sport-dsg-110kw-en-madrid.htm?id=7263356,18000
7,Volkswagen,Sportsvan,1.0 Tsi Edition 85kw,2018,05,34.000 km,Gasolina,115 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-10-tsi-edition-85kw-en-madrid.htm?id=8121289,16490
8,Volkswagen,Sportsvan,Golf  1.6tdi Cr Advance Dsg 85kw,2018,12,127.900 km,Diesel,115 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--16tdi-cr-advance-dsg-85kw-en-madrid.htm?id=8108218,16990
9,Volkswagen,Sportsvan,Golf  1.6tdi Cr Sport Dsg 85kw,2019,07,82.000 km,Diesel,115 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-golf--16tdi-cr-sport-dsg-85kw-en-madrid.htm?id=8095202,18950
10,Volkswagen,Sportsvan,1.5 Tsi Evo Advance Dsg7 110kw,2019,07,32.303 km,Gasolina,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-15-tsi-evo-advance-dsg7-110kw-en-granada.htm?id=8095191,20400
11,Volkswagen,Sportsvan,1.5 Tsi Evo Advance Dsg7 110kw,2019,07,32.303 km,Gasolina,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-sportsvan-15-tsi-evo-advance-dsg7-110kw-en-barcelona.htm?id=8085844,20900
