,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Transporter,Furgón 2.0tdi Bmt 81kw,2023,,50 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-transporter-furgon-20tdi-bmt-81kw-en-coruna+a.htm?id=7864147,30490
1,Volkswagen,Transporter,Furgón 2.0tdi Scr Bmt Largo 75kw,2015,,147.000 km,Diesel,102 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-furgon-20tdi-scr-bmt-largo-75kw-en-lugo.htm?id=7828792,16900
2,Volkswagen,Transporter,Furgón Business 2.0tdi Scr Bmt 75kw,2018,,81.000 km,Diesel,102 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-furgon-business-20tdi-scr-bmt-75kw-en-girona.htm?id=8079560,22800
3,Volkswagen,Transporter,Kombi 2.0tdi Largo Techo Alto 102,2011,12,171.000 km,Diesel,102 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-largo-techo-alto-102-en-murcia.htm?id=8056883,24950
4,Volkswagen,Transporter,Mixto 2.0tdi Scr Bmt 110kw,2018,02,185.869 km,Diesel,150 CV,manual,4 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-mixto-20tdi-scr-bmt-110kw-en-murcia.htm?id=8056871,31890
5,Volkswagen,Transporter,Kombi 2.0tdi Scr Bmt 4m 110kw,2020,,139.083 km,Diesel,150 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-scr-bmt-4m-110kw-en-madrid.htm?id=8023709,33990
6,Volkswagen,Transporter,Furgón Pro 2.0tdi Bmt Techo Normal,2014,,65.000 km,Diesel,84 CV,manual,4 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-furgon-pro-20tdi-bmt-techo-normal-en-girona.htm?id=8129173,15500
7,Volkswagen,Transporter,Furgón 1.9tdi Techo Medio 84,2009,,79.000 km,Diesel,84 CV,manual,4 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-furgon-19tdi-techo-medio-84-en-girona.htm?id=8129164,12750
8,Volkswagen,Transporter,Kombi 2.0tdi Scr Bmt Largo 110kw,2015,,278.000 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-kombi-20tdi-scr-bmt-largo-110kw-en-barcelona.htm?id=8116776,17990
9,Volkswagen,Transporter,Furgón 2.0tdi Bmt 103kw,2017,,116.000 km,Diesel,140 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-transporter-furgon-20tdi-bmt-103kw-en-navarra.htm?id=8098327,17900
