,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,S60,2.4 D5 Momentum 185,2008,,199.000 km,Diesel,185 CV,automática,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24-d5-momentum-185-en-avila.htm?id=8094254,5490
1,Volvo,S60,T4 R-design Aut.,2019,,49.800 km,Gasolina,190 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t4-r-design-aut-en-valencia.htm?id=8112601,33900
2,Volvo,S60,B4 Core,2023,10,5 km,Gasolina,197 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-b4-core-en-sevilla.htm?id=8061191,43990
3,Volvo,S60,B4 Plus Bright,2022,,200 km,Gasolina,197 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-b4-plus-bright-en-burgos.htm?id=8051897,41080
4,Volvo,S60,T4 Inscription Aut.,2020,01,38.158 km,Gasolina,190 CV,automática secuencial,4 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t4-inscription-aut-en-illes+balears.htm?id=7919138,34900
5,Volvo,S60,D2 Momentum Aut. 120,2017,10,91.000 km,Diesel,120 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d2-momentum-aut-120-en-madrid.htm?id=7898389,15850
6,Volvo,S60,1.6 Drive R-design,2011,,212.500 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-16-drive-r-design-en-madrid.htm?id=7749978,13990
7,Volvo,S60,T8 Plus Bright,2022,11,0 km,Híbrido,455 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-t8-plus-bright-en-madrid.htm?id=7640461,50900
8,Volvo,S60,T4 R-design Aut.,2020,,16.000 km,Gasolina,190 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t4-r-design-aut-en-cadiz.htm?id=8047341,33995
9,Volvo,S60,2.4d Momentum 163,2009,,219.000 km,Diesel,163 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24d-momentum-163-en-lleida.htm?id=7928667,7500
10,Volvo,S60,D3 Kinetic 150,2016,,149.000 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-kinetic-150-en-badajoz.htm?id=7723728,13900
11,Volvo,S60,2.4 D5 Summum 185,2007,,310.000 km,Diesel,185 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24-d5-summum-185-en-madrid.htm?id=8065132,5900
12,Volvo,S60,D5 Optima,2002,,325.000 km,Diesel,163 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d5-optima-en-sevilla.htm?id=7823361,3000
13,Volvo,S60,D4 R-design Momentum 190,2016,,200.000 km,Diesel,190 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d4-r-design-momentum-190-en-lleida.htm?id=8017462,15000
14,Volvo,S60,D5 Optima,2003,,360.000 km,Diesel,163 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d5-optima-en-lleida.htm?id=7986331,5000
15,Volvo,S60,D3 Kinetic,2011,,207.707 km,Diesel,163 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-kinetic-en-jaen.htm?id=7956797,9500
16,Volvo,S60,Optima,2002,,102.756 km,Gasolina,140 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-optima-en-malaga.htm?id=7828598,3000
17,Volvo,S60,2.4d Momentum 130 Aut.,2004,,331.500 km,Diesel,130 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24d-momentum-130-aut-en-lugo.htm?id=7701045,3850
18,Volvo,S60,D3 Momentum Aut. 150,2015,,109.000 km,Diesel,150 CV,automática secuencial,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-momentum-aut-150-en-burgos.htm?id=7698922,19000
19,Volvo,S60,D5 Summum,2013,,96.000 km,Diesel,215 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d5-summum-en-teruel.htm?id=7657317,20000
20,Volvo,S60,2.4d,2004,,320.000 km,Diesel,130 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24d-en-madrid.htm?id=7633002,2600
21,Volvo,S60,2.4d Momentum 126,2006,,373.000 km,Diesel,126 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-24d-momentum-126-en-malaga.htm?id=7747332,2300
22,Volvo,S60,B4 Plus Dark,2023,11,5 km,Gasolina,197 CV,automática secuencial,4 puertas,,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-b4-plus-dark-en-madrid.htm?id=8120064,46900
23,Volvo,S60,B4 Plus Dark,2023,11,1 km,Gasolina,197 CV,automática secuencial,4 puertas,Gris Plata,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-b4-plus-dark-en-madrid.htm?id=8120063,45900
24,Volvo,S60,T8 Twin Inscription Aut.,2023,01,2.000 km,Híbrido,390 CV,automática secuencial,4 puertas,Denim Blue C723E,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-t8-twin-inscription-aut-en-valladolid.htm?id=8116002,51995
25,Volvo,S60,T8 Ultimate Bright,2023,01,2.000 km,Híbrido,455 CV,automática secuencial,4 puertas,Denim Blue C723E,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-t8-ultimate-bright-en-valladolid.htm?id=8116001,51995
26,Volvo,S60,T8 Core,2023,01,2.000 km,Híbrido,455 CV,automática secuencial,4 puertas,Denim Blue C723E,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-t8-core-en-valladolid.htm?id=8116000,51995
27,Volvo,S60,B4 Plus Dark,2023,07,1 km,Gasolina,197 CV,automática secuencial,4 puertas,THUNDER GREY,Profesional,https://www.coches.com/km0/seminuevo-volvo-s60-b4-plus-dark-en-rioja+la.htm?id=8112227,46500
28,Volvo,S60,T8 Twin R-design Aut.,2020,02,39.123 km,Híbrido,390 CV,automática secuencial,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t8-twin-r-design-aut-en-valencia.htm?id=8103034,38400
29,Volvo,S60,T4 R-design Aut.,2020,08,120.000 km,Gasolina,190 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t4-r-design-aut-en-coruna+a.htm?id=8101908,26900
30,Volvo,S60,T8 Twin R-design Aut.,2019,03,43.986 km,Híbrido,390 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t8-twin-r-design-aut-en-valencia.htm?id=8096716,44758
31,Volvo,S60,D3 Momentum 150,2017,01,145.000 km,Diesel,150 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-momentum-150-en-madrid.htm?id=8092140,14990
32,Volvo,S60,T4f Momentum Aut.,2012,07,61.029 km,Gasolina,180 CV,automática secuencial,4 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-t4f-momentum-aut-en-avila.htm?id=8076715,14500
33,Volvo,S60,D3 Kinetic Aut.,2015,01,156.000 km,Diesel,136 CV,automática secuencial,4 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-kinetic-aut-en-madrid.htm?id=8065920,12990
34,Volvo,S60,D3 Summum Aut.,2010,01,199.000 km,Diesel,163 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-s60-d3-summum-aut-en-malaga.htm?id=8062045,10900
