,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,Xc60,B4 Plus Dark Fwd Aut.,2022,01,23.109 km,Gasolina,197 CV,automática secuencial,5 puertas,SILVER DOWN,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-b4-plus-dark-fwd-aut-en-barcelona.htm?id=8009505,50900
1,Volvo,Xc60,D5 R-design Awd Aut.,2019,,72.449 km,Diesel,235 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d5-r-design-awd-aut-en-coruna+a.htm?id=8033154,43000
2,Volvo,Xc60,D4 R-design Momentum Aut. 190,2016,,170.000 km,Diesel,190 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d4-r-design-momentum-aut-190-en-murcia.htm?id=8120788,17500
3,Volvo,Xc60,T8 Twin Inscription,2018,,74.000 km,Híbrido,390 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-inscription-en-palmas+las.htm?id=8129292,31900
4,Volvo,Xc60,T8 Twin Business Plus,2019,,39.000 km,Híbrido,390 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-business-plus-en-palmas+las.htm?id=8129282,36900
5,Volvo,Xc60,B4 Inscription Fwd Aut.,2021,,51.000 km,Diesel,197 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-b4-inscription-fwd-aut-en-malaga.htm?id=8117154,30157
6,Volvo,Xc60,D4 Momentum Premium Edition,2019,,98.000 km,Diesel,190 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d4-momentum-premium-edition-en-almeria.htm?id=8104717,28500
7,Volvo,Xc60,T8 Twin Momentum,2019,01,80.000 km,Híbrido,407 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-momentum-en-palmas+las.htm?id=8100824,28990
8,Volvo,Xc60,T8 Twin Momentum,2018,,69.899 km,Híbrido,407 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-momentum-en-madrid.htm?id=8046690,33890
9,Volvo,Xc60,T8 Twin Business Plus,2020,,22.935 km,Híbrido,390 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-business-plus-en-madrid.htm?id=8035228,42990
10,Volvo,Xc60,B4 Core Fwd Aut.,2023,,20.000 km,Gasolina,197 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-b4-core-fwd-aut-en-alava.htm?id=8113711,43990
11,Volvo,Xc60,T8 Twin Business Plus,2020,,21.607 km,Híbrido,390 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-business-plus-en-madrid.htm?id=8112099,44890
12,Volvo,Xc60,T8 Twin Business Plus,2019,,58.563 km,Híbrido,390 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-business-plus-en-madrid.htm?id=8110757,35890
13,Volvo,Xc60,B4 Core Fwd Aut.,2023,,13.200 km,Gasolina,197 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-b4-core-fwd-aut-en-alava.htm?id=8100440,44700
14,Volvo,Xc60,D4 Momentum Aut.,2018,,55.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-d4-momentum-aut-en-valencia.htm?id=8089716,29900
15,Volvo,Xc60,T8 Twin Business Plus,2020,,63.373 km,Híbrido,390 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-business-plus-en-madrid.htm?id=8086339,38890
