,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,A8,S8 4.0 Tfsi Quattro Tiptronic,2015,,121.000 km,Gasolina,520 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-s8-40-tfsi-quattro-tiptronic-en-madrid.htm?id=6287841,44990
1,Audi,A8,60 Tfsi Quattro Tiptronic,2021,01,65.000 km,Gasolina,460 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-60-tfsi-quattro-tiptronic-en-palmas+las.htm?id=7911099,59990
2,Audi,A8,3.0tdi Cd Quattro Tiptronic,2013,,76.200 km,Diesel,250 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30tdi-cd-quattro-tiptronic-en-madrid.htm?id=8061486,24490
3,Audi,A8,L 4.0 Tfsi Quattro Tiptronic,2015,,170.000 km,Gasolina,435 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-l-40-tfsi-quattro-tiptronic-en-madrid.htm?id=8115769,29500
4,Audi,A8,L 4.2tdi Quattro Tiptronic Dpf,2006,,250.000 km,Diesel,326 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-l-42tdi-quattro-tiptronic-dpf-en-sevilla.htm?id=7895400,8990
5,Audi,A8,L 50 Tdi Quattro Tiptronic,2018,08,64.436 km,Diesel,286 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-l-50-tdi-quattro-tiptronic-en-alicante.htm?id=8063004,54750
6,Audi,A8,50 Tdi Quattro Tiptronic 9.75,2020,,32.341 km,Diesel,286 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-50-tdi-quattro-tiptronic-975-en-madrid.htm?id=8050353,64900
7,Audi,A8,6.0 Quattro Tiptronic,2004,11,128.000 km,Gasolina,450 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-60-quattro-tiptronic-en-barcelona.htm?id=7902685,10999
8,Audi,A8,3.0tdi Cd Quattro Tiptronic,2016,03,89.324 km,Diesel,258 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30tdi-cd-quattro-tiptronic-en-malaga.htm?id=7194877,39500
9,Audi,A8,6.0 Quattro Tiptronic,2005,,142.000 km,Gasolina,450 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-60-quattro-tiptronic-en-lleida.htm?id=8078329,13990
10,Audi,A8,3.0tdi Cd Quattro Tiptronic,2015,,212.938 km,Diesel,262 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30tdi-cd-quattro-tiptronic-en-badajoz.htm?id=7749822,25499
11,Audi,A8,S8 Plus 4.0 Tfsi Quattro Tiptronic,2017,10,114.000 km,Gasolina,605 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-s8-plus-40-tfsi-quattro-tiptronic-en-madrid.htm?id=7265082,49500
12,Audi,A8,4.2tdi Quattro Tiptronic,2013,03,166.264 km,Diesel,350 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42tdi-quattro-tiptronic-en-jaen.htm?id=7143019,26499
13,Audi,A8,3.0tdi Cd Quattro Tiptronic,2015,,162.000 km,Diesel,258 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30tdi-cd-quattro-tiptronic-en-sevilla.htm?id=8075443,25000
14,Audi,A8,S8 Plus 4.0 Tfsi Quattro Tiptronic,2017,,66.000 km,Gasolina,605 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-s8-plus-40-tfsi-quattro-tiptronic-en-vizcaya.htm?id=8127927,54990
15,Audi,A8,4.2 Fsi Quattro Tiptronic,2011,,233.000 km,Gasolina,372 CV,automática secuencial,4 puertas,azul oscuro . . Parece negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42-fsi-quattro-tiptronic-en-guipuzcoa.htm?id=7623273,17000
16,Audi,A8,4.2 Quattro Tiptronic,2003,,274.000 km,Gasolina,335 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42-quattro-tiptronic-en-barcelona.htm?id=8060851,4000
17,Audi,A8,4.2 Quattro Tiptronic,2004,,212.000 km,Gasolina,335 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42-quattro-tiptronic-en-huesca.htm?id=7807038,8600
18,Audi,A8,4.2 Quattro Tiptronic,2003,,324.000 km,Gasolina,335 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42-quattro-tiptronic-en-coruna+a.htm?id=7800689,7500
19,Audi,A8,4.2tdi Cd Quattro Tiptronic,2015,,116.000 km,Diesel,385 CV,automática secuencial,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42tdi-cd-quattro-tiptronic-en-sevilla.htm?id=7949412,27680
20,Audi,A8,3.7 Quattro Tiptronic,2004,,220.000 km,Gasolina,280 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-37-quattro-tiptronic-en-madrid.htm?id=7869951,6500
21,Audi,A8,3.0tdi Quattro Tiptronic,2010,,303.000 km,Diesel,250 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-30tdi-quattro-tiptronic-en-castellon.htm?id=7825575,11000
