,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Audi,Q7,60 Tfsie S Line Quattro Tiptronic,2020,,86.000 km,Híbrido,462 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-60-tfsie-s-line-quattro-tiptronic-en-madrid.htm?id=8128006,89990
1,Audi,Q7,3.0tdi Black Line Edition Quattro Tip. 200kw,2017,,75.000 km,Diesel,272 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-black-line-edition-quattro-tip-200kw-en-sevilla.htm?id=8091899,49000
2,Audi,Q7,45 Tdi S Line Quattro,2020,,30.187 km,Diesel,231 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-45-tdi-s-line-quattro-en-sevilla.htm?id=7782142,89990
3,Audi,Q7,3.0tdi Quattro Tiptronic Dpf,2007,,239.800 km,Diesel,240 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-dpf-en-coruna+a.htm?id=8034112,11990
4,Audi,Q7,3.0tdi Quattro Tiptronic Dpf,2006,07,307.002 km,Diesel,233 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-dpf-en-barcelona.htm?id=8046679,7499
5,Audi,Q7,50 Tdi S Line Quattro,2020,,44.000 km,Diesel,286 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-50-tdi-s-line-quattro-en-valencia.htm?id=8072631,69900
6,Audi,Q7,3.0tdi Sport Quattro Tiptronic 200kw,2015,,141.595 km,Diesel,272 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-sport-quattro-tiptronic-200kw-en-madrid.htm?id=8120860,34990
7,Audi,Q7,45 Tdi Sport Quattro-ultra S Tronic,2019,,109.061 km,Diesel,232 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-45-tdi-sport-quattro-ultra-s-tronic-en-castellon.htm?id=8110766,47000
8,Audi,Q7,3.0tdi Quattro Tiptronic,2007,,158.000 km,Diesel,233 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-en-barcelona.htm?id=8097509,15900
9,Audi,Q7,3.0tdi Ultra Quattro Tiptronic 160kw,2017,11,135.000 km,Diesel,218 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-ultra-quattro-tiptronic-160kw-en-madrid.htm?id=8095077,37990
10,Audi,Q7,3.0tdi Sport Quattro Tiptronic 160kw,2016,02,210.600 km,Diesel,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-sport-quattro-tiptronic-160kw-en-sevilla.htm?id=8085800,29890
11,Audi,Q7,3.0tdi Sport Quattro Tiptronic 160kw,2016,02,210.600 km,Diesel,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-sport-quattro-tiptronic-160kw-en-madrid.htm?id=8085790,29890
12,Audi,Q7,3.0tdi Ultra Quattro Tiptronic 160kw,2018,06,88.346 km,Diesel,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-ultra-quattro-tiptronic-160kw-en-alicante.htm?id=8072955,43375
13,Audi,Q7,3.0tdi Cd Ambition 245 Tiptronic,2014,,149.352 km,Diesel,245 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-cd-ambition-245-tiptronic-en-madrid.htm?id=8066041,25990
14,Audi,Q7,45 Tdi S Line Quattro,2019,,74.000 km,Diesel,231 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-45-tdi-s-line-quattro-en-valencia.htm?id=8055726,48900
15,Audi,Q7,3.0tdi Ultra Quattro Tiptronic 160kw,2018,06,135.000 km,Diesel,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-ultra-quattro-tiptronic-160kw-en-madrid.htm?id=8022010,43900
16,Audi,Q7,3.0tdi Attraction 204 Tiptronic,2015,,243.000 km,Diesel,204 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-attraction-204-tiptronic-en-sevilla.htm?id=8014550,22990
17,Audi,Q7,45 Tdi S Line Plus Quattro,2022,,14.000 km,Diesel,231 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-45-tdi-s-line-plus-quattro-en-zaragoza.htm?id=7818531,75900
18,Audi,Q7,50 Tdi S Line Quattro,2020,,45.000 km,Diesel,286 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-50-tdi-s-line-quattro-en-madrid.htm?id=6627928,68990
19,Audi,Q7,3.0tdi Cd Ambition 245 Tiptronic,2013,,179.736 km,Diesel,245 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-cd-ambition-245-tiptronic-en-zaragoza.htm?id=8111042,24990
20,Audi,Q7,45 Tdi Quattro,2019,02,143.000 km,Diesel,231 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-45-tdi-quattro-en-jaen.htm?id=8053321,37999
21,Audi,Q7,3.0tdi Quattro Tiptronic 200kw,2018,,79.831 km,Diesel,272 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-200kw-en-sevilla.htm?id=8040775,53400
22,Audi,Q7,S 4.0 Tdi Quattro Tiptronic,2017,04,209.202 km,Diesel,435 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-s-40-tdi-quattro-tiptronic-en-alicante.htm?id=8038001,46999
23,Audi,Q7,3.0tdi Quattro Tiptronic 200kw,2018,04,84.184 km,Diesel,272 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-200kw-en-cadiz.htm?id=8022312,45900
24,Audi,Q7,3.0tdi Quattro Tiptronic 200kw,2018,04,84.184 km,Diesel,272 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-200kw-en-cadiz.htm?id=8022301,45900
25,Audi,Q7,3.0tdi Quattro Tiptronic 200kw,2018,04,84.184 km,Diesel,272 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-quattro-tiptronic-200kw-en-sevilla.htm?id=8022289,45900
26,Audi,Q7,3.0tdi Design Quattro Tiptronic 200kw,2018,03,147.960 km,Diesel,272 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-design-quattro-tiptronic-200kw-en-valencia.htm?id=8020069,44758
27,Audi,Q7,3.0tdi Design Quattro Tiptronic 200kw,2018,,140.000 km,Diesel,272 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-design-quattro-tiptronic-200kw-en-salamanca.htm?id=8009249,41900
28,Audi,Q7,3.0tdi Design Quattro Tiptronic 200kw,2018,04,72.788 km,Diesel,272 CV,automática secuencial,5 puertas,PLATA ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-design-quattro-tiptronic-200kw-en-madrid.htm?id=8004750,47700
29,Audi,Q7,3.0tdi Design Quattro Tiptronic 200kw,2015,10,195.016 km,Diesel,272 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-30tdi-design-quattro-tiptronic-200kw-en-alicante.htm?id=7983756,28900
30,Audi,Q7,50 Tdi S Line Quattro,2021,,42.000 km,Diesel,286 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-q7-50-tdi-s-line-quattro-en-valencia.htm?id=7950224,79900
