,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Serie 6,630i Aut.,2007,04,203.000 km,Gasolina,258 CV,automática,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630i-aut-en-barcelona.htm?id=8100861,10999
1,Bmw,Serie 6,M6a Gran Coupé,2015,,29.000 km,Gasolina,560 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-m6a-gran-coupe-en-madrid.htm?id=8117045,54990
2,Bmw,Serie 6,630da Gran Turismo,2018,,119.000 km,Diesel,265 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-en-valencia.htm?id=8114153,33900
3,Bmw,Serie 6,640ia Gran Coupé,2017,,95.000 km,Gasolina,320 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640ia-gran-coupe-en-sevilla.htm?id=8110922,40995
4,Bmw,Serie 6,M6a Gran Coupé,2015,,29.000 km,Gasolina,560 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-m6a-gran-coupe-en-madrid.htm?id=8128228,54990
5,Bmw,Serie 6,640da Gran Coupé,2013,,133.000 km,Diesel,313 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-alicante.htm?id=8075561,27950
6,Bmw,Serie 6,630da Gran Turismo,2018,08,84.557 km,Diesel,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-en-malaga.htm?id=7896471,37900
7,Bmw,Serie 6,640da Gran Coupé,2012,,140.000 km,Diesel,313 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-alicante.htm?id=8112158,29950
8,Bmw,Serie 6,640da Coupé,2013,,148.700 km,Diesel,313 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-coupe-en-pontevedra.htm?id=8077898,27900
9,Bmw,Serie 6,640da Gran Coupé,2017,08,97.365 km,Diesel,313 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-sevilla.htm?id=7938977,35890
10,Bmw,Serie 6,640da Gran Coupé,2017,08,97.365 km,Diesel,313 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-malaga.htm?id=7937651,35890
11,Bmw,Serie 6,640da Gran Coupé,2017,08,97.365 km,Diesel,313 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-madrid.htm?id=7937494,35890
12,Bmw,Serie 6,630da Gran Turismo Xdrive,2017,,85.000 km,Diesel,265 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-xdrive-en-murcia.htm?id=7664031,46900
13,Bmw,Serie 6,630da Gran Turismo Xdrive,2019,,42.000 km,Diesel,265 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-xdrive-en-madrid.htm?id=7260240,48990
14,Bmw,Serie 6,630i,2007,06,143.805 km,Gasolina,258 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630i-en-valencia.htm?id=8038997,14900
15,Bmw,Serie 6,640da Gran Coupé,2017,,190.000 km,Diesel,313 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-cordoba.htm?id=8034692,32890
16,Bmw,Serie 6,645 Ci Cabrio Aut.,2004,,133.000 km,Gasolina,333 CV,automática,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-645-ci-cabrio-aut-en-salamanca.htm?id=7944534,17999
17,Bmw,Serie 6,640da Gran Coupé Xdrive,2015,,200.000 km,Diesel,313 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-xdrive-en-almeria.htm?id=7935386,30900
18,Bmw,Serie 6,640ia Coupé Xdrive,2015,03,88.968 km,Gasolina,320 CV,automática secuencial,2 puertas,Marron,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640ia-coupe-xdrive-en-madrid.htm?id=7898582,33500
19,Bmw,Serie 6,640ia Gran Coupé,2016,01,121.900 km,Gasolina,320 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640ia-gran-coupe-en-madrid.htm?id=7898581,36850
20,Bmw,Serie 6,630da Gran Turismo,2020,01,35.747 km,Diesel,265 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-en-madrid.htm?id=7891237,44350
21,Bmw,Serie 6,640ia Gran Coupé Xdrive,2017,,85.000 km,Gasolina,320 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640ia-gran-coupe-xdrive-en-sevilla.htm?id=7759990,40900
22,Bmw,Serie 6,M6a,2005,04,177.000 km,Gasolina,507 CV,automática secuencial,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-m6a-en-vizcaya.htm?id=7641339,26990
23,Bmw,Serie 6,640da Coupé Xdrive,2012,12,132.575 km,Diesel,313 CV,automática secuencial,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-coupe-xdrive-en-cadiz.htm?id=7974152,25900
24,Bmw,Serie 6,640ia Gran Turismo Xdrive,2012,12,132.575 km,Gasolina,333 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640ia-gran-turismo-xdrive-en-sevilla.htm?id=7974142,25900
25,Bmw,Serie 6,640da Gran Coupé,2016,10,87.250 km,Diesel,313 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-gran-coupe-en-burgos.htm?id=7664779,40000
26,Bmw,Serie 6,650ia Cabrio,2011,,8.000 km,Gasolina,407 CV,automática secuencial,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-650ia-cabrio-en-illes+balears.htm?id=7798113,39900
27,Bmw,Serie 6,630da Gran Turismo,2019,,129.000 km,Diesel,265 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-630da-gran-turismo-en-barcelona.htm?id=7762097,40963
28,Bmw,Serie 6,640da Coupé,2011,,225.000 km,Diesel,313 CV,automática secuencial,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+6-640da-coupe-en-murcia.htm?id=7984849,21999
