,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Bmw,Z3,2.8 Coupé,1999,,181.000 km,Gasolina,190 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-28-coupe-en-alicante.htm?id=7785447,19499
1,Bmw,Z3,1.9i Roadster,2002,,76.000 km,Gasolina,118 CV,manual,2 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-19i-roadster-en-cadiz.htm?id=8016103,16500
2,Bmw,Z3,1.8i Roadster,1998,,63.000 km,Gasolina,115 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-18i-roadster-en-alicante.htm?id=7973521,11000
3,Bmw,Z3,1.8i Roadster,1999,,118.000 km,Gasolina,115 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-18i-roadster-en-barcelona.htm?id=7969154,14900
4,Bmw,Z3,1.9i Roadster,1997,,189.000 km,Gasolina,140 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-19i-roadster-en-alicante.htm?id=7714930,7800
5,Bmw,Z3,2.8 Roadster,1997,,120.000 km,Gasolina,193 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-28-roadster-en-barcelona.htm?id=6754193,20000
6,Bmw,Z3,1.9i Roadster,1998,,205.000 km,Gasolina,140 CV,manual,2 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-19i-roadster-en-lleida.htm?id=8124315,15555
7,Bmw,Z3,1.8i Roadster,1999,,110.926 km,Gasolina,115 CV,manual,2 puertas,plateado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-18i-roadster-en-teruel.htm?id=7787655,8500
8,Bmw,Z3,M Roadster,1998,,87.000 km,Gasolina,321 CV,manual,2 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-m-roadster-en-tenerife.htm?id=7933176,36000
9,Bmw,Z3,1.8i Roadster,1998,,156.700 km,Gasolina,115 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-18i-roadster-en-valencia.htm?id=7886457,5400
10,Bmw,Z3,1.9i Roadster,1997,,195.000 km,Gasolina,140 CV,manual,2 puertas,amarillo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-19i-roadster-en-murcia.htm?id=7745499,9500
11,Bmw,Z3,1.9i Roadster,1997,03,120.000 km,Gasolina,140 CV,manual,2 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-19i-roadster-en-valencia.htm?id=8110568,10900
12,Bmw,Z3,2.8 Roadster,1998,01,120.000 km,Gasolina,193 CV,manual,2 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-28-roadster-en-illes+balears.htm?id=7736946,16500
13,Bmw,Z3,2.0i Roadster,2000,02,84.000 km,Gasolina,150 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-bmw-z3-20i-roadster-en-alicante.htm?id=6856494,12999
