,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Chevrolet,Captiva,2.0vcdi Ls7,2011,04,196.000 km,Diesel,127 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ls7-en-barcelona.htm?id=8058944,8990
1,Chevrolet,Captiva,2.0vcdi Lt 7 Pl.,2007,,227.432 km,Diesel,150 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-lt-7-pl-en-huelva.htm?id=8012956,8800
2,Chevrolet,Captiva,2.0vcdi Ls7,2007,,216.909 km,Diesel,127 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ls7-en-lugo.htm?id=7997608,5700
3,Chevrolet,Captiva,2.0vcdi Ltx Aut.,2007,,190.000 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ltx-aut-en-girona.htm?id=7761865,6350
4,Chevrolet,Captiva,2.0vcdi Lt 5 Pl.,2006,,223.000 km,Diesel,150 CV,manual,5 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-lt-5-pl-en-madrid.htm?id=8054187,5800
5,Chevrolet,Captiva,2.4 Ls,2007,,147.968 km,Gasolina,136 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-24-ls-en-madrid.htm?id=8004648,6000
6,Chevrolet,Captiva,2.2vcdi Ltz Awd,2013,,150.000 km,Diesel,184 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-ltz-awd-en-toledo.htm?id=7816337,11700
7,Chevrolet,Captiva,2.2vcdi Lt Fwd,2011,,200.000 km,Diesel,163 CV,manual,5 puertas,blanco metalizado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-tarragona.htm?id=7816271,10100
8,Chevrolet,Captiva,2.0vcdi Lt 7 Pl.,2011,,120.000 km,Diesel,150 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-lt-7-pl-en-illes+balears.htm?id=7802143,10001
9,Chevrolet,Captiva,2.2vcdi Lt Fwd,2011,,170.000 km,Diesel,163 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-malaga.htm?id=7704139,9800
10,Chevrolet,Captiva,3.2 V6 Ltx Aut.,2006,,180.000 km,Gasolina,230 CV,automática secuencial,5 puertas,Gris Plata,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-32-v6-ltx-aut-en-madrid.htm?id=7263336,8800
11,Chevrolet,Captiva,2.2vcdi Lt Fwd,2013,,75.175 km,Diesel,163 CV,manual,5 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-zaragoza.htm?id=7818553,12000
12,Chevrolet,Captiva,2.2vcdi Lt Fwd,2011,,68.807 km,Diesel,163 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-barcelona.htm?id=7737225,13500
13,Chevrolet,Captiva,2.0vcdi Ltx Aut.,2006,,181.000 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ltx-aut-en-vizcaya.htm?id=8072497,5000
14,Chevrolet,Captiva,2.2vcdi Lt Fwd,2012,,175.000 km,Diesel,163 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-huelva.htm?id=7374739,8000
15,Chevrolet,Captiva,2.0vcdi Ltx Aut.,2007,,184.000 km,Diesel,150 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ltx-aut-en-madrid.htm?id=7980127,5000
16,Chevrolet,Captiva,2.2vcdi Ltz Awd,2011,,90.000 km,Diesel,184 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-ltz-awd-en-barcelona.htm?id=7825625,11500
17,Chevrolet,Captiva,2.0vcdi Ls7,2007,08,190.226 km,Diesel,127 CV,manual,5 puertas,Dark Denim Grey (mica),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ls7-en-badajoz.htm?id=8078362,7899
18,Chevrolet,Captiva,2.0vcdi Ls7,2010,06,106.367 km,Diesel,127 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ls7-en-madrid.htm?id=8073329,10890
19,Chevrolet,Captiva,2.0vcdi Ls7,2010,06,106.367 km,Diesel,127 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-20vcdi-ls7-en-madrid.htm?id=8072963,10890
