,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Chevrolet,Cruze,1.6 16v Lt,2012,,206.000 km,Gasolina,124 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-16v-lt-en-madrid.htm?id=8125572,4995
1,Chevrolet,Cruze,2.0vcdi Lt 163,2011,,310.000 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-lt-163-en-madrid.htm?id=8061537,4499
2,Chevrolet,Cruze,1.6 Ls,2011,,179.600 km,Gasolina,124 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-ls-en-tenerife.htm?id=8095431,5990
3,Chevrolet,Cruze,2.0vcdi 16v Lt Aut. 150,2010,,142.300 km,Diesel,150 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-16v-lt-aut-150-en-alicante.htm?id=8047162,9900
4,Chevrolet,Cruze,2.0vcdi 16v Lt Aut. 150,2009,12,251.142 km,Diesel,150 CV,automática secuencial,4 puertas,Gris-negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-16v-lt-aut-150-en-alicante.htm?id=8009925,4950
5,Chevrolet,Cruze,2.0vcdi Lt,2012,,262.000 km,Diesel,163 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-lt-en-barcelona.htm?id=8097955,6000
6,Chevrolet,Cruze,1.6 16v L,2011,,40.200 km,Gasolina,113 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-16v-l-en-barcelona.htm?id=8128914,7000
7,Chevrolet,Cruze,2.0vcdi Lt,2012,,185.000 km,Diesel,163 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-lt-en-barcelona.htm?id=7946077,5200
8,Chevrolet,Cruze,2.0vcdi 16v Lt 150,2009,,230.000 km,Diesel,150 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-16v-lt-150-en-rioja+la.htm?id=7886519,5490
9,Chevrolet,Cruze,1.6 Lt+ Clima,2011,,46.600 km,Gasolina,124 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-lt+-clima-en-barcelona.htm?id=7810824,7220
10,Chevrolet,Cruze,1.6 Lt,2011,,139.000 km,Gasolina,124 CV,manual,4 puertas,Negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-lt-en-sevilla.htm?id=7698772,5950
11,Chevrolet,Cruze,2.0vcdi 16v Lt 150,2010,,168.000 km,Diesel,150 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-20vcdi-16v-lt-150-en-madrid.htm?id=7671147,5900
