,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Chrysler,Voyager,Grand  2.8crd Limited Entret. Plus Aut.,2010,,178.000 km,Diesel,163 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--28crd-limited-entret-plus-aut-en-cadiz.htm?id=8081609,10500
1,Chrysler,Voyager,2.5crd Se,2008,,208.000 km,Diesel,143 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-se-en-malaga.htm?id=8118836,6995
2,Chrysler,Voyager,Grand  3.3 Le Aut.,2000,,255.000 km,Gasolina,158 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--33-le-aut-en-madrid.htm?id=7906906,3699
3,Chrysler,Voyager,2.5 Crd Lx,2002,,195.000 km,Diesel,140 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25-crd-lx-en-avila.htm?id=7816988,3990
4,Chrysler,Voyager,Grand  2.8crd Touring Aut.,2008,,107.300 km,Diesel,163 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--28crd-touring-aut-en-tarragona.htm?id=8120434,10350
5,Chrysler,Voyager,Grand  2.5 Crd Se,2004,,319.000 km,Diesel,140 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--25-crd-se-en-toledo.htm?id=8097547,1000
6,Chrysler,Voyager,Grand  2.8crd Touring Confort Plus Aut.,2010,,210.000 km,Diesel,163 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--28crd-touring-confort-plus-aut-en-illes+balears.htm?id=8091706,10500
7,Chrysler,Voyager,Grand  2.5 Crd Se,2002,,251.000 km,Diesel,140 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--25-crd-se-en-zamora.htm?id=8090017,2500
8,Chrysler,Voyager,2.5 Crd Se 10 Millones,2004,,263.215 km,Diesel,140 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25-crd-se-10-millones-en-coruna+a.htm?id=7853900,3000
9,Chrysler,Voyager,2.5crd Se,2006,,150.000 km,Diesel,143 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-se-en-cordoba.htm?id=7851101,5100
10,Chrysler,Voyager,2.5crd Lx,2008,,191.000 km,Diesel,143 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-lx-en-cadiz.htm?id=7722970,5900
11,Chrysler,Voyager,2.5crd Se,2005,,174.500 km,Diesel,143 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-se-en-cadiz.htm?id=7993191,3700
12,Chrysler,Voyager,2.5crd Edition,2007,,214.000 km,Diesel,143 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-edition-en-madrid.htm?id=7883283,6000
13,Chrysler,Voyager,2.8crd Lx Aut.,2005,,180.000 km,Diesel,150 CV,automática,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-28crd-lx-aut-en-sevilla.htm?id=7872851,4500
14,Chrysler,Voyager,Grand  3.8 Lx Awd,1998,,270.000 km,Gasolina,178 CV,automática,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--38-lx-awd-en-valencia.htm?id=7742061,1900
15,Chrysler,Voyager,2.5td Se,2001,,256.000 km,Diesel,117 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25td-se-en-tarragona.htm?id=7697167,2500
16,Chrysler,Voyager,Grand  2.5crd Lx,2005,,180.000 km,Diesel,143 CV,manual,5 puertas,gris plata,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--25crd-lx-en-castellon.htm?id=8054133,3000
17,Chrysler,Voyager,Grand  2.5crd Se,2005,,303.000 km,Diesel,143 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-grand--25crd-se-en-zaragoza.htm?id=8053907,2300
18,Chrysler,Voyager,2.8crd Lx Aut.,2007,12,231.026 km,Diesel,150 CV,automática,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-28crd-lx-aut-en-cantabria.htm?id=8124724,4499
19,Chrysler,Voyager,2.5crd Lx,2007,12,225.000 km,Diesel,143 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-chrysler-voyager-25crd-lx-en-madrid.htm?id=8085919,4990
