,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,C4 Cactus,1.2 Puretech S&s Shine 130,2018,05,92.306 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-shine-130-en-toledo.htm?id=8097654,11999
1,Citroen,C4 Cactus,1.2 Puretech Feel Edition 82,2016,,128.816 km,Gasolina,82 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-edition-82-en-sevilla.htm?id=8122692,7950
2,Citroen,C4 Cactus,1.5bluehdi S&s Business 100,2019,,154.852 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-business-100-en-ciudad+real.htm?id=8122176,10490
3,Citroen,C4 Cactus,1.2 Puretech Feel Edition 82,2016,,98.922 km,Gasolina,82 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-edition-82-en-ciudad+real.htm?id=8068795,9490
4,Citroen,C4 Cactus,1.2 Puretech Feel Edition 82,2016,,127.918 km,Gasolina,82 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-edition-82-en-sevilla.htm?id=8068353,7950
5,Citroen,C4 Cactus,1.2 Puretech S&s Feel 110,2017,02,60.602 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-feel-110-en-toledo.htm?id=8044550,11299
6,Citroen,C4 Cactus,1.2 Puretech Live 82,2018,,79.000 km,Gasolina,82 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-live-82-en-palmas+las.htm?id=8101238,10990
7,Citroen,C4 Cactus,1.2 Puretech Feel 82,2017,,89.000 km,Gasolina,82 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-malaga.htm?id=8097886,9999
8,Citroen,C4 Cactus,1.2 Puretech S&s Feel Edition 110,2016,,68.277 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-feel-edition-110-en-huelva.htm?id=8077716,11500
9,Citroen,C4 Cactus,1.2 Puretech S&s Feel 110,2019,,140.000 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-feel-110-en-caceres.htm?id=8074493,9800
10,Citroen,C4 Cactus,1.6 Bluehdi S&s Feel 100,2015,05,100.775 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-feel-100-en-toledo.htm?id=8070463,10199
11,Citroen,C4 Cactus,1.5bluehdi S&s Feel 100,2019,06,105.874 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-feel-100-en-madrid.htm?id=8068165,11990
12,Citroen,C4 Cactus,1.5bluehdi S&s Business 100,2018,,78.802 km,Diesel,100 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-business-100-en-navarra.htm?id=8057808,12500
13,Citroen,C4 Cactus,1.2 Puretech Feel 82,2016,,88.000 km,Gasolina,82 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-barcelona.htm?id=8049271,9990
14,Citroen,C4 Cactus,1.2 Puretech Feel 82,2015,02,35.095 km,Gasolina,82 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-toledo.htm?id=8006892,11099
15,Citroen,C4 Cactus,1.2 Puretech S&s Feel 110,2015,,160.526 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-feel-110-en-murcia.htm?id=8120780,8900
16,Citroen,C4 Cactus,1.2 Vti Shine 82,2014,10,78.800 km,Gasolina,82 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-vti-shine-82-en-barcelona.htm?id=8099969,9990
17,Citroen,C4 Cactus,1.2 Puretech Feel 82,2016,,139.543 km,Gasolina,82 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-ciudad+real.htm?id=8068785,8990
18,Citroen,C4 Cactus,1.2 Puretech S&s Origins 110,2019,06,50.939 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-origins-110-en-barcelona.htm?id=8008654,13950
19,Citroen,C4 Cactus,1.6 Bluehdi S&s Feel 100,2015,,147.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-feel-100-en-alicante.htm?id=8118781,9999
20,Citroen,C4 Cactus,1.5bluehdi S&s Feel 100,2019,,44.237 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-feel-100-en-lleida.htm?id=8028973,14900
21,Citroen,C4 Cactus,1.6e-hdi Feel Fine Etg6 92,2014,,116.657 km,Diesel,92 CV,manual automatizada,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16e-hdi-feel-fine-etg6-92-en-lugo.htm?id=8127987,10800
22,Citroen,C4 Cactus,1.2 Puretech S&s Shine Eat6 110,2018,05,63.163 km,Gasolina,110 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-shine-eat6-110-en-toledo.htm?id=8127067,14799
23,Citroen,C4 Cactus,1.5bluehdi S&s Feel 100,2019,,79.461 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-feel-100-en-toledo.htm?id=8115421,15450
24,Citroen,C4 Cactus,1.2 Puretech S&s Shine 110,2018,08,78.980 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-s_s-shine-110-en-valencia.htm?id=8114239,13800
25,Citroen,C4 Cactus,1.6 Bluehdi S&s Feel Edition 100,2016,,49.000 km,Diesel,100 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-feel-edition-100-en-valencia.htm?id=8112422,13500
26,Citroen,C4 Cactus,1.2 Puretech Feel 82,2017,11,46.479 km,Gasolina,82 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-toledo.htm?id=8112001,12499
27,Citroen,C4 Cactus,1.6 Bluehdi S&s Feel 100,2017,05,89.945 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-feel-100-en-toledo.htm?id=8110515,11999
28,Citroen,C4 Cactus,1.6 Bluehdi Shine 100,2016,07,84.806 km,Diesel,99 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-shine-100-en-toledo.htm?id=8108425,12299
29,Citroen,C4 Cactus,1.6 Bluehdi Feel 100,2017,,180.000 km,Diesel,99 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-feel-100-en-cadiz.htm?id=8107363,11500
30,Citroen,C4 Cactus,1.6 Bluehdi S&s Shine 100,2015,01,127.511 km,Diesel,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-shine-100-en-toledo.htm?id=8107285,10499
31,Citroen,C4 Cactus,1.5bluehdi S&s Shine Eat6 120,2019,,153.331 km,Diesel,120 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-shine-eat6-120-en-toledo.htm?id=8104780,14950
32,Citroen,C4 Cactus,1.5bluehdi S&s Origins 100,2019,,46.850 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-15bluehdi-s_s-origins-100-en-barcelona.htm?id=8101116,15500
33,Citroen,C4 Cactus,1.6 Bluehdi S&s Feel Fine 100,2015,03,138.926 km,Diesel,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16-bluehdi-s_s-feel-fine-100-en-toledo.htm?id=8097673,10299
34,Citroen,C4 Cactus,1.6e-hdi Shine Ed.moonlight Etg6 92,2014,07,120.142 km,Diesel,92 CV,manual automatizada,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-16e-hdi-shine-edmoonlight-etg6-92-en-toledo.htm?id=8094805,10499
35,Citroen,C4 Cactus,1.2 Puretech Feel 82,2017,01,74.387 km,Gasolina,82 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4+cactus-12-puretech-feel-82-en-toledo.htm?id=8093257,11399
