,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Citroen,Ds4,1.6hdi Design 92,2013,,60.822 km,Diesel,92 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16hdi-design-92-en-murcia.htm?id=8098194,10500
1,Citroen,Ds4,1.6e-hdi Stt Design Cmp 112,2012,,156.478 km,Diesel,112 CV,manual automatizada,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-design-cmp-112-en-sevilla.htm?id=8085156,10900
2,Citroen,Ds4,1.6hdi Design 92,2014,12,107.201 km,Diesel,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16hdi-design-92-en-almeria.htm?id=7793771,11900
3,Citroen,Ds4,1.6hdi Design 92,2014,,87.400 km,Diesel,92 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16hdi-design-92-en-sevilla.htm?id=8060492,11400
4,Citroen,Ds4,1.6 Thp Sport 200,2011,,160.000 km,Gasolina,200 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16-thp-sport-200-en-lleida.htm?id=8022254,9990
5,Citroen,Ds4,1.6e-hdi Stt Design 115,2014,07,91.200 km,Diesel,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-design-115-en-barcelona.htm?id=7991368,10500
6,Citroen,Ds4,1.6e-hdi Stt Style 115,2015,03,133.530 km,Diesel,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-style-115-en-madrid.htm?id=7990008,12590
7,Citroen,Ds4,1.6e-hdi Stt Style 115,2015,03,133.530 km,Diesel,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-style-115-en-madrid.htm?id=7988948,12590
8,Citroen,Ds4,1.6e-hdi Stt Design Cmp 112,2012,01,170.000 km,Diesel,112 CV,manual automatizada,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-design-cmp-112-en-girona.htm?id=7802160,10900
9,Citroen,Ds4,1.6hdi Design 92,2014,09,145.250 km,Diesel,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16hdi-design-92-en-madrid.htm?id=7264706,9950
10,Citroen,Ds4,1.6e-hdi Stt Style Cmp 112,2012,,260.000 km,Diesel,112 CV,manual automatizada,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-style-cmp-112-en-barcelona.htm?id=5221821,7500
11,Citroen,Ds4,1.6e-hdi Stt Design Cmp 115,2013,,20.000 km,Diesel,114 CV,manual automatizada,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-design-cmp-115-en-barcelona.htm?id=8032179,15000
12,Citroen,Ds4,1.6e-hdi Stt Style Cmp 112,2013,05,170.000 km,Diesel,112 CV,manual automatizada,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-style-cmp-112-en-madrid.htm?id=8120072,7470
13,Citroen,Ds4,1.6e-hdi Stt Style 115,2014,09,105.578 km,Diesel,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16e-hdi-stt-style-115-en-madrid.htm?id=8044351,10490
14,Citroen,Ds4,1.6hdi Design 92,2014,01,78.659 km,Diesel,92 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-ds4-16hdi-design-92-en-madrid.htm?id=7973418,10990
