,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2021,,38.000 km,Gasolina,300 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-cupra--20-tsi-300-dsg-4drive-en-malaga.htm?id=8033818,29753
1,Cupra,Ateca,2.0 Tsi 190 Dsg 4drive,2023,,NUEVO,Gasolina,190 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-cupra-ateca-20-tsi-190-dsg-4drive-en-barcelona.htm?id=8107052,41100
2,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2019,10,56.730 km,Gasolina,300 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-ateca-20-tsi-300-dsg-4drive-en-toledo.htm?id=8085545,30199
3,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2022,07,11.696 km,Gasolina,300 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-20-tsi-300-dsg-4drive-en-toledo.htm?id=8108401,40199
4,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2019,,75.407 km,Gasolina,300 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-ateca-20-tsi-300-dsg-4drive-en-castellon.htm?id=8104364,32500
5,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2020,,130.000 km,Gasolina,300 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-20-tsi-300-dsg-4drive-en-sevilla.htm?id=8087860,31990
6,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2020,07,50.393 km,Gasolina,300 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-20-tsi-300-dsg-4drive-en-barcelona.htm?id=8075849,34900
7,Cupra,Ateca,2.0 Tsi Impulse 300 Dsg 4drive,2023,,NUEVO,Gasolina,300 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-ateca-20-tsi-impulse-300-dsg-4drive-en-madrid.htm?id=7853889,51500
8,Cupra,Ateca,2.0 Tsi 300 Dsg 4drive,2020,,15.000 km,Gasolina,300 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-cupra-ateca-ateca-20-tsi-300-dsg-4drive-en-barcelona.htm?id=8115392,35900
9,Cupra,Ateca,2.0 Tsi 190 Dsg 4drive,2023,,NUEVO,Gasolina,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-cupra-ateca-cupra--20-tsi-190-dsg-4drive-en-cadiz.htm?id=8040593,50615
