,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ds,Ds3,1.6bluehdi Style 100,2016,,159.000 km,Diesel,99 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-16bluehdi-style-100-en-madrid.htm?id=8125753,6995
1,Ds,Ds3,1.2 Puretech S&s Performance Line 110,2017,01,94.481 km,Gasolina,110 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-s_s-performance-line-110-en-toledo.htm?id=8115217,12199
2,Ds,Ds3,1.2 Puretech S&s Sport 110,2018,12,18.816 km,Gasolina,110 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-s_s-sport-110-en-toledo.htm?id=8070459,14199
3,Ds,Ds3,1.2 Puretech Desire 82,2017,05,26.278 km,Gasolina,82 CV,manual,3 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-desire-82-en-toledo.htm?id=8070086,11799
4,Ds,Ds3,1.2 Puretech Desire 82,2015,,155.000 km,Gasolina,82 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-desire-82-en-tenerife.htm?id=8052093,8490
5,Ds,Ds3,1.2 Puretech S&s Be Chic Eat6 110,2019,,100.046 km,Gasolina,110 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-s_s-be-chic-eat6-110-en-zaragoza.htm?id=8025124,12500
6,Ds,Ds3,1.6 Thp S&s Sport 165,2016,01,77.890 km,Gasolina,165 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-16-thp-s_s-sport-165-en-madrid.htm?id=7898520,13950
7,Ds,Ds3,1.6bluehdi S&s Style 100,2018,02,93.444 km,Diesel,99 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-16bluehdi-s_s-style-100-en-caceres.htm?id=7821962,11950
8,Ds,Ds3,1.6bluehdi S&s Dark Side 100,2017,,73.000 km,Diesel,99 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-16bluehdi-s_s-dark-side-100-en-navarra.htm?id=7877064,13000
9,Ds,Ds3,1.2 Puretech S&s Sport 130,2016,,53.000 km,Gasolina,130 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-s_s-sport-130-en-madrid.htm?id=7818007,13500
10,Ds,Ds3,1.2 Puretech S&s Sport Eat6 110,2016,,115.000 km,Gasolina,110 CV,automática secuencial,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ds-ds3-12-puretech-s_s-sport-eat6-110-en-madrid.htm?id=7940060,12000
