,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Dobló,Panorama 1.6mjt Trekking 88kw,2018,06,102.340 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-16mjt-trekking-88kw-en-valencia.htm?id=7859436,10990
1,Fiat,Dobló,Cargo 1.6mjt Base Maxi C. Aum.,2018,,78.000 km,Diesel,105 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-16mjt-base-maxi-c-aum-en-madrid.htm?id=8120455,7851
2,Fiat,Dobló,Cargo 1.4 T-jet Gnc Sx Maxi,2021,,79.000 km,Gasolina,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-14-t-jet-gnc-sx-maxi-en-madrid.htm?id=8119471,9800
3,Fiat,Dobló,Cargo 1.6mjt Sx Xl 78kw,2020,,44.000 km,Diesel,105 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-16mjt-sx-xl-78kw-en-madrid.htm?id=8081979,12314
4,Fiat,Dobló,Panorama 1.6mjt Dynamic E5+,2010,,159.000 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-16mjt-dynamic-e5+-en-barcelona.htm?id=8068686,6999
5,Fiat,Dobló,Cargo 1.3mjt Base 70kw,2018,,126.000 km,Diesel,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-70kw-en-murcia.htm?id=8101049,8000
6,Fiat,Dobló,Panorama 1.6 Multijet Corto Easy 70kw,2019,,131.000 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-16-multijet-corto-easy-70kw-en-huelva.htm?id=7142713,14950
7,Fiat,Dobló,Panorama 1.3mjt Pop 66kw N1 E5+,2016,,83.227 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-13mjt-pop-66kw-n1-e5+-en-malaga.htm?id=8106892,11400
8,Fiat,Dobló,Panorama 1.9jtd Dynamic,2004,,320.000 km,Diesel,105 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-19jtd-dynamic-en-murcia.htm?id=8095249,2901
9,Fiat,Dobló,Panorama 1.3mjt Pop 66kw N1 E5+,2016,,91.454 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-13mjt-pop-66kw-n1-e5+-en-malaga.htm?id=8091646,11400
10,Fiat,Dobló,Panorama 1.3mjt Pop 66kw N1 E5+,2016,,84.233 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-13mjt-pop-66kw-n1-e5+-en-malaga.htm?id=8086820,11400
11,Fiat,Dobló,Panorama 1.3mjt Pop 66kw N1 E5+,2016,,84.956 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-panorama-13mjt-pop-66kw-n1-e5+-en-malaga.htm?id=8072753,11400
12,Fiat,Dobló,Cargo 1.3mjt Base 70kw,2018,,64.392 km,Diesel,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-70kw-en-navarra.htm?id=8066024,11500
