,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Fiat,Punto,1.3mjt 16v Feel/class,2007,,220.000 km,Diesel,70 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-13mjt-16v-feelclass-en-barcelona.htm?id=8127959,2000
1,Fiat,Punto,1.2 Active,2005,08,150.000 km,Gasolina,60 CV,manual,5 puertas,Verde claro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-12-active-en-tarragona.htm?id=8077151,2998
2,Evo,Cross 4,,2023,09,NUEVO,Diesel,136 CV,manual,4 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-evo-cross+4--en-alava.htm?id=8059962,30600
3,Evo,Cross 4,,2023,09,NUEVO,Diesel,136 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-evo-cross+4--en-alava.htm?id=8059959,30600
4,Evo,Evo 3,3 1.5 Glp,2023,07,NUEVO,Gasolina,107 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+3-evo-3-15-glp-en-alava.htm?id=8059956,19900
5,Evo,Evo 5,5 1.6 Glp,2023,09,NUEVO,Gasolina,122 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+5-evo-5-16-glp-en-alava.htm?id=8059953,22700
6,Evo,Evo 4,4 1.6 Glp,2023,09,NUEVO,Gasolina,106 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-evo-evo+4-evo-4-16-glp-en-alava.htm?id=8059950,22400
7,Fiat,Punto,1.4 S&s,2018,,83.000 km,Gasolina,77 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-14-s_s-en-palmas+las.htm?id=8003821,8590
8,Fiat,Punto,1.4 S&s Easy,2017,,104.000 km,Gasolina,77 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-14-s_s-easy-en-palmas+las.htm?id=8078323,7990
9,Fiat,Punto,1.3mjt 70kw,2017,07,139.000 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-13mjt-70kw-en-vizcaya.htm?id=8057337,7990
