,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Connect,Ft 230l Kombi B. Larga Base 110,2011,,330.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230l-kombi-b-larga-base-110-en-salamanca.htm?id=8061642,6500
1,Ford,Connect,Ft 230l Kombi B. Larga Trend+ 110,2012,,138.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230l-kombi-b-larga-trend+-110-en-barcelona.htm?id=8045217,8950
2,Ford,Connect,Ft 220 Kombi B. Corta L1 Trend 100 M1,2018,,69.500 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-220-kombi-b-corta-l1-trend-100-m1-en-tarragona.htm?id=8051526,18500
3,Ford,Connect,Ft 210 Van L2 Ambiente 100,2018,,159.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-210-van-l2-ambiente-100-en-madrid.htm?id=7885502,14500
4,Ford,Connect,Ft 200 Van L1 Ambiente 75,2018,,219.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-ambiente-75-en-valencia.htm?id=7809065,8500
5,Ford,Connect,Ft 220 Kombi B. Corta L1 Ambiente 100,2017,,162.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-220-kombi-b-corta-l1-ambiente-100-en-barcelona.htm?id=7480592,12990
6,Ford,Connect,Ft 200 Van L1 Ambiente 95,2015,,400.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-ambiente-95-en-avila.htm?id=8123625,6490
7,Ford,Connect,Ft 230 Kombi B. Larga L2 Ambiente 100,2018,,33.000 km,Diesel,100 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230-kombi-b-larga-l2-ambiente-100-en-barcelona.htm?id=7968661,18490
8,Ford,Connect,Ft 200 Van L1 Ambiente 100,2017,,188.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-ambiente-100-en-lugo.htm?id=7825740,11900
9,Ford,Connect,Ft 200 Van L1 Trend 75,2017,,146.341 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-trend-75-en-malaga.htm?id=7649667,11500
10,Ford,Connect,Ft 200 Van L1 Ambiente 95,2015,,122.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-ambiente-95-en-barcelona.htm?id=7311692,8990
11,Ford,Connect,Ft 200s Tdci 90,2006,,142.660 km,Diesel,90 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200s-tdci-90-en-malaga.htm?id=7940798,4000
12,Ford,Connect,Ft 230l Kombi B. Larga Base,2013,,195.000 km,Diesel,90 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230l-kombi-b-larga-base-en-ourense.htm?id=8030096,4300
13,Ford,Connect,Ft 200s Van B. Corta Base,2010,,208.000 km,Diesel,75 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200s-van-b-corta-base-en-asturias.htm?id=8071401,5300
14,Ford,Connect,Ft 230l Van B. Larga Base 110,2010,,200.000 km,Diesel,110 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230l-van-b-larga-base-110-en-illes+balears.htm?id=7979126,3000
15,Ford,Connect,Ft 200 Van L1 Trend 75,2018,,155.000 km,Diesel,75 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200-van-l1-trend-75-en-coruna+a.htm?id=7943447,13500
16,Ford,Connect,Ft 210s Kombi B. Corta Trend 90,2010,,82.000 km,Diesel,90 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-210s-kombi-b-corta-trend-90-en-coruna+a.htm?id=7923637,10000
17,Ford,Connect,Ft 230 Kombi B. Larga L2 Trend 100,2016,,370.000 km,Diesel,100 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-230-kombi-b-larga-l2-trend-100-en-sevilla.htm?id=7915437,12000
18,Ford,Connect,Ft 200s Van B. Corta Base 110,2008,05,174.000 km,Diesel,110 CV,manual,4 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-200s-van-b-corta-base-110-en-madrid.htm?id=8119026,6500
19,Ford,Connect,Ft 210 Van L2 Trend 100,2018,12,88.392 km,Gasolina,100 CV,manual,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-connect-ft-210-van-l2-trend-100-en-vizcaya.htm?id=7899301,15900
