,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Honda,Jazz,1.3 I-vtec Comfort Cvt,2018,03,80.000 km,Gasolina,102 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-comfort-cvt-en-palmas+las.htm?id=7925900,12990
1,Honda,Jazz,1.4i-vtec Elegance,2012,06,137.189 km,Gasolina,100 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-vtec-elegance-en-toledo.htm?id=8051340,7899
2,Honda,Jazz,1.5 I-mmd Crosstar,2020,07,67.471 km,Híbrido,109 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-15-i-mmd-crosstar-en-madrid.htm?id=8106355,20890
3,Honda,Jazz,1.5 I-mmd Crosstar,2020,01,67.471 km,Híbrido,109 CV,automática continua,5 puertas,BITONO AZUL SURF,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-15-i-mmd-crosstar-en-barcelona.htm?id=8091262,20900
4,Honda,Jazz,1.5 I-mmd Crosstar,2020,12,41.171 km,Híbrido,109 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-15-i-mmd-crosstar-en-toledo.htm?id=8070112,21899
5,Honda,Jazz,1.3 I-vtec Trend,2018,06,142.419 km,Gasolina,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-trend-en-sevilla.htm?id=8002636,12950
6,Honda,Jazz,1.5 I-mmd Crosstar,2023,,100 km,Híbrido,109 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-honda-jazz-15-i-mmd-crosstar-en-burgos.htm?id=8051398,30250
7,Honda,Jazz,1.4i-dsi Es Graphite Cvt,2007,,199.000 km,Gasolina,83 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-dsi-es-graphite-cvt-en-barcelona.htm?id=8044200,5999
8,Honda,Jazz,1.3 I-vtec Comfort Cvt,2018,03,79.990 km,Gasolina,102 CV,automática continua,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-comfort-cvt-en-palmas+las.htm?id=7969690,13995
9,Honda,Jazz,1.3 I-vtec Comfort Navi,2017,03,75.500 km,Gasolina,102 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-comfort-navi-en-madrid.htm?id=7965068,12950
10,Honda,Jazz,1.5 I-mmd Crosstar,2023,,NUEVO,Híbrido,108 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-honda-jazz-15-i-mmd-crosstar-en-burgos.htm?id=7964631,30750
11,Honda,Jazz,1.3 I-vtec Comfort Cvt,2017,09,87.273 km,Gasolina,102 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-comfort-cvt-en-palmas+las.htm?id=7956899,12995
12,Honda,Jazz,1.5 I-mmd Elegance,2021,01,5.400 km,Híbrido,109 CV,automática continua,5 puertas,BLANCO - PLATINUM WHITE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-15-i-mmd-elegance-en-tarragona.htm?id=8028666,24490
13,Honda,Jazz,1.3 I-vtec Elegance Navi Cvt,2017,,105.000 km,Gasolina,102 CV,automática continua,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-elegance-navi-cvt-en-madrid.htm?id=7743308,14500
14,Honda,Jazz,1.4i-dsi Ls,2004,,213.422 km,Gasolina,83 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-dsi-ls-en-asturias.htm?id=8052816,2550
15,Honda,Jazz,1.4i-dsi Es Graphite Cvt,2008,,224.000 km,Gasolina,83 CV,automática continua,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-dsi-es-graphite-cvt-en-tenerife.htm?id=7944492,2300
16,Honda,Jazz,1.4i-vtec Luxury I-shift,2011,,105.646 km,Gasolina,100 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-vtec-luxury-i-shift-en-asturias.htm?id=7882598,7999
17,Honda,Jazz,1.3 I-vtec Comfort,2019,,27.500 km,Gasolina,102 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-13-i-vtec-comfort-en-illes+balears.htm?id=7816329,15600
18,Honda,Jazz,1.4i-vtec Luxury I-shift,2010,,150.000 km,Gasolina,100 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-vtec-luxury-i-shift-en-barcelona.htm?id=8015580,6500
19,Honda,Jazz,1.4i-vtec Elegance,2012,02,110.711 km,Gasolina,100 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-honda-jazz-14i-vtec-elegance-en-toledo.htm?id=8123609,8299
