,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2023,,3.000 km,Diesel,177 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-cuenca.htm?id=8083144,49500
1,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2023,,NUEVO,Diesel,177 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-cuenca.htm?id=8053996,51300
2,Hyundai,Staria,2.2crdi 9s Maxx 177 Aut.,2022,12,2.400 km,Diesel,177 CV,automática secuencial,5 puertas,SHIMMERING SILVER,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-maxx-177-aut-en-alicante.htm?id=7907988,50700
3,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2023,04,NUEVO,Diesel,177 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-avila.htm?id=7746843,54900
4,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2023,,NUEVO,Diesel,177 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-cuenca.htm?id=8053995,51300
5,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2022,,900 km,Diesel,177 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-alicante.htm?id=7803121,49990
6,Hyundai,Staria,2.2crdi 9s Maxx 177 Aut.,2023,04,16.944 km,Diesel,177 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-staria-22crdi-9s-maxx-177-aut-en-palmas+las.htm?id=8127159,35990
7,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2022,01,30.434 km,Diesel,177 CV,automática secuencial,5 puertas,ABYSS BLACK,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-staria-22crdi-9s-tecno-177-aut-en-murcia.htm?id=8125524,48700
8,Hyundai,Staria,2.2crdi 9s Maxx 177 Aut.,2022,12,15.015 km,Diesel,177 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-staria-22crdi-9s-maxx-177-aut-en-burgos.htm?id=8120114,48900
9,Hyundai,Staria,2.2crdi 9s Maxx 177 Aut.,2022,07,16.474 km,Diesel,177 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-staria-22crdi-9s-maxx-177-aut-en-burgos.htm?id=8082867,47490
10,Hyundai,Staria,2.2crdi 9s Style 4x4 177 Aut.,2023,02,0 km,Diesel,177 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-style-4x4-177-aut-en-valencia.htm?id=8064053,53900
11,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2022,07,14.796 km,Diesel,177 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-staria-22crdi-9s-tecno-177-aut-en-barcelona.htm?id=8004102,48900
12,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2024,01,NUEVO,Diesel,177 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-avila.htm?id=7746842,54900
13,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2024,01,NUEVO,Diesel,177 CV,automática secuencial,5 puertas,CREAMY WHITE,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-jaen.htm?id=7226074,52400
14,Hyundai,Staria,2.2crdi 9s Tecno 177 Aut.,2024,01,10 km,Diesel,177 CV,automática secuencial,5 puertas,CREAMY WHITE,Profesional,https://www.coches.com/km0/seminuevo-hyundai-staria-22crdi-9s-tecno-177-aut-en-jaen.htm?id=7225884,52400
