,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Hyundai,I30,1.6crdi Bd Klass 110,2015,,162.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16crdi-bd-klass-110-en-madrid.htm?id=8021092,10500
1,Hyundai,I30,2.0 Tgdi N Performance 275,2019,03,159.836 km,Gasolina,275 CV,manual,5 puertas,gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-20-tgdi-n-performance-275-en-girona.htm?id=8048359,20900
2,Hyundai,I30,Cw 1.0 Tgdi Klass 120,2022,,11.150 km,Gasolina,120 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-cw-10-tgdi-klass-120-en-tenerife.htm?id=8123835,17350
3,Hyundai,I30,1.6 Crdi Comfort Gls,2010,,115.760 km,Diesel,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16-crdi-comfort-gls-en-illes+balears.htm?id=8066209,5950
4,Hyundai,I30,Fb 1.0 Tgdi Tecno 48v 120,2022,06,14.586 km,Gasolina,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-fb-10-tgdi-tecno-48v-120-en-palmas+las.htm?id=8106589,17490
5,Hyundai,I30,1.0 Tgdi Tecno 48v 120,2022,06,17.329 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-tecno-48v-120-en-palmas+las.htm?id=8106371,17490
6,Hyundai,I30,1.4 Mpi Essence 100,2019,06,61.868 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101581,11990
7,Hyundai,I30,1.4 Mpi Essence 100,2019,06,63.042 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101579,11990
8,Hyundai,I30,1.6 Tgdi Turbo 186,2015,12,84.653 km,Gasolina,186 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16-tgdi-turbo-186-en-toledo.htm?id=8064762,14099
9,Hyundai,I30,1.5 Dpi Klass Slx 110,2023,10,12 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-15-dpi-klass-slx-110-en-sevilla.htm?id=8062107,21490
10,Hyundai,I30,Cw 1.0 Tgdi N Line 30a 120,2023,,6.000 km,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-cw-10-tgdi-n-line-30a-120-en-cuenca.htm?id=8129240,21500
11,Hyundai,I30,Fb 1.0 Tgdi Link 120,2018,,53.190 km,Gasolina,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-fb-10-tgdi-link-120-en-malaga.htm?id=8117206,15899
12,Hyundai,I30,1.0 Tgdi Tecno 48v 120,2022,06,22.004 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-tecno-48v-120-en-palmas+las.htm?id=8107420,17490
13,Hyundai,I30,1.0 Tgdi Klass 120,2022,06,19.332 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-klass-120-en-palmas+las.htm?id=8106364,17490
14,Hyundai,I30,1.6 Gdi Style Sport,2012,09,118.255 km,Gasolina,135 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16-gdi-style-sport-en-toledo.htm?id=8105278,9199
15,Hyundai,I30,1.4 Mpi Essence 100,2019,06,57.554 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101582,12990
16,Hyundai,I30,1.4 Mpi Essence 100,2019,06,56.322 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101578,12990
17,Hyundai,I30,1.4 Mpi Essence 100,2019,06,54.837 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101577,12990
18,Hyundai,I30,1.4 Mpi Essence 100,2019,06,54.941 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101575,12990
19,Hyundai,I30,1.4 Mpi Essence 100,2019,06,59.076 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101573,12990
20,Hyundai,I30,1.0 Tgdi Klass 48v 120,2021,01,56.935 km,Gasolina,120 CV,manual,5 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-klass-48v-120-en-tarragona.htm?id=8059717,18500
21,Hyundai,I30,Cw 1.0 Tgdi N Line 30a 120,2023,,100 km,Gasolina,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-cw-10-tgdi-n-line-30a-120-en-lleida.htm?id=7969072,22700
22,Hyundai,I30,1.6crdi Klass 116,2021,06,67.194 km,Diesel,116 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16crdi-klass-116-en-barcelona.htm?id=7827275,15900
23,Hyundai,I30,1.5 Dpi Essence 110,2022,,79 km,Gasolina,110 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-15-dpi-essence-110-en-sevilla.htm?id=7778840,18990
24,Hyundai,I30,Cw 1.0 Tgdi N Line 30a 120,2023,,NUEVO,Gasolina,120 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-cw-10-tgdi-n-line-30a-120-en-cuenca.htm?id=8129260,21900
25,Hyundai,I30,1.0 Tgdi Klass 120,2020,,7.700 km,Gasolina,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-klass-120-en-alava.htm?id=8127866,18500
26,Hyundai,I30,1.4 Tgdi N-line 140,2020,09,66.893 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-tgdi-n-line-140-en-toledo.htm?id=8127073,19399
27,Hyundai,I30,1.4crdi Essence,2013,,147.036 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14crdi-essence-en-murcia.htm?id=8115290,8500
28,Hyundai,I30,1.4 Comfort,2008,,155.879 km,Gasolina,109 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-comfort-en-granada.htm?id=8111070,5700
29,Hyundai,I30,2.0 Tgdi N Performance 275,2019,,33.000 km,Gasolina,275 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-20-tgdi-n-performance-275-en-tenerife.htm?id=8110957,27990
30,Hyundai,I30,1.0 Tgdi Klass 120,2022,06,22.517 km,Gasolina,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-10-tgdi-klass-120-en-palmas+las.htm?id=8106591,18490
31,Hyundai,I30,1.6crdi Tecno S,2012,06,113.452 km,Diesel,110 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16crdi-tecno-s-en-toledo.htm?id=8105283,9199
32,Hyundai,I30,1.4crdi Klass,2015,05,27.106 km,Diesel,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14crdi-klass-en-toledo.htm?id=8105277,10999
33,Hyundai,I30,2.0 Tgdi N Performance 280,2023,11,200 km,Gasolina,280 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-hyundai-i30-20-tgdi-n-performance-280-en-palmas+las.htm?id=8104817,35990
34,Hyundai,I30,1.4 Mpi Essence 100,2019,06,55.657 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101620,12990
35,Hyundai,I30,1.4 Mpi Essence 100,2019,06,60.361 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101618,12990
36,Hyundai,I30,1.4 Mpi Essence 100,2019,06,54.880 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101617,12990
37,Hyundai,I30,1.4 Mpi Essence 100,2019,06,57.723 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101616,12990
38,Hyundai,I30,1.4 Mpi Essence 100,2019,06,56.820 km,Gasolina,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-14-mpi-essence-100-en-palmas+las.htm?id=8101546,12990
