,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Kia,Optima,1.6crdi Vgt Eco-dynamics Drive,2019,05,145.637 km,Diesel,136 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-16crdi-vgt-eco-dynamics-drive-en-madrid.htm?id=8055061,14900
1,Kia,Optima,1.7crdi Eco-dynamics Business,2018,,170.000 km,Diesel,141 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-eco-dynamics-business-en-ciudad+real.htm?id=8048767,11990
2,Kia,Optima,1.6crdi Vgt Eco-dynamics Business,2019,,167.000 km,Diesel,136 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-16crdi-vgt-eco-dynamics-business-en-badajoz.htm?id=8104787,17900
3,Kia,Optima,1.7crdi Eco-dynamics Drive,2017,06,181.406 km,Diesel,141 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-eco-dynamics-drive-en-madrid.htm?id=7985666,13300
4,Kia,Optima,2.0 Gdi Phev Business,2020,07,22.300 km,Híbrido,205 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-20-gdi-phev-business-en-sevilla.htm?id=7833503,28990
5,Kia,Optima,1.7crdi Eco-dynamics Drive,2018,06,114.700 km,Diesel,141 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-eco-dynamics-drive-en-madrid.htm?id=7089930,15850
6,Kia,Optima,1.7crdi Emotion Aut.,2015,,85.000 km,Diesel,136 CV,automática secuencial,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-emotion-aut-en-cuenca.htm?id=7940181,16200
7,Kia,Optima,1.7crdi Drive,2013,,179.000 km,Diesel,136 CV,manual,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-drive-en-guipuzcoa.htm?id=7944872,10000
8,Kia,Optima,1.7crdi Eco-dynamics Drive,2016,04,84.069 km,Diesel,141 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-eco-dynamics-drive-en-madrid.htm?id=8121239,15990
9,Kia,Optima,1.7crdi Eco-dynamics Drive Dct,2018,03,135.000 km,Diesel,141 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-optima-17crdi-eco-dynamics-drive-dct-en-madrid.htm?id=8119659,18970
